Actif;Date;Open
AAPL;25/01/2017;120,419998
AAPL;24/01/2017;119,550003
AAPL;23/01/2017;120
AAPL;20/01/2017;120,449997
AAPL;19/01/2017;119,400002
AAPL;18/01/2017;120
AAPL;17/01/2017;118,339996
AAPL;13/01/2017;119,110001
AAPL;12/01/2017;118,900002
AAPL;11/01/2017;118,739998
AAPL;10/01/2017;118,769997
AAPL;09/01/2017;117,949997
AAPL;06/01/2017;116,779999
AAPL;05/01/2017;115,919998
AAPL;04/01/2017;115,849998
AAPL;03/01/2017;115,800003
AAPL;30/12/2016;116,650002
AAPL;29/12/2016;116,449997
AAPL;28/12/2016;117,519997
AAPL;27/12/2016;116,519997
AAPL;23/12/2016;115,589996
AAPL;22/12/2016;116,349998
AAPL;21/12/2016;116,800003
AAPL;20/12/2016;116,739998
AAPL;19/12/2016;115,800003
AAPL;16/12/2016;116,470001
AAPL;15/12/2016;115,379997
AAPL;14/12/2016;115,040001
AAPL;13/12/2016;113,839996
AAPL;12/12/2016;113,290001
AAPL;09/12/2016;112,309998
AAPL;08/12/2016;110,860001
AAPL;07/12/2016;109,260002
AAPL;06/12/2016;109,5
AAPL;05/12/2016;110
AAPL;02/12/2016;109,169998
AAPL;01/12/2016;110,370003
AAPL;30/11/2016;111,599998
AAPL;29/11/2016;110,779999
AAPL;28/11/2016;111,43
AAPL;25/11/2016;111,129997
AAPL;23/11/2016;111,360001
AAPL;22/11/2016;111,949997
AAPL;21/11/2016;110,120003
AAPL;18/11/2016;109,720001
AAPL;17/11/2016;109,809998
AAPL;16/11/2016;106,699997
AAPL;15/11/2016;106,57
AAPL;14/11/2016;107,709999
AAPL;11/11/2016;107,120003
AAPL;10/11/2016;111,089996
AAPL;09/11/2016;109,879997
AAPL;08/11/2016;110,309998
AAPL;07/11/2016;110,080002
AAPL;04/11/2016;108,529999
AAPL;03/11/2016;110,980003
AAPL;02/11/2016;111,400002
AAPL;01/11/2016;113,459999
AAPL;31/10/2016;113,650002
AAPL;28/10/2016;113,870003
AAPL;27/10/2016;115,389999
AAPL;26/10/2016;114,309998
AAPL;25/10/2016;117,949997
AAPL;24/10/2016;117,099998
AAPL;21/10/2016;116,809998
AAPL;20/10/2016;116,860001
AAPL;19/10/2016;117,25
AAPL;18/10/2016;118,18
AAPL;17/10/2016;117,330002
AAPL;14/10/2016;117,879997
AAPL;13/10/2016;116,790001
AAPL;12/10/2016;117,349998
AAPL;11/10/2016;117,699997
AAPL;10/10/2016;115,019997
AAPL;07/10/2016;114,309998
AAPL;06/10/2016;113,699997
AAPL;05/10/2016;113,400002
AAPL;04/10/2016;113,059998
AAPL;03/10/2016;112,709999
AAPL;30/09/2016;112,459999
AAPL;29/09/2016;113,160004
AAPL;28/09/2016;113,690002
AAPL;27/09/2016;113
AAPL;26/09/2016;111,639999
AAPL;23/09/2016;114,419998
AAPL;22/09/2016;114,349998
AAPL;21/09/2016;113,849998
AAPL;20/09/2016;113,050003
AAPL;19/09/2016;115,190002
AAPL;16/09/2016;115,120003
AAPL;15/09/2016;113,860001
AAPL;14/09/2016;108,730003
AAPL;13/09/2016;107,510002
AAPL;12/09/2016;102,650002
AAPL;09/09/2016;104,639999
AAPL;08/09/2016;107,25
AAPL;07/09/2016;107,830002
AAPL;06/09/2016;107,900002
AAPL;02/09/2016;107,699997
AAPL;01/09/2016;106,139999
AAPL;31/08/2016;105,660004
AAPL;30/08/2016;105,800003
AAPL;29/08/2016;106,620003
AAPL;26/08/2016;107,410004
AAPL;25/08/2016;107,389999
AAPL;24/08/2016;108,57
AAPL;23/08/2016;108,589996
AAPL;22/08/2016;108,860001
AAPL;19/08/2016;108,769997
AAPL;18/08/2016;109,230003
AAPL;17/08/2016;109,099998
AAPL;16/08/2016;109,629997
AAPL;15/08/2016;108,139999
AAPL;12/08/2016;107,779999
AAPL;11/08/2016;108,519997
AAPL;10/08/2016;108,709999
AAPL;09/08/2016;108,230003
AAPL;08/08/2016;107,519997
AAPL;05/08/2016;106,269997
