Actif;Date;Close
ZEG.F;01/03/2017;54,895
ZEG.F;28/02/2017;54,776
ZEG.F;27/02/2017;54,503
ZEG.F;24/02/2017;55,927
ZEG.F;23/02/2017;55,321
ZEG.F;22/02/2017;54,628
ZEG.F;21/02/2017;54,334
ZEG.F;20/02/2017;54,517
ZEG.F;17/02/2017;54,933
ZEG.F;16/02/2017;53,924
ZEG.F;15/02/2017;56,011
ZEG.F;14/02/2017;54,888
ZEG.F;13/02/2017;55,47
ZEG.F;10/02/2017;54,704
ZEG.F;09/02/2017;54,369
ZEG.F;08/02/2017;53,999
ZEG.F;07/02/2017;52,556
ZEG.F;06/02/2017;51,265
ZEG.F;03/02/2017;51,468
ZEG.F;02/02/2017;50,404
ZEG.F;01/02/2017;51
ZEG.F;31/01/2017;49,578
ZEG.F;30/01/2017;50,004
ZEG.F;27/01/2017;50,364
ZEG.F;26/01/2017;51,464
ZEG.F;25/01/2017;50,986
ZEG.F;24/01/2017;49,406
ZEG.F;23/01/2017;50,154
ZEG.F;20/01/2017;50,145
ZEG.F;19/01/2017;53,097
ZEG.F;18/01/2017;53,5
ZEG.F;17/01/2017;53,401
ZEG.F;16/01/2017;52,858
ZEG.F;13/01/2017;53,073
ZEG.F;12/01/2017;53,001
ZEG.F;11/01/2017;54,346
ZEG.F;10/01/2017;54,278
ZEG.F;09/01/2017;53,799
ZEG.F;06/01/2017;53,223
ZEG.F;05/01/2017;53,27
ZEG.F;04/01/2017;54,166
ZEG.F;03/01/2017;53,045
ZEG.F;02/01/2017;52,995
ZEG.F;30/12/2016;52,937
ZEG.F;29/12/2016;52,426
ZEG.F;28/12/2016;53,009
ZEG.F;27/12/2016;53,434
ZEG.F;26/12/2016;52,9
ZEG.F;23/12/2016;52,9
ZEG.F;22/12/2016;51,128
ZEG.F;21/12/2016;52,067
ZEG.F;20/12/2016;52,119
ZEG.F;19/12/2016;51,343
ZEG.F;16/12/2016;53,299
ZEG.F;15/12/2016;53,213
ZEG.F;14/12/2016;52,347
ZEG.F;13/12/2016;53,136
ZEG.F;12/12/2016;51,854
ZEG.F;09/12/2016;51,246
ZEG.F;08/12/2016;49,446
ZEG.F;07/12/2016;48
ZEG.F;06/12/2016;47,931
ZEG.F;05/12/2016;47,885
ZEG.F;02/12/2016;48,85
ZEG.F;01/12/2016;49,916
ZEG.F;30/11/2016;50,042
ZEG.F;29/11/2016;50,567
ZEG.F;28/11/2016;50,482
ZEG.F;25/11/2016;52,202
ZEG.F;24/11/2016;51,218
ZEG.F;23/11/2016;50,81
ZEG.F;22/11/2016;50,471
ZEG.F;21/11/2016;52,54
ZEG.F;18/11/2016;50,771
ZEG.F;17/11/2016;51,182
ZEG.F;16/11/2016;51,244
ZEG.F;15/11/2016;51,105
ZEG.F;14/11/2016;51,432
ZEG.F;11/11/2016;50,656
ZEG.F;10/11/2016;51,043
ZEG.F;09/11/2016;53,499
ZEG.F;08/11/2016;50,574
ZEG.F;07/11/2016;50,366
ZEG.F;04/11/2016;49,963
ZEG.F;03/11/2016;51,215
ZEG.F;02/11/2016;50,985
ZEG.F;01/11/2016;50,268
ZEG.F;31/10/2016;51,955
ZEG.F;28/10/2016;51,698
ZEG.F;27/10/2016;51,6
ZEG.F;26/10/2016;54,5
ZEG.F;25/10/2016;54,329
ZEG.F;24/10/2016;54,876
ZEG.F;21/10/2016;56,112
ZEG.F;20/10/2016;56,728
ZEG.F;19/10/2016;56,453
ZEG.F;18/10/2016;56,534
ZEG.F;17/10/2016;55,626
ZEG.F;14/10/2016;55,713
ZEG.F;13/10/2016;55,398
ZEG.F;12/10/2016;56,18
ZEG.F;11/10/2016;56,2
ZEG.F;10/10/2016;57,4
ZEG.F;07/10/2016;57,162
ZEG.F;06/10/2016;57,38
ZEG.F;05/10/2016;57,833
ZEG.F;04/10/2016;58,773
ZEG.F;03/10/2016;58,673
ZEG.F;30/09/2016;58,673
ZEG.F;29/09/2016;58,78
ZEG.F;28/09/2016;59,574
ZEG.F;27/09/2016;59,037
ZEG.F;26/09/2016;59,826
ZEG.F;23/09/2016;60,154
ZEG.F;22/09/2016;60,44
ZEG.F;21/09/2016;60,054
ZEG.F;20/09/2016;59,771
ZEG.F;19/09/2016;60,9
ZEG.F;16/09/2016;60,582
ZEG.F;15/09/2016;59,063
ZEG.F;14/09/2016;58,604
ZEG.F;13/09/2016;57,491
ZEG.F;12/09/2016;58,188
ZEG.F;09/09/2016;58,262
ZEG.F;08/09/2016;58,491
ZEG.F;07/09/2016;58,55
ZEG.F;06/09/2016;59,449
ZEG.F;05/09/2016;59,351
ZEG.F;02/09/2016;59,437
ZEG.F;01/09/2016;57,573
ZEG.F;31/08/2016;58,402
ZEG.F;30/08/2016;59,287
ZEG.F;29/08/2016;59,204
ZEG.F;26/08/2016;58,532
ZEG.F;25/08/2016;59,92
ZEG.F;24/08/2016;60,413
ZEG.F;23/08/2016;59,838
ZEG.F;22/08/2016;59,747
ZEG.F;19/08/2016;58,691
ZEG.F;18/08/2016;58,693
ZEG.F;17/08/2016;59,071
ZEG.F;16/08/2016;58,727
ZEG.F;15/08/2016;59,663
ZEG.F;12/08/2016;59,613
ZEG.F;11/08/2016;59,985
ZEG.F;10/08/2016;60,919
ZEG.F;09/08/2016;61,172
ZEG.F;08/08/2016;61,133
ZEG.F;05/08/2016;62,137
ZEG.F;04/08/2016;60,86
ZEG.F;03/08/2016;60,432
ZEG.F;02/08/2016;60,039
ZEG.F;01/08/2016;60,084
ZEG.F;29/07/2016;60,488
ZEG.F;28/07/2016;60,038
ZEG.F;27/07/2016;56,303
ZEG.F;26/07/2016;56,584
ZEG.F;25/07/2016;56,202
ZEG.F;22/07/2016;55,741
ZEG.F;21/07/2016;55,129
ZEG.F;20/07/2016;55,302
ZEG.F;19/07/2016;54,753
ZEG.F;18/07/2016;54,894
ZEG.F;15/07/2016;54,434
ZEG.F;14/07/2016;54,455
ZEG.F;13/07/2016;54,493
ZEG.F;12/07/2016;53,798
ZEG.F;11/07/2016;54,261
ZEG.F;08/07/2016;54,199
ZEG.F;07/07/2016;54,5
ZEG.F;06/07/2016;53,712
ZEG.F;05/07/2016;53,961
ZEG.F;04/07/2016;54,425
ZEG.F;01/07/2016;54,569
ZEG.F;30/06/2016;53,278
ZEG.F;29/06/2016;53,606
ZEG.F;28/06/2016;51,843
ZEG.F;27/06/2016;50,754
ZEG.F;24/06/2016;51,356
ZEG.F;23/06/2016;50,864
ZEG.F;22/06/2016;52,024
ZEG.F;21/06/2016;51,179
ZEG.F;20/06/2016;50,771
ZEG.F;17/06/2016;49,238
ZEG.F;16/06/2016;48,687
ZEG.F;15/06/2016;49,498
ZEG.F;14/06/2016;48,005
ZEG.F;13/06/2016;48,687
ZEG.F;10/06/2016;49,975
ZEG.F;09/06/2016;50,987
ZEG.F;08/06/2016;52
ZEG.F;07/06/2016;52,526
ZEG.F;06/06/2016;52,379
ZEG.F;03/06/2016;53,194
ZEG.F;02/06/2016;52,914
ZEG.F;01/06/2016;52,8
ZEG.F;31/05/2016;53,804
ZEG.F;30/05/2016;53,636
ZEG.F;27/05/2016;53,535
ZEG.F;26/05/2016;53,291
ZEG.F;25/05/2016;53,735
ZEG.F;24/05/2016;53,473
ZEG.F;23/05/2016;51,419
ZEG.F;20/05/2016;50,89
ZEG.F;19/05/2016;50,202
ZEG.F;18/05/2016;50,9
ZEG.F;17/05/2016;50,699
ZEG.F;16/05/2016;49,989
ZEG.F;13/05/2016;49,989
ZEG.F;12/05/2016;50,125
ZEG.F;11/05/2016;50,284
ZEG.F;10/05/2016;50,495
ZEG.F;09/05/2016;49,876
ZEG.F;06/05/2016;48,5
ZEG.F;05/05/2016;49,258
ZEG.F;04/05/2016;49
ZEG.F;03/05/2016;50,564
ZEG.F;02/05/2016;52,221
ZEG.F;29/04/2016;51,326
ZEG.F;28/04/2016;51,842
ZEG.F;27/04/2016;52,476
ZEG.F;26/04/2016;52,95
ZEG.F;25/04/2016;53
ZEG.F;22/04/2016;54,33
ZEG.F;21/04/2016;53,241
ZEG.F;20/04/2016;53,773
ZEG.F;19/04/2016;53,712
ZEG.F;18/04/2016;52,364
ZEG.F;15/04/2016;52,59
ZEG.F;14/04/2016;52,491
ZEG.F;13/04/2016;52,5
ZEG.F;12/04/2016;51,397
ZEG.F;11/04/2016;52,012
