Actif;Date;Open
AZN.L;25/01/2017;4265
AZN.L;24/01/2017;4264
AZN.L;23/01/2017;4298
AZN.L;20/01/2017;4450
AZN.L;19/01/2017;4545
AZN.L;18/01/2017;4556
AZN.L;17/01/2017;4543,5
AZN.L;16/01/2017;4622,5
AZN.L;13/01/2017;4575,5
AZN.L;12/01/2017;4553
AZN.L;11/01/2017;4653
AZN.L;10/01/2017;4647,5
AZN.L;09/01/2017;4560,5
AZN.L;06/01/2017;4563
AZN.L;05/01/2017;4491,5
AZN.L;04/01/2017;4454
AZN.L;03/01/2017;4432,5
AZN.L;02/01/2017;4437,5
AZN.L;30/12/2016;4411
AZN.L;29/12/2016;4394
AZN.L;28/12/2016;4383,5
AZN.L;27/12/2016;4407
AZN.L;26/12/2016;4407
AZN.L;23/12/2016;4363,5
AZN.L;22/12/2016;4321
AZN.L;21/12/2016;4302,5
AZN.L;20/12/2016;4309
AZN.L;19/12/2016;4400
AZN.L;16/12/2016;4415,5
AZN.L;15/12/2016;4343
AZN.L;14/12/2016;4312,5
AZN.L;13/12/2016;4174
AZN.L;12/12/2016;4259
AZN.L;09/12/2016;4149,5
AZN.L;08/12/2016;4028,5
AZN.L;07/12/2016;4058
AZN.L;06/12/2016;4035,5
AZN.L;05/12/2016;4027,5
AZN.L;02/12/2016;4048
AZN.L;01/12/2016;4092,5
AZN.L;30/11/2016;4240
AZN.L;29/11/2016;4260,5
AZN.L;28/11/2016;4268
AZN.L;25/11/2016;4250
AZN.L;24/11/2016;4183,5
AZN.L;23/11/2016;4201,5
AZN.L;22/11/2016;4369
AZN.L;21/11/2016;4334
AZN.L;18/11/2016;4355
AZN.L;17/11/2016;4343
AZN.L;16/11/2016;4376
AZN.L;15/11/2016;4352,5
AZN.L;14/11/2016;4375,5
AZN.L;11/11/2016;4364
AZN.L;10/11/2016;4600
AZN.L;09/11/2016;4600
AZN.L;08/11/2016;4416
AZN.L;07/11/2016;4413
AZN.L;04/11/2016;4355,5
AZN.L;03/11/2016;4508
AZN.L;02/11/2016;4500
AZN.L;01/11/2016;4583
AZN.L;31/10/2016;4643
AZN.L;28/10/2016;4563,5
AZN.L;27/10/2016;4766,5
AZN.L;26/10/2016;4818
AZN.L;25/10/2016;4845,5
AZN.L;24/10/2016;4946,5
AZN.L;21/10/2016;4974
AZN.L;20/10/2016;4922,5
AZN.L;19/10/2016;5024
AZN.L;18/10/2016;4980,5
AZN.L;17/10/2016;4940,5
AZN.L;14/10/2016;4942
AZN.L;13/10/2016;4951,5
AZN.L;12/10/2016;5051
AZN.L;11/10/2016;5080
AZN.L;10/10/2016;5090
AZN.L;07/10/2016;5035
AZN.L;06/10/2016;5061
AZN.L;05/10/2016;5040
AZN.L;04/10/2016;5015
AZN.L;03/10/2016;5022
AZN.L;30/09/2016;5014
AZN.L;29/09/2016;5118
AZN.L;28/09/2016;5068
AZN.L;27/09/2016;5127
AZN.L;26/09/2016;5139
AZN.L;23/09/2016;5145
AZN.L;22/09/2016;5097
AZN.L;21/09/2016;5128
AZN.L;20/09/2016;5084
AZN.L;19/09/2016;5116
AZN.L;16/09/2016;4991,5
AZN.L;15/09/2016;4938,5
AZN.L;14/09/2016;4894
AZN.L;13/09/2016;4858,5
AZN.L;12/09/2016;4803,5
AZN.L;09/09/2016;4867,5
AZN.L;08/09/2016;4888
AZN.L;07/09/2016;4853,5
AZN.L;06/09/2016;4905
AZN.L;05/09/2016;4955
AZN.L;02/09/2016;4824,5
AZN.L;01/09/2016;4925
AZN.L;31/08/2016;4991
AZN.L;30/08/2016;4962
AZN.L;26/08/2016;4994
AZN.L;25/08/2016;5024
AZN.L;24/08/2016;5042
AZN.L;23/08/2016;5103
AZN.L;22/08/2016;5041
AZN.L;19/08/2016;5074
AZN.L;18/08/2016;5072
AZN.L;17/08/2016;5082
AZN.L;16/08/2016;5119
AZN.L;15/08/2016;5105
AZN.L;12/08/2016;5154
AZN.L;11/08/2016;5121
AZN.L;10/08/2016;5153
AZN.L;09/08/2016;5174
AZN.L;08/08/2016;5188
AZN.L;05/08/2016;5138
AZN.L;04/08/2016;5038
AZN.L;03/08/2016;5025
AZN.L;02/08/2016;5068
AZN.L;01/08/2016;5064
AZN.L;29/07/2016;5000
AZN.L;28/07/2016;4649,5
AZN.L;27/07/2016;4662,5
AZN.L;26/07/2016;4675
AZN.L;25/07/2016;4675,5
AZN.L;22/07/2016;4546,5
AZN.L;21/07/2016;4562
AZN.L;20/07/2016;4565
AZN.L;19/07/2016;4523
AZN.L;18/07/2016;4517
AZN.L;15/07/2016;4470,5
AZN.L;14/07/2016;4519
AZN.L;13/07/2016;4472
AZN.L;12/07/2016;4568,5
AZN.L;11/07/2016;4589,5
AZN.L;08/07/2016;4586
AZN.L;07/07/2016;4577
AZN.L;06/07/2016;4545
AZN.L;05/07/2016;4479
AZN.L;04/07/2016;4519
AZN.L;01/07/2016;4467
AZN.L;30/06/2016;4382,5
AZN.L;29/06/2016;4301
AZN.L;28/06/2016;4217,5
AZN.L;27/06/2016;4000
AZN.L;24/06/2016;3705
AZN.L;23/06/2016;3911,5
AZN.L;22/06/2016;3877
AZN.L;21/06/2016;3837,5
AZN.L;20/06/2016;3856,5
AZN.L;17/06/2016;3834,5
AZN.L;16/06/2016;3780
AZN.L;15/06/2016;3787
AZN.L;14/06/2016;3829
AZN.L;13/06/2016;3830
AZN.L;10/06/2016;3933
AZN.L;09/06/2016;4017
AZN.L;08/06/2016;4037,5
AZN.L;07/06/2016;4084,5
AZN.L;06/06/2016;4046
AZN.L;03/06/2016;4062
AZN.L;02/06/2016;4027,5
AZN.L;01/06/2016;4015
AZN.L;31/05/2016;4040
AZN.L;30/05/2016;4022,5
AZN.L;27/05/2016;4010
AZN.L;26/05/2016;4007,5
AZN.L;25/05/2016;3988,5
AZN.L;24/05/2016;3906
AZN.L;23/05/2016;3903
AZN.L;20/05/2016;3839
AZN.L;19/05/2016;3885,5
AZN.L;18/05/2016;3924
AZN.L;17/05/2016;3945
AZN.L;16/05/2016;3916
AZN.L;13/05/2016;3854,5
AZN.L;12/05/2016;3918,5
AZN.L;11/05/2016;3933
AZN.L;10/05/2016;3968,5
AZN.L;09/05/2016;3822,5
AZN.L;06/05/2016;3809,5
AZN.L;05/05/2016;3828,5
AZN.L;04/05/2016;3897,5
AZN.L;03/05/2016;3936,5
AZN.L;02/05/2016;3928
AZN.L;29/04/2016;3962,5
AZN.L;28/04/2016;3976,5
AZN.L;27/04/2016;3997,5
AZN.L;26/04/2016;4092
AZN.L;25/04/2016;4118,5
AZN.L;22/04/2016;4154,5
AZN.L;21/04/2016;4148,5
AZN.L;20/04/2016;4136
AZN.L;19/04/2016;4164,5
AZN.L;18/04/2016;4125,5
AZN.L;15/04/2016;4148
AZN.L;14/04/2016;4112,5
AZN.L;13/04/2016;4094
AZN.L;12/04/2016;4023
AZN.L;11/04/2016;4152,5
AZN.L;08/04/2016;4181
AZN.L;07/04/2016;4160
AZN.L;06/04/2016;3980
AZN.L;05/04/2016;3940
AZN.L;04/04/2016;3932,5
AZN.L;01/04/2016;3870,5
AZN.L;31/03/2016;3915
AZN.L;30/03/2016;3945
AZN.L;29/03/2016;3915
AZN.L;28/03/2016;3907
AZN.L;24/03/2016;3942
AZN.L;23/03/2016;3899
AZN.L;22/03/2016;3896,5
AZN.L;21/03/2016;3900
AZN.L;18/03/2016;3940,5
AZN.L;17/03/2016;4014
AZN.L;16/03/2016;4014
AZN.L;15/03/2016;4042,5
AZN.L;14/03/2016;4067,5
AZN.L;11/03/2016;4082
AZN.L;10/03/2016;4089,5
AZN.L;09/03/2016;4068
AZN.L;08/03/2016;4000
AZN.L;07/03/2016;4016
AZN.L;04/03/2016;4041,5
AZN.L;03/03/2016;4092
AZN.L;02/03/2016;4128,5
AZN.L;01/03/2016;4116,5
AZN.L;29/02/2016;4176
AZN.L;26/02/2016;4240,5
AZN.L;25/02/2016;4123
AZN.L;24/02/2016;4141,5
AZN.L;23/02/2016;4107
AZN.L;22/02/2016;4114
AZN.L;19/02/2016;4126,5
AZN.L;18/02/2016;4209
AZN.L;17/02/2016;4198
AZN.L;16/02/2016;4179
AZN.L;15/02/2016;4128,5
AZN.L;12/02/2016;4015,5
AZN.L;11/02/2016;3983,5
AZN.L;10/02/2016;3957,5
AZN.L;09/02/2016;3922,5
AZN.L;08/02/2016;4126
AZN.L;05/02/2016;4155
AZN.L;04/02/2016;4354
AZN.L;03/02/2016;4473,5
AZN.L;02/02/2016;4495,5
AZN.L;01/02/2016;4506,5
AZN.L;29/01/2016;4385
AZN.L;28/01/2016;4444
AZN.L;27/01/2016;4420
AZN.L;26/01/2016;4321,5
AZN.L;25/01/2016;4379
AZN.L;22/01/2016;4326
AZN.L;21/01/2016;4300
AZN.L;20/01/2016;4236
AZN.L;19/01/2016;4289
AZN.L;18/01/2016;4216,5
AZN.L;15/01/2016;4320,5
AZN.L;14/01/2016;4343
AZN.L;13/01/2016;4375
AZN.L;12/01/2016;4270,5
AZN.L;11/01/2016;4336
AZN.L;08/01/2016;4424
AZN.L;07/01/2016;4446,5
AZN.L;06/01/2016;4556
AZN.L;05/01/2016;4521
AZN.L;04/01/2016;4565
AZN.L;31/12/2015;4589
AZN.L;30/12/2015;4616
AZN.L;29/12/2015;4580
AZN.L;28/12/2015;4540
AZN.L;25/12/2015;4540
AZN.L;24/12/2015;4487,5
AZN.L;23/12/2015;4432
AZN.L;22/12/2015;4396
AZN.L;21/12/2015;4372
AZN.L;18/12/2015;4420
AZN.L;17/12/2015;4500
AZN.L;16/12/2015;4381
AZN.L;15/12/2015;4324
AZN.L;14/12/2015;4339,5
AZN.L;11/12/2015;4377,5
AZN.L;10/12/2015;4402,5
AZN.L;09/12/2015;4454,5
AZN.L;08/12/2015;4483
AZN.L;07/12/2015;4437,5
AZN.L;04/12/2015;4451
AZN.L;03/12/2015;4593
AZN.L;02/12/2015;4565,5
AZN.L;01/12/2015;4526,5
AZN.L;30/11/2015;4504
AZN.L;27/11/2015;4500
AZN.L;26/11/2015;4500
AZN.L;25/11/2015;4488
AZN.L;24/11/2015;4468,5
AZN.L;23/11/2015;4491
AZN.L;20/11/2015;4450
AZN.L;19/11/2015;4414
AZN.L;18/11/2015;4393
AZN.L;17/11/2015;4300
AZN.L;16/11/2015;4056,5
AZN.L;13/11/2015;4057
AZN.L;12/11/2015;4192
AZN.L;11/11/2015;4183,5
AZN.L;10/11/2015;4160,5
AZN.L;09/11/2015;4220,5
AZN.L;06/11/2015;4260
AZN.L;05/11/2015;4215,5
AZN.L;04/11/2015;4171
AZN.L;03/11/2015;4185
AZN.L;02/11/2015;4117
