Actif;Date;Close
CAJ.F;01/03/2017;49,897
CAJ.F;28/02/2017;49,844
CAJ.F;27/02/2017;50,248
CAJ.F;24/02/2017;52,305
CAJ.F;23/02/2017;52,514
CAJ.F;22/02/2017;52,779
CAJ.F;21/02/2017;51,315
CAJ.F;20/02/2017;51,226
CAJ.F;17/02/2017;51,02
CAJ.F;16/02/2017;51,907
CAJ.F;15/02/2017;52,382
CAJ.F;14/02/2017;51,578
CAJ.F;13/02/2017;51,546
CAJ.F;10/02/2017;51,053
CAJ.F;09/02/2017;49,921
CAJ.F;08/02/2017;49,913
CAJ.F;07/02/2017;49,495
CAJ.F;06/02/2017;50,57
CAJ.F;03/02/2017;50,279
CAJ.F;02/02/2017;50,281
CAJ.F;01/02/2017;50,52
CAJ.F;31/01/2017;49,742
CAJ.F;30/01/2017;50,489
CAJ.F;27/01/2017;50,566
CAJ.F;26/01/2017;50,675
CAJ.F;25/01/2017;51,21
CAJ.F;24/01/2017;50,411
CAJ.F;23/01/2017;50,65
CAJ.F;20/01/2017;50,752
CAJ.F;19/01/2017;50,6
CAJ.F;18/01/2017;51,631
CAJ.F;17/01/2017;49,791
CAJ.F;16/01/2017;50,11
CAJ.F;13/01/2017;49,54
CAJ.F;12/01/2017;48,796
CAJ.F;11/01/2017;49,005
CAJ.F;10/01/2017;48,365
CAJ.F;09/01/2017;48,525
CAJ.F;06/01/2017;46,68
CAJ.F;05/01/2017;46,455
CAJ.F;04/01/2017;46,533
CAJ.F;03/01/2017;46,918
CAJ.F;02/01/2017;45,252
CAJ.F;30/12/2016;45,11
CAJ.F;29/12/2016;44,596
CAJ.F;28/12/2016;45,063
CAJ.F;27/12/2016;45,365
CAJ.F;26/12/2016;45,148
CAJ.F;23/12/2016;45,148
CAJ.F;22/12/2016;45,17
CAJ.F;21/12/2016;45,837
CAJ.F;20/12/2016;45,526
CAJ.F;19/12/2016;45,355
CAJ.F;16/12/2016;44,269
CAJ.F;15/12/2016;46,125
CAJ.F;14/12/2016;45,866
CAJ.F;13/12/2016;45,67
CAJ.F;12/12/2016;45,726
CAJ.F;09/12/2016;45,385
CAJ.F;08/12/2016;44,16
CAJ.F;07/12/2016;42,669
CAJ.F;06/12/2016;42,575
CAJ.F;05/12/2016;41,235
CAJ.F;02/12/2016;41,919
CAJ.F;01/12/2016;42,695
CAJ.F;30/11/2016;42,774
CAJ.F;29/11/2016;42,307
CAJ.F;28/11/2016;43,726
CAJ.F;25/11/2016;44,147
CAJ.F;24/11/2016;44,495
CAJ.F;23/11/2016;45,32
CAJ.F;22/11/2016;44,83
CAJ.F;21/11/2016;43,838
CAJ.F;18/11/2016;44,066
CAJ.F;17/11/2016;44,225
CAJ.F;16/11/2016;44,408
CAJ.F;15/11/2016;43,241
CAJ.F;14/11/2016;43,87
CAJ.F;11/11/2016;43,35
CAJ.F;10/11/2016;46,571
CAJ.F;09/11/2016;45,068
CAJ.F;08/11/2016;46,198
CAJ.F;07/11/2016;46,028
CAJ.F;04/11/2016;45,705
CAJ.F;03/11/2016;45,009
CAJ.F;02/11/2016;45,221
CAJ.F;01/11/2016;45,4
CAJ.F;31/10/2016;46,462
CAJ.F;28/10/2016;46,285
CAJ.F;27/10/2016;45,891
CAJ.F;26/10/2016;46,14
CAJ.F;25/10/2016;46,639
CAJ.F;24/10/2016;46,68
CAJ.F;21/10/2016;46,663
CAJ.F;20/10/2016;45,776
CAJ.F;19/10/2016;45
CAJ.F;18/10/2016;42,901
CAJ.F;17/10/2016;42,677
CAJ.F;14/10/2016;41,739
CAJ.F;13/10/2016;43
CAJ.F;12/10/2016;42,338
CAJ.F;11/10/2016;42,21
CAJ.F;10/10/2016;41,869
CAJ.F;07/10/2016;41,8
CAJ.F;06/10/2016;43,739
CAJ.F;05/10/2016;43,2
CAJ.F;04/10/2016;42,601
CAJ.F;03/10/2016;42,005
CAJ.F;30/09/2016;42,005
CAJ.F;29/09/2016;42,933
CAJ.F;28/09/2016;42,9
CAJ.F;27/09/2016;43,321
CAJ.F;26/09/2016;43,399
CAJ.F;23/09/2016;43,747
CAJ.F;22/09/2016;42,513
CAJ.F;21/09/2016;43,266
CAJ.F;20/09/2016;43,542
CAJ.F;19/09/2016;42,722
CAJ.F;16/09/2016;43,067
CAJ.F;15/09/2016;43,015
CAJ.F;14/09/2016;43,317
CAJ.F;13/09/2016;44,317
CAJ.F;12/09/2016;44,877
CAJ.F;09/09/2016;46,818
CAJ.F;08/09/2016;46,35
CAJ.F;07/09/2016;45,082
CAJ.F;06/09/2016;45,694
CAJ.F;05/09/2016;45,755
CAJ.F;02/09/2016;44,242
CAJ.F;01/09/2016;44,365
CAJ.F;31/08/2016;44,38
CAJ.F;30/08/2016;43,994
CAJ.F;29/08/2016;43,898
CAJ.F;26/08/2016;44,3
CAJ.F;25/08/2016;45,336
CAJ.F;24/08/2016;45,642
CAJ.F;23/08/2016;44,925
CAJ.F;22/08/2016;44,459
CAJ.F;19/08/2016;44,711
CAJ.F;18/08/2016;43,882
CAJ.F;17/08/2016;44,87
CAJ.F;16/08/2016;45,3
CAJ.F;15/08/2016;45,384
CAJ.F;12/08/2016;45,8
CAJ.F;11/08/2016;45,526
CAJ.F;10/08/2016;45,67
CAJ.F;09/08/2016;45,652
CAJ.F;08/08/2016;45,885
CAJ.F;05/08/2016;44,97
CAJ.F;04/08/2016;45,193
CAJ.F;03/08/2016;44,98
CAJ.F;02/08/2016;44,77
CAJ.F;01/08/2016;46,62
CAJ.F;29/07/2016;50,465
CAJ.F;28/07/2016;51,391
CAJ.F;27/07/2016;51,16
CAJ.F;26/07/2016;50,96
CAJ.F;25/07/2016;51,043
CAJ.F;22/07/2016;51,014
CAJ.F;21/07/2016;51,345
CAJ.F;20/07/2016;52,489
CAJ.F;19/07/2016;52,797
CAJ.F;18/07/2016;53,191
CAJ.F;15/07/2016;53,105
CAJ.F;14/07/2016;52,956
CAJ.F;13/07/2016;53,49
CAJ.F;12/07/2016;53
CAJ.F;11/07/2016;49,953
CAJ.F;08/07/2016;48,148
CAJ.F;07/07/2016;48,67
CAJ.F;06/07/2016;48,22
CAJ.F;05/07/2016;49,205
CAJ.F;04/07/2016;50,541
CAJ.F;01/07/2016;50,756
CAJ.F;30/06/2016;51,2
CAJ.F;29/06/2016;48,79
CAJ.F;28/06/2016;45,925
CAJ.F;27/06/2016;46,956
CAJ.F;24/06/2016;49,584
CAJ.F;23/06/2016;50,605
