Actif;Date;Open
CO.PA;25/01/2017;51,38
CO.PA;24/01/2017;50,61
CO.PA;23/01/2017;50,68
CO.PA;20/01/2017;50,97
CO.PA;19/01/2017;51,06
CO.PA;18/01/2017;51,74
CO.PA;17/01/2017;49,68
CO.PA;16/01/2017;50,1
CO.PA;13/01/2017;49,28
CO.PA;12/01/2017;48,9
CO.PA;11/01/2017;49,25
CO.PA;10/01/2017;48,36
CO.PA;09/01/2017;47,655
CO.PA;06/01/2017;46,635
CO.PA;05/01/2017;46,61
CO.PA;04/01/2017;46,56
CO.PA;03/01/2017;47,05
CO.PA;02/01/2017;45,795
CO.PA;30/12/2016;45,02
CO.PA;29/12/2016;44,855
CO.PA;28/12/2016;45,145
CO.PA;27/12/2016;45,605
CO.PA;26/12/2016;45,565
CO.PA;23/12/2016;45,23
CO.PA;22/12/2016;45,42
CO.PA;21/12/2016;45,655
CO.PA;20/12/2016;45,685
CO.PA;19/12/2016;45,005
CO.PA;16/12/2016;44,715
CO.PA;15/12/2016;46,415
CO.PA;14/12/2016;45,805
CO.PA;13/12/2016;45,88
CO.PA;12/12/2016;45,61
CO.PA;09/12/2016;44,86
CO.PA;08/12/2016;43,32
CO.PA;07/12/2016;42,85
CO.PA;06/12/2016;42,16
CO.PA;05/12/2016;41,43
CO.PA;02/12/2016;41,95
CO.PA;01/12/2016;42,75
CO.PA;30/11/2016;42,67
CO.PA;29/11/2016;42,43
CO.PA;28/11/2016;42,28
CO.PA;25/11/2016;44,77
CO.PA;24/11/2016;44,9
CO.PA;23/11/2016;45,395
CO.PA;22/11/2016;44,715
CO.PA;21/11/2016;44,23
CO.PA;18/11/2016;44,15
CO.PA;17/11/2016;44,03
CO.PA;16/11/2016;44,3
CO.PA;15/11/2016;43,455
CO.PA;14/11/2016;44
CO.PA;11/11/2016;44,71
CO.PA;10/11/2016;46,44
CO.PA;09/11/2016;45
CO.PA;08/11/2016;46,22
CO.PA;07/11/2016;46,105
CO.PA;04/11/2016;45,93
CO.PA;03/11/2016;45,275
CO.PA;02/11/2016;45,395
CO.PA;01/11/2016;45,595
CO.PA;31/10/2016;46,52
CO.PA;28/10/2016;46,2
CO.PA;27/10/2016;46,19
CO.PA;26/10/2016;46,565
CO.PA;25/10/2016;47,115
CO.PA;24/10/2016;46,85
CO.PA;21/10/2016;46,88
CO.PA;20/10/2016;45,735
CO.PA;19/10/2016;43,86
CO.PA;18/10/2016;42,895
CO.PA;17/10/2016;43
CO.PA;14/10/2016;41,955
CO.PA;13/10/2016;43,265
CO.PA;12/10/2016;42,595
CO.PA;11/10/2016;42,52
CO.PA;10/10/2016;41,92
CO.PA;07/10/2016;43,45
CO.PA;06/10/2016;44,105
CO.PA;05/10/2016;43,25
CO.PA;04/10/2016;42,89
CO.PA;03/10/2016;43,32
CO.PA;30/09/2016;42,405
CO.PA;29/09/2016;42,955
CO.PA;28/09/2016;43,065
CO.PA;27/09/2016;43,575
CO.PA;26/09/2016;43,705
CO.PA;23/09/2016;43,975
CO.PA;22/09/2016;42,875
CO.PA;21/09/2016;43,49
CO.PA;20/09/2016;43,675
CO.PA;19/09/2016;42,91
CO.PA;16/09/2016;43,005
CO.PA;15/09/2016;43,335
CO.PA;14/09/2016;43,14
CO.PA;13/09/2016;44,635
CO.PA;12/09/2016;45,25
CO.PA;09/09/2016;46,73
CO.PA;08/09/2016;46,59
CO.PA;07/09/2016;45,345
CO.PA;06/09/2016;45,785
CO.PA;05/09/2016;45,555
CO.PA;02/09/2016;44,475
CO.PA;01/09/2016;44,31
CO.PA;31/08/2016;44,34
CO.PA;30/08/2016;44,295
CO.PA;29/08/2016;44,255
CO.PA;26/08/2016;44,535
CO.PA;25/08/2016;45,16
CO.PA;24/08/2016;45,625
CO.PA;23/08/2016;45,28
CO.PA;22/08/2016;44,355
CO.PA;19/08/2016;44,85
CO.PA;18/08/2016;44,155
CO.PA;17/08/2016;45
CO.PA;16/08/2016;45,4
CO.PA;15/08/2016;45,46
CO.PA;12/08/2016;45,575
CO.PA;11/08/2016;45,74
CO.PA;10/08/2016;45,745
CO.PA;09/08/2016;45,48
CO.PA;08/08/2016;45,21
CO.PA;05/08/2016;45
CO.PA;04/08/2016;45,49
CO.PA;03/08/2016;44,805
CO.PA;02/08/2016;45,56
CO.PA;01/08/2016;48
CO.PA;29/07/2016;51,2
CO.PA;28/07/2016;51,36
CO.PA;27/07/2016;51,25
CO.PA;26/07/2016;51,11
CO.PA;25/07/2016;51,28
CO.PA;22/07/2016;51,13
CO.PA;21/07/2016;51,24
CO.PA;20/07/2016;52,65
CO.PA;19/07/2016;52,75
CO.PA;18/07/2016;53,33
CO.PA;15/07/2016;53,21
CO.PA;14/07/2016;53,35
CO.PA;13/07/2016;53,13
CO.PA;12/07/2016;51,41
CO.PA;11/07/2016;50,25
CO.PA;08/07/2016;48,435
CO.PA;07/07/2016;48,29
CO.PA;06/07/2016;48,5
CO.PA;05/07/2016;50,06
CO.PA;04/07/2016;50,65
CO.PA;01/07/2016;50,66
CO.PA;30/06/2016;49,2
CO.PA;29/06/2016;48,055
CO.PA;28/06/2016;47,11
CO.PA;27/06/2016;47,1
CO.PA;24/06/2016;48,8
CO.PA;23/06/2016;50,74
CO.PA;22/06/2016;50,89
CO.PA;21/06/2016;51,2
CO.PA;20/06/2016;50,2
CO.PA;17/06/2016;48,855
CO.PA;16/06/2016;48,57
CO.PA;15/06/2016;49,13
CO.PA;14/06/2016;49,98
CO.PA;13/06/2016;50,95
CO.PA;10/06/2016;53,01
CO.PA;09/06/2016;54,26
CO.PA;08/06/2016;54,62
CO.PA;07/06/2016;54,39
CO.PA;06/06/2016;52,81
CO.PA;03/06/2016;53,46
CO.PA;02/06/2016;52,93
CO.PA;01/06/2016;53,31
CO.PA;31/05/2016;53
CO.PA;30/05/2016;52,45
CO.PA;27/05/2016;52,47
CO.PA;26/05/2016;52,17
CO.PA;25/05/2016;51,95
CO.PA;24/05/2016;50,19
CO.PA;23/05/2016;50,21
CO.PA;20/05/2016;49,99
CO.PA;19/05/2016;50,2
CO.PA;18/05/2016;50,72
CO.PA;17/05/2016;49,985
CO.PA;16/05/2016;53,03
CO.PA;13/05/2016;53,29
CO.PA;12/05/2016;51,26
CO.PA;11/05/2016;50,67
CO.PA;10/05/2016;50,1
CO.PA;09/05/2016;49,955
CO.PA;06/05/2016;49,46
CO.PA;05/05/2016;49,505
CO.PA;04/05/2016;49,95
CO.PA;03/05/2016;51,56
CO.PA;02/05/2016;52,05
CO.PA;29/04/2016;52,02
CO.PA;28/04/2016;51,2
CO.PA;27/04/2016;51,56
CO.PA;26/04/2016;52,02
CO.PA;25/04/2016;52,96
CO.PA;22/04/2016;52,3
CO.PA;21/04/2016;52,76
CO.PA;20/04/2016;52,96
CO.PA;19/04/2016;52,87
CO.PA;18/04/2016;52,51
CO.PA;15/04/2016;53,41
CO.PA;14/04/2016;54,44
CO.PA;13/04/2016;53
CO.PA;12/04/2016;52
CO.PA;11/04/2016;49,7
CO.PA;08/04/2016;48,87
CO.PA;07/04/2016;49,1
CO.PA;06/04/2016;49,04
CO.PA;05/04/2016;50,01
CO.PA;04/04/2016;49,455
CO.PA;01/04/2016;50
CO.PA;31/03/2016;50,5
CO.PA;30/03/2016;49,36
CO.PA;29/03/2016;49,295
CO.PA;28/03/2016;49,15
CO.PA;25/03/2016;49,15
CO.PA;24/03/2016;49,61
CO.PA;23/03/2016;50,31
CO.PA;22/03/2016;50
CO.PA;21/03/2016;47,59
CO.PA;18/03/2016;50,9
CO.PA;17/03/2016;48,84
CO.PA;16/03/2016;48,2
CO.PA;15/03/2016;47,825
CO.PA;14/03/2016;47,435
CO.PA;11/03/2016;46,44
CO.PA;10/03/2016;47,29
CO.PA;09/03/2016;47,675
CO.PA;08/03/2016;48
CO.PA;07/03/2016;49,01
CO.PA;04/03/2016;47,2
CO.PA;03/03/2016;45,165
CO.PA;02/03/2016;43,595
CO.PA;01/03/2016;41,6
CO.PA;29/02/2016;41,255
CO.PA;26/02/2016;40,525
CO.PA;25/02/2016;40,75
CO.PA;24/02/2016;40,58
CO.PA;23/02/2016;40,965
CO.PA;22/02/2016;41,13
CO.PA;19/02/2016;41,8
CO.PA;18/02/2016;41,66
CO.PA;17/02/2016;41,285
CO.PA;16/02/2016;42,2
CO.PA;15/02/2016;41,23
CO.PA;12/02/2016;40,625
CO.PA;11/02/2016;41,24
CO.PA;10/02/2016;43,945
CO.PA;09/02/2016;43,725
CO.PA;08/02/2016;46
CO.PA;05/02/2016;41,56
CO.PA;04/02/2016;39,535
CO.PA;03/02/2016;40,405
CO.PA;02/02/2016;41,915
CO.PA;01/02/2016;41,97
CO.PA;29/01/2016;40,5
CO.PA;28/01/2016;39,05
CO.PA;27/01/2016;38,81
CO.PA;26/01/2016;37,75
CO.PA;25/01/2016;38,91
CO.PA;22/01/2016;37,5
CO.PA;21/01/2016;35,315
CO.PA;20/01/2016;35,76
CO.PA;19/01/2016;37,365
CO.PA;18/01/2016;39
CO.PA;15/01/2016;40,5
CO.PA;14/01/2016;41,5
CO.PA;13/01/2016;40,535
CO.PA;12/01/2016;39,99
CO.PA;11/01/2016;40,55
CO.PA;08/01/2016;41,1
CO.PA;07/01/2016;40,16
CO.PA;06/01/2016;41,4
CO.PA;05/01/2016;40,665
CO.PA;04/01/2016;42,02
CO.PA;01/01/2016;43,29
CO.PA;31/12/2015;43
CO.PA;30/12/2015;42,79
CO.PA;29/12/2015;42,705
CO.PA;28/12/2015;43,5
CO.PA;25/12/2015;43,3
CO.PA;24/12/2015;43,575
CO.PA;23/12/2015;41,51
CO.PA;22/12/2015;42,19
CO.PA;21/12/2015;44,01
CO.PA;18/12/2015;42,905
CO.PA;17/12/2015;49,99
CO.PA;16/12/2015;49,95
CO.PA;15/12/2015;45,295
CO.PA;14/12/2015;45,795
CO.PA;11/12/2015;46,84
CO.PA;10/12/2015;47,075
CO.PA;09/12/2015;46,565
CO.PA;08/12/2015;48,345
CO.PA;07/12/2015;49,265
CO.PA;04/12/2015;49,18
CO.PA;03/12/2015;50,25
CO.PA;02/12/2015;51,36
CO.PA;01/12/2015;53,82
CO.PA;30/11/2015;53,83
CO.PA;27/11/2015;55
CO.PA;26/11/2015;54,59
CO.PA;25/11/2015;54,76
CO.PA;24/11/2015;54,92
CO.PA;23/11/2015;56,31
CO.PA;20/11/2015;55,19
CO.PA;19/11/2015;53,34
CO.PA;18/11/2015;52,07
CO.PA;17/11/2015;51,22
CO.PA;16/11/2015;49,83
CO.PA;13/11/2015;51,17
CO.PA;12/11/2015;52,8
CO.PA;11/11/2015;52,75
CO.PA;10/11/2015;54,92
CO.PA;09/11/2015;55,84
CO.PA;06/11/2015;55,1
CO.PA;05/11/2015;55,52
CO.PA;04/11/2015;54,27
CO.PA;03/11/2015;52,91
CO.PA;02/11/2015;51,95
CO.PA;30/10/2015;53,04
CO.PA;29/10/2015;53,24
CO.PA;28/10/2015;52,89
CO.PA;27/10/2015;53,99
CO.PA;26/10/2015;54,75
CO.PA;23/10/2015;53,94
CO.PA;22/10/2015;53,18
CO.PA;21/10/2015;53,71
CO.PA;20/10/2015;53,87
CO.PA;19/10/2015;55,6
CO.PA;16/10/2015;56,43
CO.PA;15/10/2015;57,8
CO.PA;14/10/2015;52,5
CO.PA;13/10/2015;55,66
CO.PA;12/10/2015;55,66
CO.PA;09/10/2015;55
CO.PA;08/10/2015;55,05
CO.PA;07/10/2015;54,15
CO.PA;06/10/2015;52,45
CO.PA;05/10/2015;50,16
CO.PA;02/10/2015;48,15
CO.PA;01/10/2015;48,04
CO.PA;30/09/2015;46,34
CO.PA;29/09/2015;44,33
CO.PA;28/09/2015;46,745
CO.PA;25/09/2015;46
CO.PA;24/09/2015;47,75
CO.PA;23/09/2015;47,705
CO.PA;22/09/2015;48,7
CO.PA;21/09/2015;48,9
CO.PA;18/09/2015;49,165
CO.PA;17/09/2015;51,19
CO.PA;16/09/2015;49,89
CO.PA;15/09/2015;48,48
CO.PA;14/09/2015;50,02
CO.PA;11/09/2015;51,58
CO.PA;10/09/2015;54,1
CO.PA;09/09/2015;55,28
CO.PA;08/09/2015;54,19
CO.PA;07/09/2015;54,08
CO.PA;04/09/2015;55,01
CO.PA;03/09/2015;55,11
CO.PA;02/09/2015;55,08
CO.PA;01/09/2015;55,87
CO.PA;31/08/2015;57
CO.PA;28/08/2015;57,6
CO.PA;27/08/2015;58
CO.PA;26/08/2015;57,38
CO.PA;25/08/2015;57,11
CO.PA;24/08/2015;59,37
CO.PA;21/08/2015;60,24
CO.PA;20/08/2015;61,33
CO.PA;19/08/2015;63
CO.PA;18/08/2015;63,77
CO.PA;17/08/2015;65,1
CO.PA;14/08/2015;65,33
CO.PA;13/08/2015;66,31
