Actif;Date;Close
XCA.F;01/03/2017;11,821
XCA.F;28/02/2017;11,364
XCA.F;27/02/2017;11,247
XCA.F;24/02/2017;11,269
XCA.F;23/02/2017;11,584
XCA.F;22/02/2017;11,598
XCA.F;21/02/2017;11,639
XCA.F;20/02/2017;11,994
XCA.F;17/02/2017;11,84
XCA.F;16/02/2017;12,139
XCA.F;15/02/2017;12,264
XCA.F;14/02/2017;11,736
XCA.F;13/02/2017;11,659
XCA.F;10/02/2017;11,382
XCA.F;09/02/2017;11,552
XCA.F;08/02/2017;11,272
XCA.F;07/02/2017;11,7
XCA.F;06/02/2017;11,95
XCA.F;03/02/2017;12,226
XCA.F;02/02/2017;12,154
XCA.F;01/02/2017;12,341
XCA.F;31/01/2017;12,446
XCA.F;30/01/2017;12,242
XCA.F;27/01/2017;12,399
XCA.F;26/01/2017;12,599
XCA.F;25/01/2017;12,544
XCA.F;24/01/2017;12,219
XCA.F;23/01/2017;12,034
XCA.F;20/01/2017;12,311
XCA.F;19/01/2017;12,342
XCA.F;18/01/2017;12,291
XCA.F;17/01/2017;12,418
XCA.F;16/01/2017;12,419
XCA.F;13/01/2017;12,426
XCA.F;12/01/2017;12,2
XCA.F;11/01/2017;12,067
XCA.F;10/01/2017;12,092
XCA.F;09/01/2017;12,039
XCA.F;06/01/2017;12,276
XCA.F;05/01/2017;12,307
XCA.F;04/01/2017;12,271
XCA.F;03/01/2017;12,289
XCA.F;02/01/2017;11,84
XCA.F;30/12/2016;11,727
XCA.F;29/12/2016;11,757
XCA.F;28/12/2016;11,839
XCA.F;27/12/2016;11,919
XCA.F;26/12/2016;11,883
XCA.F;23/12/2016;11,883
XCA.F;22/12/2016;12,041
XCA.F;21/12/2016;11,923
XCA.F;20/12/2016;11,967
XCA.F;19/12/2016;11,83
XCA.F;16/12/2016;11,952
XCA.F;15/12/2016;11,852
XCA.F;14/12/2016;11,614
XCA.F;13/12/2016;11,579
XCA.F;12/12/2016;11,564
XCA.F;09/12/2016;11,439
XCA.F;08/12/2016;11,517
XCA.F;07/12/2016;11,295
XCA.F;06/12/2016;11,132
XCA.F;05/12/2016;10,815
XCA.F;02/12/2016;10,66
XCA.F;01/12/2016;10,724
XCA.F;30/11/2016;10,69
XCA.F;29/11/2016;10,453
XCA.F;28/11/2016;10,638
XCA.F;25/11/2016;10,795
XCA.F;24/11/2016;10,872
XCA.F;23/11/2016;11
XCA.F;22/11/2016;11,07
XCA.F;21/11/2016;10,733
XCA.F;18/11/2016;10,825
XCA.F;17/11/2016;10,759
XCA.F;16/11/2016;10,748
XCA.F;15/11/2016;10,855
XCA.F;14/11/2016;10,818
XCA.F;11/11/2016;10,687
XCA.F;10/11/2016;10,675
XCA.F;09/11/2016;10,418
XCA.F;08/11/2016;10,085
XCA.F;07/11/2016;9,792
XCA.F;04/11/2016;9,488
XCA.F;03/11/2016;9,676
XCA.F;02/11/2016;9,622
XCA.F;01/11/2016;9,814
XCA.F;31/10/2016;9,834
XCA.F;28/10/2016;9,906
XCA.F;27/10/2016;9,919
XCA.F;26/10/2016;9,847
XCA.F;25/10/2016;9,868
XCA.F;24/10/2016;9,832
XCA.F;21/10/2016;9,546
XCA.F;20/10/2016;9,371
XCA.F;19/10/2016;9,365
XCA.F;18/10/2016;9,405
XCA.F;17/10/2016;9,236
XCA.F;14/10/2016;9,151
XCA.F;13/10/2016;9,166
XCA.F;12/10/2016;9,183
XCA.F;11/10/2016;9,234
XCA.F;10/10/2016;9,049
XCA.F;07/10/2016;9,073
XCA.F;06/10/2016;9,213
XCA.F;05/10/2016;9,001
XCA.F;04/10/2016;8,9
XCA.F;03/10/2016;8,435
XCA.F;30/09/2016;8,435
XCA.F;29/09/2016;8,76
XCA.F;28/09/2016;8,776
XCA.F;27/09/2016;8,548
XCA.F;26/09/2016;8,63
XCA.F;23/09/2016;8,844
XCA.F;22/09/2016;8,918
XCA.F;21/09/2016;8,922
XCA.F;20/09/2016;8,607
XCA.F;19/09/2016;8,662
XCA.F;16/09/2016;8,65
XCA.F;15/09/2016;8,528
XCA.F;14/09/2016;8,53
XCA.F;13/09/2016;8,463
XCA.F;12/09/2016;8,572
XCA.F;09/09/2016;8,841
XCA.F;08/09/2016;8,608
XCA.F;07/09/2016;8,607
XCA.F;06/09/2016;8,659
XCA.F;05/09/2016;8,66
XCA.F;02/09/2016;8,59
XCA.F;01/09/2016;8,483
XCA.F;31/08/2016;8,457
XCA.F;30/08/2016;8,188
XCA.F;29/08/2016;8,14
XCA.F;26/08/2016;8,138
XCA.F;25/08/2016;8,149
XCA.F;24/08/2016;8,203
XCA.F;23/08/2016;8,1
