Actif;Date;Open
ACA.PA;25/01/2017;12,34
ACA.PA;24/01/2017;12,07
ACA.PA;23/01/2017;12,17
ACA.PA;20/01/2017;12,35
ACA.PA;19/01/2017;12,34
ACA.PA;18/01/2017;12,425
ACA.PA;17/01/2017;12,38
ACA.PA;16/01/2017;12,5
ACA.PA;13/01/2017;12,18
ACA.PA;12/01/2017;12,025
ACA.PA;11/01/2017;12,045
ACA.PA;10/01/2017;12,135
ACA.PA;09/01/2017;12,325
ACA.PA;06/01/2017;12,29
ACA.PA;05/01/2017;12,295
ACA.PA;04/01/2017;12,315
ACA.PA;03/01/2017;11,935
ACA.PA;02/01/2017;11,77
ACA.PA;30/12/2016;11,73
ACA.PA;29/12/2016;11,81
ACA.PA;28/12/2016;11,84
ACA.PA;27/12/2016;11,91
ACA.PA;26/12/2016;11,905
ACA.PA;23/12/2016;12,035
ACA.PA;22/12/2016;11,9
ACA.PA;21/12/2016;11,89
ACA.PA;20/12/2016;11,775
ACA.PA;19/12/2016;11,9
ACA.PA;16/12/2016;11,95
ACA.PA;15/12/2016;11,595
ACA.PA;14/12/2016;11,595
ACA.PA;13/12/2016;11,57
ACA.PA;12/12/2016;11,575
ACA.PA;09/12/2016;11,595
ACA.PA;08/12/2016;11,415
ACA.PA;07/12/2016;11,4
ACA.PA;06/12/2016;10,86
ACA.PA;05/12/2016;10,5
ACA.PA;02/12/2016;10,7
ACA.PA;01/12/2016;10,64
ACA.PA;30/11/2016;10,65
ACA.PA;29/11/2016;10,545
ACA.PA;28/11/2016;10,8
ACA.PA;25/11/2016;10,885
ACA.PA;24/11/2016;10,89
ACA.PA;23/11/2016;11
ACA.PA;22/11/2016;10,895
ACA.PA;21/11/2016;10,88
ACA.PA;18/11/2016;10,85
ACA.PA;17/11/2016;10,71
ACA.PA;16/11/2016;10,895
ACA.PA;15/11/2016;10,86
ACA.PA;14/11/2016;10,825
ACA.PA;11/11/2016;10,655
ACA.PA;10/11/2016;10,8
ACA.PA;09/11/2016;9,828
ACA.PA;08/11/2016;10,19
ACA.PA;07/11/2016;9,683
ACA.PA;04/11/2016;9,54
ACA.PA;03/11/2016;9,422
ACA.PA;02/11/2016;9,551
ACA.PA;01/11/2016;9,808
ACA.PA;31/10/2016;9,801
ACA.PA;28/10/2016;9,837
ACA.PA;27/10/2016;9,88
ACA.PA;26/10/2016;9,81
ACA.PA;25/10/2016;9,812
ACA.PA;24/10/2016;9,638
ACA.PA;21/10/2016;9,467
ACA.PA;20/10/2016;9,325
ACA.PA;19/10/2016;9,343
ACA.PA;18/10/2016;9,28
ACA.PA;17/10/2016;9,1
ACA.PA;14/10/2016;9,003
ACA.PA;13/10/2016;9,194
ACA.PA;12/10/2016;9,155
ACA.PA;11/10/2016;9,105
ACA.PA;10/10/2016;9,027
ACA.PA;07/10/2016;9,115
ACA.PA;06/10/2016;9,084
ACA.PA;05/10/2016;8,784
ACA.PA;04/10/2016;8,807
ACA.PA;03/10/2016;8,84
ACA.PA;30/09/2016;8,47
ACA.PA;29/09/2016;8,805
ACA.PA;28/09/2016;8,579
ACA.PA;27/09/2016;8,699
ACA.PA;26/09/2016;8,802
ACA.PA;23/09/2016;8,912
ACA.PA;22/09/2016;8,895
ACA.PA;21/09/2016;8,764
ACA.PA;20/09/2016;8,6
ACA.PA;19/09/2016;8,7
ACA.PA;16/09/2016;8,779
ACA.PA;15/09/2016;8,511
ACA.PA;14/09/2016;8,559
ACA.PA;13/09/2016;8,701
ACA.PA;12/09/2016;8,617
ACA.PA;09/09/2016;8,737
ACA.PA;08/09/2016;8,607
ACA.PA;07/09/2016;8,539
ACA.PA;06/09/2016;8,719
ACA.PA;05/09/2016;8,732
ACA.PA;02/09/2016;8,588
ACA.PA;01/09/2016;8,555
ACA.PA;31/08/2016;8,299
ACA.PA;30/08/2016;8,201
ACA.PA;29/08/2016;8,158
ACA.PA;26/08/2016;8,136
ACA.PA;25/08/2016;8,2
ACA.PA;24/08/2016;8,058
ACA.PA;23/08/2016;7,992
ACA.PA;22/08/2016;7,893
ACA.PA;19/08/2016;8,062
ACA.PA;18/08/2016;8,126
ACA.PA;17/08/2016;8,199
ACA.PA;16/08/2016;8,2
ACA.PA;15/08/2016;8,25
ACA.PA;12/08/2016;8,255
ACA.PA;11/08/2016;8,342
ACA.PA;10/08/2016;8,16
ACA.PA;09/08/2016;8,131
ACA.PA;08/08/2016;8,016
ACA.PA;05/08/2016;7,812
ACA.PA;04/08/2016;7,678
ACA.PA;03/08/2016;7,84
ACA.PA;02/08/2016;7,791
ACA.PA;01/08/2016;8,05
ACA.PA;29/07/2016;7,765
ACA.PA;28/07/2016;7,929
ACA.PA;27/07/2016;7,852
ACA.PA;26/07/2016;7,842
ACA.PA;25/07/2016;7,921
ACA.PA;22/07/2016;7,867
ACA.PA;21/07/2016;7,936
ACA.PA;20/07/2016;7,857
ACA.PA;19/07/2016;7,842
ACA.PA;18/07/2016;7,865
ACA.PA;15/07/2016;7,92
ACA.PA;14/07/2016;7,943
ACA.PA;13/07/2016;7,92
ACA.PA;12/07/2016;7,615
ACA.PA;11/07/2016;7,639
ACA.PA;08/07/2016;7,113
ACA.PA;07/07/2016;7,156
ACA.PA;06/07/2016;7,2
ACA.PA;05/07/2016;7,45
ACA.PA;04/07/2016;7,695
ACA.PA;01/07/2016;7,642
ACA.PA;30/06/2016;7,534
ACA.PA;29/06/2016;7,708
ACA.PA;28/06/2016;7,503
ACA.PA;27/06/2016;7,767
ACA.PA;24/06/2016;7
ACA.PA;23/06/2016;8,577
ACA.PA;22/06/2016;8,536
ACA.PA;21/06/2016;8,357
ACA.PA;20/06/2016;8,322
ACA.PA;17/06/2016;7,806
ACA.PA;16/06/2016;7,7
ACA.PA;15/06/2016;7,885
ACA.PA;14/06/2016;7,89
ACA.PA;13/06/2016;8,072
ACA.PA;10/06/2016;8,41
ACA.PA;09/06/2016;8,642
ACA.PA;08/06/2016;8,79
ACA.PA;07/06/2016;8,708
ACA.PA;06/06/2016;8,65
ACA.PA;03/06/2016;8,927
ACA.PA;02/06/2016;8,849
ACA.PA;01/06/2016;9
ACA.PA;31/05/2016;9,101
ACA.PA;30/05/2016;9,15
ACA.PA;27/05/2016;9,04
ACA.PA;26/05/2016;9,43
ACA.PA;25/05/2016;9,182
ACA.PA;24/05/2016;8,77
ACA.PA;23/05/2016;8,855
ACA.PA;20/05/2016;8,842
ACA.PA;19/05/2016;8,789
ACA.PA;18/05/2016;8,621
ACA.PA;17/05/2016;8,655
ACA.PA;16/05/2016;8,6
ACA.PA;13/05/2016;8,535
ACA.PA;12/05/2016;8,8
ACA.PA;11/05/2016;9,13
ACA.PA;10/05/2016;9,074
ACA.PA;09/05/2016;9,151
ACA.PA;06/05/2016;8,94
ACA.PA;05/05/2016;9,195
ACA.PA;04/05/2016;9,176
ACA.PA;03/05/2016;9,673
ACA.PA;02/05/2016;9,738
ACA.PA;29/04/2016;9,871
ACA.PA;28/04/2016;9,85
ACA.PA;27/04/2016;10,02
ACA.PA;26/04/2016;9,879
ACA.PA;25/04/2016;10,06
ACA.PA;22/04/2016;10
ACA.PA;21/04/2016;9,995
ACA.PA;20/04/2016;9,688
ACA.PA;19/04/2016;9,775
ACA.PA;18/04/2016;9,55
ACA.PA;15/04/2016;9,79
ACA.PA;14/04/2016;9,749
ACA.PA;13/04/2016;9,389
ACA.PA;12/04/2016;9,223
ACA.PA;11/04/2016;9,115
ACA.PA;08/04/2016;8,9
ACA.PA;07/04/2016;9,091
ACA.PA;06/04/2016;9
ACA.PA;05/04/2016;9,31
ACA.PA;04/04/2016;9,406
ACA.PA;01/04/2016;9,4
ACA.PA;31/03/2016;9,51
ACA.PA;30/03/2016;9,625
ACA.PA;29/03/2016;9,7
ACA.PA;28/03/2016;9,672
ACA.PA;25/03/2016;9,672
ACA.PA;24/03/2016;9,801
ACA.PA;23/03/2016;10,09
ACA.PA;22/03/2016;10,05
ACA.PA;21/03/2016;10,13
ACA.PA;18/03/2016;10,16
ACA.PA;17/03/2016;10,41
ACA.PA;16/03/2016;10,315
ACA.PA;15/03/2016;10,41
ACA.PA;14/03/2016;10,7
ACA.PA;11/03/2016;10,2
ACA.PA;10/03/2016;9,929
ACA.PA;09/03/2016;9,939
ACA.PA;08/03/2016;9,728
ACA.PA;07/03/2016;10,02
