Actif;Date;Close
DTE.F;01/03/2017;16,412
DTE.F;28/02/2017;16,29
DTE.F;27/02/2017;16,335
DTE.F;24/02/2017;16,425
DTE.F;23/02/2017;16,48
DTE.F;22/02/2017;16,487
DTE.F;21/02/2017;16,28
DTE.F;20/02/2017;16,269
DTE.F;17/02/2017;15,89
DTE.F;16/02/2017;15,959
DTE.F;15/02/2017;15,872
DTE.F;14/02/2017;15,842
DTE.F;13/02/2017;15,915
DTE.F;10/02/2017;16,002
DTE.F;09/02/2017;15,925
DTE.F;08/02/2017;15,782
DTE.F;07/02/2017;15,688
DTE.F;06/02/2017;15,781
DTE.F;03/02/2017;15,995
DTE.F;02/02/2017;15,97
DTE.F;01/02/2017;16,016
DTE.F;31/01/2017;16,15
DTE.F;30/01/2017;16,278
DTE.F;27/01/2017;16,318
DTE.F;26/01/2017;16,418
DTE.F;25/01/2017;16,294
DTE.F;24/01/2017;16,212
DTE.F;23/01/2017;16,281
DTE.F;20/01/2017;16,362
DTE.F;19/01/2017;16,238
DTE.F;18/01/2017;16,265
DTE.F;17/01/2017;16,255
DTE.F;16/01/2017;16,271
DTE.F;13/01/2017;16,331
DTE.F;12/01/2017;16,21
DTE.F;11/01/2017;16,335
DTE.F;10/01/2017;16,211
DTE.F;09/01/2017;16,35
DTE.F;06/01/2017;16,551
DTE.F;05/01/2017;16,57
DTE.F;04/01/2017;16,5
DTE.F;03/01/2017;16,285
DTE.F;02/01/2017;16,399
DTE.F;30/12/2016;16,29
DTE.F;29/12/2016;16,217
DTE.F;28/12/2016;16,131
DTE.F;27/12/2016;16,15
DTE.F;26/12/2016;16,05
DTE.F;23/12/2016;16,05
DTE.F;22/12/2016;16
DTE.F;21/12/2016;16,043
DTE.F;20/12/2016;16,118
DTE.F;19/12/2016;16,04
DTE.F;16/12/2016;15,94
DTE.F;15/12/2016;15,91
DTE.F;14/12/2016;15,846
DTE.F;13/12/2016;15,869
DTE.F;12/12/2016;15,588
DTE.F;09/12/2016;15,718
DTE.F;08/12/2016;15,625
DTE.F;07/12/2016;15,298
DTE.F;06/12/2016;15,041
DTE.F;05/12/2016;14,9
