Actif;Date;Open
DTE.F;25/01/2017;16,217
DTE.F;24/01/2017;16,342
DTE.F;23/01/2017;16,503
DTE.F;20/01/2017;16,174
DTE.F;19/01/2017;16,299
DTE.F;18/01/2017;16,308
DTE.F;17/01/2017;16,236
DTE.F;16/01/2017;16,301
DTE.F;13/01/2017;16,254
DTE.F;12/01/2017;16,305
DTE.F;11/01/2017;16,224
DTE.F;10/01/2017;16,181
DTE.F;09/01/2017;16,51
DTE.F;06/01/2017;16,61
DTE.F;05/01/2017;16,535
DTE.F;04/01/2017;16,351
DTE.F;03/01/2017;16,46
DTE.F;02/01/2017;16,222
DTE.F;30/12/2016;16,302
DTE.F;29/12/2016;16,11
DTE.F;28/12/2016;16,166
DTE.F;27/12/2016;16,056
DTE.F;26/12/2016;16,05
DTE.F;23/12/2016;16,081
DTE.F;22/12/2016;15,983
DTE.F;21/12/2016;16,149
DTE.F;20/12/2016;15,95
DTE.F;19/12/2016;15,98
DTE.F;16/12/2016;15,973
DTE.F;15/12/2016;15,836
DTE.F;14/12/2016;15,815
DTE.F;13/12/2016;15,654
DTE.F;12/12/2016;15,754
DTE.F;09/12/2016;15,579
DTE.F;08/12/2016;15,311
DTE.F;07/12/2016;15,15
DTE.F;06/12/2016;14,924
DTE.F;05/12/2016;14,61
DTE.F;02/12/2016;14,53
DTE.F;01/12/2016;14,85
DTE.F;30/11/2016;14,77
DTE.F;29/11/2016;14,606
DTE.F;28/11/2016;14,79
DTE.F;25/11/2016;14,735
DTE.F;24/11/2016;14,639
DTE.F;23/11/2016;14,699
DTE.F;22/11/2016;14,48
DTE.F;21/11/2016;14,512
DTE.F;18/11/2016;14,601
DTE.F;17/11/2016;14,43
DTE.F;16/11/2016;14,489
DTE.F;15/11/2016;14,361
DTE.F;14/11/2016;14,57
DTE.F;11/11/2016;14,291
DTE.F;10/11/2016;14,7
DTE.F;09/11/2016;14,1
DTE.F;08/11/2016;14,5
DTE.F;07/11/2016;14,506
DTE.F;04/11/2016;14,5
DTE.F;03/11/2016;14,49
DTE.F;02/11/2016;14,511
DTE.F;01/11/2016;14,875
DTE.F;31/10/2016;14,947
DTE.F;28/10/2016;15,004
DTE.F;27/10/2016;15,024
DTE.F;26/10/2016;15,128
DTE.F;25/10/2016;14,799
DTE.F;24/10/2016;14,576
DTE.F;21/10/2016;14,576
DTE.F;20/10/2016;14,423
DTE.F;19/10/2016;14,575
DTE.F;18/10/2016;14,418
DTE.F;17/10/2016;14,301
DTE.F;14/10/2016;14,208
DTE.F;13/10/2016;14,28
DTE.F;12/10/2016;14,59
DTE.F;11/10/2016;14,46
DTE.F;10/10/2016;14,42
DTE.F;07/10/2016;14,52
DTE.F;06/10/2016;14,751
DTE.F;05/10/2016;14,957
DTE.F;04/10/2016;14,98
DTE.F;03/10/2016;14,946
DTE.F;30/09/2016;14,754
DTE.F;29/09/2016;15,011
DTE.F;28/09/2016;14,97
DTE.F;27/09/2016;15,05
DTE.F;26/09/2016;15,15
DTE.F;23/09/2016;15,31
DTE.F;22/09/2016;14,908
DTE.F;21/09/2016;14,502
DTE.F;20/09/2016;14,544
DTE.F;19/09/2016;14,471
DTE.F;16/09/2016;14,42
DTE.F;15/09/2016;14,38
DTE.F;14/09/2016;14,5
DTE.F;13/09/2016;14,647
DTE.F;12/09/2016;14,7
DTE.F;09/09/2016;15,048
DTE.F;08/09/2016;15,065
DTE.F;07/09/2016;15,068
DTE.F;06/09/2016;15,051
DTE.F;05/09/2016;15,152
DTE.F;02/09/2016;14,866
DTE.F;01/09/2016;15,012
DTE.F;31/08/2016;15,061
DTE.F;30/08/2016;15,051
DTE.F;29/08/2016;14,987
DTE.F;26/08/2016;15,023
DTE.F;25/08/2016;15,03
DTE.F;24/08/2016;15,06
DTE.F;23/08/2016;15,198
DTE.F;22/08/2016;15,265
DTE.F;19/08/2016;15,419
DTE.F;18/08/2016;15,5
DTE.F;17/08/2016;15,521
DTE.F;16/08/2016;15,551
DTE.F;15/08/2016;15,578
DTE.F;12/08/2016;15,754
DTE.F;11/08/2016;15,694
DTE.F;10/08/2016;15,779
DTE.F;09/08/2016;15,5
DTE.F;08/08/2016;15,6
DTE.F;05/08/2016;15,201
DTE.F;04/08/2016;15,31
DTE.F;03/08/2016;15,131
DTE.F;02/08/2016;15,359
DTE.F;01/08/2016;15,3
DTE.F;29/07/2016;15,278
DTE.F;28/07/2016;15,17
DTE.F;27/07/2016;15,225
DTE.F;26/07/2016;15,346
DTE.F;25/07/2016;15,22
DTE.F;22/07/2016;15,199
DTE.F;21/07/2016;15,23
DTE.F;20/07/2016;15,226
DTE.F;19/07/2016;15,3
DTE.F;18/07/2016;15,46
DTE.F;15/07/2016;15,38
DTE.F;14/07/2016;15,15
DTE.F;13/07/2016;15,138
DTE.F;12/07/2016;14,885
DTE.F;11/07/2016;14,915
DTE.F;08/07/2016;14,6
DTE.F;07/07/2016;14,646
DTE.F;06/07/2016;14,72
DTE.F;05/07/2016;15,072
DTE.F;04/07/2016;15,195
DTE.F;01/07/2016;15,39
DTE.F;30/06/2016;15,03
DTE.F;29/06/2016;14,548
DTE.F;28/06/2016;14,17
DTE.F;27/06/2016;13,94
DTE.F;24/06/2016;13,5
DTE.F;23/06/2016;14,54
DTE.F;22/06/2016;14,608
DTE.F;21/06/2016;14,595
DTE.F;20/06/2016;14,549
DTE.F;17/06/2016;14,461
DTE.F;16/06/2016;14,221
DTE.F;15/06/2016;14,37
DTE.F;14/06/2016;14,547
DTE.F;13/06/2016;14,61
DTE.F;10/06/2016;14,964
DTE.F;09/06/2016;15,5
DTE.F;08/06/2016;15,624
DTE.F;07/06/2016;15,546
DTE.F;06/06/2016;15,63
DTE.F;03/06/2016;15,859
DTE.F;02/06/2016;15,779
DTE.F;01/06/2016;15,9
DTE.F;31/05/2016;16,001
DTE.F;30/05/2016;15,943
DTE.F;27/05/2016;15,99
DTE.F;26/05/2016;15,881
