Actif;Date;Open
ENI.F;25/01/2017;15,35
ENI.F;24/01/2017;15,25
ENI.F;23/01/2017;15,59
ENI.F;20/01/2017;15,46
ENI.F;19/01/2017;15,492
ENI.F;18/01/2017;15,45
ENI.F;17/01/2017;15,482
ENI.F;16/01/2017;15,69
ENI.F;13/01/2017;15,47
ENI.F;12/01/2017;15,55
ENI.F;11/01/2017;15,52
ENI.F;10/01/2017;15,31
ENI.F;09/01/2017;15,709
ENI.F;06/01/2017;15,639
ENI.F;05/01/2017;15,608
ENI.F;04/01/2017;15,6
ENI.F;03/01/2017;15,597
ENI.F;02/01/2017;15,353
ENI.F;30/12/2016;15,394
ENI.F;29/12/2016;15,236
ENI.F;28/12/2016;15,324
ENI.F;27/12/2016;15,254
ENI.F;26/12/2016;15,25
ENI.F;23/12/2016;15,171
ENI.F;22/12/2016;15,129
ENI.F;21/12/2016;15,021
ENI.F;20/12/2016;14,89
ENI.F;19/12/2016;14,98
ENI.F;16/12/2016;14,88
ENI.F;15/12/2016;14,85
ENI.F;14/12/2016;14,91
ENI.F;13/12/2016;14,71
ENI.F;12/12/2016;14,211
ENI.F;09/12/2016;14,294
ENI.F;08/12/2016;14,03
ENI.F;07/12/2016;13,92
ENI.F;06/12/2016;13,63
ENI.F;05/12/2016;13,46
ENI.F;02/12/2016;13,66
ENI.F;01/12/2016;13,14
ENI.F;30/11/2016;12,61
ENI.F;29/11/2016;12,55
ENI.F;28/11/2016;12,69
ENI.F;25/11/2016;12,722
ENI.F;24/11/2016;12,67
ENI.F;23/11/2016;12,652
ENI.F;22/11/2016;12,55
ENI.F;21/11/2016;12,42
ENI.F;18/11/2016;12,562
ENI.F;17/11/2016;12,385
ENI.F;16/11/2016;12,59
ENI.F;15/11/2016;12,331
ENI.F;14/11/2016;12,59
ENI.F;11/11/2016;12,772
ENI.F;10/11/2016;12,815
ENI.F;09/11/2016;12,302
ENI.F;08/11/2016;12,812
ENI.F;07/11/2016;12,64
ENI.F;04/11/2016;12,65
ENI.F;03/11/2016;12,757
ENI.F;02/11/2016;12,863
ENI.F;01/11/2016;13,289
ENI.F;31/10/2016;13,395
ENI.F;28/10/2016;13,61
ENI.F;27/10/2016;13,482
ENI.F;26/10/2016;13,62
ENI.F;25/10/2016;13,68
ENI.F;24/10/2016;13,742
ENI.F;21/10/2016;13,68
ENI.F;20/10/2016;13,553
ENI.F;19/10/2016;13,5
ENI.F;18/10/2016;13,38
ENI.F;17/10/2016;13,38
ENI.F;14/10/2016;13,15
ENI.F;13/10/2016;13,22
ENI.F;12/10/2016;13,35
ENI.F;11/10/2016;13,52
ENI.F;10/10/2016;13,22
ENI.F;07/10/2016;13,274
ENI.F;06/10/2016;13,23
ENI.F;05/10/2016;12,873
