Actif;Date;Close
AIR.F;01/03/2017;103,85
AIR.F;28/02/2017;101,95
AIR.F;27/02/2017;102,924
AIR.F;24/02/2017;101,65
AIR.F;23/02/2017;102,75
AIR.F;22/02/2017;103,2
AIR.F;21/02/2017;104,5
AIR.F;20/02/2017;105,121
AIR.F;17/02/2017;104,674
AIR.F;16/02/2017;104,9
AIR.F;15/02/2017;105,339
AIR.F;14/02/2017;101,65
AIR.F;13/02/2017;103,7
AIR.F;10/02/2017;101,508
AIR.F;09/02/2017;101,75
AIR.F;08/02/2017;100,2
AIR.F;07/02/2017;99,65
AIR.F;06/02/2017;100
AIR.F;03/02/2017;100,241
AIR.F;02/02/2017;100,6
AIR.F;01/02/2017;100,35
AIR.F;31/01/2017;100
AIR.F;30/01/2017;101,55
AIR.F;27/01/2017;103
AIR.F;26/01/2017;103,15
AIR.F;25/01/2017;103,376
AIR.F;24/01/2017;102,65
AIR.F;23/01/2017;102,35
AIR.F;20/01/2017;102,85
AIR.F;19/01/2017;102,85
AIR.F;18/01/2017;102,35
AIR.F;17/01/2017;102,151
AIR.F;16/01/2017;102,498
AIR.F;13/01/2017;104,85
AIR.F;12/01/2017;104,4
AIR.F;11/01/2017;105,4
AIR.F;10/01/2017;104,399
AIR.F;09/01/2017;103,5
AIR.F;06/01/2017;106,175
AIR.F;05/01/2017;105,4
AIR.F;04/01/2017;104,95
AIR.F;03/01/2017;106
AIR.F;02/01/2017;105,45
AIR.F;30/12/2016;104,9
AIR.F;29/12/2016;105,076
AIR.F;28/12/2016;105,576
AIR.F;27/12/2016;105,25
AIR.F;26/12/2016;104,9
AIR.F;23/12/2016;104,9
AIR.F;22/12/2016;104,65
AIR.F;21/12/2016;105,55
AIR.F;20/12/2016;105,45
AIR.F;19/12/2016;105,318
AIR.F;16/12/2016;104,8
AIR.F;15/12/2016;104,3
AIR.F;14/12/2016;103,65
AIR.F;13/12/2016;104,05
AIR.F;12/12/2016;103,5
AIR.F;09/12/2016;103
AIR.F;08/12/2016;102,525
AIR.F;07/12/2016;99,9
AIR.F;06/12/2016;98,863
AIR.F;05/12/2016;96,09
AIR.F;02/12/2016;95,44
AIR.F;01/12/2016;95,74
AIR.F;30/11/2016;96,59
AIR.F;29/11/2016;94,89
AIR.F;28/11/2016;94,18
AIR.F;25/11/2016;93,71
AIR.F;24/11/2016;94,38
AIR.F;23/11/2016;93,01
AIR.F;22/11/2016;94,6
AIR.F;21/11/2016;94,393
AIR.F;18/11/2016;93,85
AIR.F;17/11/2016;94,339
AIR.F;16/11/2016;93,7
AIR.F;15/11/2016;94,173
AIR.F;14/11/2016;95,675
AIR.F;11/11/2016;94,76
AIR.F;10/11/2016;94,017
