Actif;Date;Open
AIR.PA;25/01/2017;65,74
AIR.PA;24/01/2017;65,4
AIR.PA;23/01/2017;65
AIR.PA;20/01/2017;65,23
AIR.PA;19/01/2017;64,81
AIR.PA;18/01/2017;65,46
AIR.PA;17/01/2017;64,82
AIR.PA;16/01/2017;65,11
AIR.PA;13/01/2017;65
AIR.PA;12/01/2017;65,31
AIR.PA;11/01/2017;65,01
AIR.PA;10/01/2017;65,4
AIR.PA;09/01/2017;65,06
AIR.PA;06/01/2017;64,68
AIR.PA;05/01/2017;64,41
AIR.PA;04/01/2017;63,5
AIR.PA;03/01/2017;63,1
AIR.PA;02/01/2017;62,68
AIR.PA;30/12/2016;62,43
AIR.PA;29/12/2016;62,55
AIR.PA;28/12/2016;62,69
AIR.PA;27/12/2016;62,9
AIR.PA;26/12/2016;62,9
AIR.PA;23/12/2016;62,84
AIR.PA;22/12/2016;62,45
AIR.PA;21/12/2016;63,56
AIR.PA;20/12/2016;63,2
AIR.PA;19/12/2016;64,17
AIR.PA;16/12/2016;63,88
AIR.PA;15/12/2016;62,75
AIR.PA;14/12/2016;62,47
AIR.PA;13/12/2016;60,5
AIR.PA;12/12/2016;59,7
AIR.PA;09/12/2016;59,29
AIR.PA;08/12/2016;59,32
AIR.PA;07/12/2016;60,08
AIR.PA;06/12/2016;60,2
AIR.PA;05/12/2016;58,8
AIR.PA;02/12/2016;59,74
AIR.PA;01/12/2016;60,26
AIR.PA;30/11/2016;60,11
AIR.PA;29/11/2016;60
AIR.PA;28/11/2016;60,02
AIR.PA;25/11/2016;60,11
AIR.PA;24/11/2016;59,74
AIR.PA;23/11/2016;58,49
AIR.PA;22/11/2016;58,5
AIR.PA;21/11/2016;55,24
AIR.PA;18/11/2016;56
AIR.PA;17/11/2016;54,94
AIR.PA;16/11/2016;56,45
AIR.PA;15/11/2016;56,45
AIR.PA;14/11/2016;55,38
AIR.PA;11/11/2016;55,42
AIR.PA;10/11/2016;54,54
AIR.PA;09/11/2016;51,04
AIR.PA;08/11/2016;53,21
AIR.PA;07/11/2016;52,36
AIR.PA;04/11/2016;51,84
AIR.PA;03/11/2016;52,36
AIR.PA;02/11/2016;52,94
AIR.PA;01/11/2016;54,45
AIR.PA;31/10/2016;54,51
AIR.PA;28/10/2016;55,06
AIR.PA;27/10/2016;55,5
AIR.PA;26/10/2016;52,3
AIR.PA;25/10/2016;54,46
AIR.PA;24/10/2016;54,14
AIR.PA;21/10/2016;54,26
AIR.PA;20/10/2016;53,89
AIR.PA;19/10/2016;53,7
AIR.PA;18/10/2016;53,19
AIR.PA;17/10/2016;52,33
AIR.PA;14/10/2016;51,58
AIR.PA;13/10/2016;52,11
AIR.PA;12/10/2016;52,97
AIR.PA;11/10/2016;54
AIR.PA;10/10/2016;53,8
AIR.PA;07/10/2016;54,48
AIR.PA;06/10/2016;55,13
AIR.PA;05/10/2016;54,24
AIR.PA;04/10/2016;53,72
AIR.PA;03/10/2016;53,84
AIR.PA;30/09/2016;52,81
AIR.PA;29/09/2016;52,98
AIR.PA;28/09/2016;52,39
AIR.PA;27/09/2016;52,77
AIR.PA;26/09/2016;53,46
AIR.PA;23/09/2016;53,6
AIR.PA;22/09/2016;53,16
AIR.PA;21/09/2016;53,04
AIR.PA;20/09/2016;52,84
AIR.PA;19/09/2016;52,94
AIR.PA;16/09/2016;52,65
AIR.PA;15/09/2016;53
AIR.PA;14/09/2016;54,34
AIR.PA;13/09/2016;54,87
AIR.PA;12/09/2016;54,75
AIR.PA;09/09/2016;55,34
AIR.PA;08/09/2016;54,55
AIR.PA;07/09/2016;54,5
AIR.PA;06/09/2016;54,3
AIR.PA;05/09/2016;53,43
AIR.PA;02/09/2016;52,04
AIR.PA;01/09/2016;52,48
AIR.PA;31/08/2016;51,63
AIR.PA;30/08/2016;51,49
AIR.PA;29/08/2016;50,91
AIR.PA;26/08/2016;50,55
AIR.PA;25/08/2016;51,05
AIR.PA;24/08/2016;50,5
AIR.PA;23/08/2016;50,02
AIR.PA;22/08/2016;50
AIR.PA;19/08/2016;50
AIR.PA;18/08/2016;50,06
AIR.PA;17/08/2016;51,49
AIR.PA;16/08/2016;52,14
AIR.PA;15/08/2016;52,22
AIR.PA;12/08/2016;51,84
AIR.PA;11/08/2016;51,51
AIR.PA;10/08/2016;50,97
AIR.PA;09/08/2016;50,41
AIR.PA;08/08/2016;50,58
AIR.PA;05/08/2016;50,67
AIR.PA;04/08/2016;50,75
AIR.PA;03/08/2016;51,39
AIR.PA;02/08/2016;51,97
AIR.PA;01/08/2016;52,9
AIR.PA;29/07/2016;53,74
AIR.PA;28/07/2016;54,01
AIR.PA;27/07/2016;52,85
AIR.PA;26/07/2016;50,74
AIR.PA;25/07/2016;50,56
AIR.PA;22/07/2016;51,75
AIR.PA;21/07/2016;52,75
AIR.PA;20/07/2016;52,61
AIR.PA;19/07/2016;52,07
AIR.PA;18/07/2016;52,56
AIR.PA;15/07/2016;53,06
AIR.PA;14/07/2016;53,5
AIR.PA;13/07/2016;51,92
AIR.PA;12/07/2016;50,51
AIR.PA;11/07/2016;49,815
AIR.PA;08/07/2016;48,685
AIR.PA;07/07/2016;48,65
AIR.PA;06/07/2016;49,5
AIR.PA;05/07/2016;50,76
AIR.PA;04/07/2016;51,82
AIR.PA;01/07/2016;51,86
AIR.PA;30/06/2016;51,56
AIR.PA;29/06/2016;51,67
AIR.PA;28/06/2016;50,64
AIR.PA;27/06/2016;51,5
AIR.PA;24/06/2016;50
AIR.PA;23/06/2016;54,97
AIR.PA;22/06/2016;54,65
AIR.PA;21/06/2016;53,31
AIR.PA;20/06/2016;52,04
AIR.PA;17/06/2016;51,01
AIR.PA;16/06/2016;51
AIR.PA;15/06/2016;51,48
AIR.PA;14/06/2016;50,66
AIR.PA;13/06/2016;52
AIR.PA;10/06/2016;53,3
AIR.PA;09/06/2016;53,51
AIR.PA;08/06/2016;53,45
AIR.PA;07/06/2016;53,47
AIR.PA;06/06/2016;53,35
AIR.PA;03/06/2016;55,53
AIR.PA;02/06/2016;55,81
AIR.PA;01/06/2016;56
AIR.PA;31/05/2016;56,31
AIR.PA;30/05/2016;55,9
AIR.PA;27/05/2016;55,71
AIR.PA;26/05/2016;55,98
AIR.PA;25/05/2016;56,43
AIR.PA;24/05/2016;54,25
AIR.PA;23/05/2016;54,4
AIR.PA;20/05/2016;53,83
AIR.PA;19/05/2016;52,67
AIR.PA;18/05/2016;53,74
AIR.PA;17/05/2016;55,28
AIR.PA;16/05/2016;54,75
AIR.PA;13/05/2016;54,72
AIR.PA;12/05/2016;55,22
AIR.PA;11/05/2016;55,37
AIR.PA;10/05/2016;55,23
AIR.PA;09/05/2016;54,19
AIR.PA;06/05/2016;53,79
AIR.PA;05/05/2016;53,3
AIR.PA;04/05/2016;53,4
AIR.PA;03/05/2016;53,89
AIR.PA;02/05/2016;53,6
AIR.PA;29/04/2016;54,69
AIR.PA;28/04/2016;56
AIR.PA;27/04/2016;57,68
AIR.PA;26/04/2016;58,93
AIR.PA;25/04/2016;57,78
AIR.PA;22/04/2016;58,24
AIR.PA;21/04/2016;57,84
AIR.PA;20/04/2016;56,98
AIR.PA;19/04/2016;56,83
AIR.PA;18/04/2016;55,83
