Actif;Date;Close
FTE.F;01/03/2017;14,39
FTE.F;28/02/2017;14,24
FTE.F;27/02/2017;14,286
FTE.F;24/02/2017;14,4
FTE.F;23/02/2017;14,725
FTE.F;22/02/2017;14,602
FTE.F;21/02/2017;14,519
FTE.F;20/02/2017;14,445
FTE.F;17/02/2017;14,5
FTE.F;16/02/2017;14,694
FTE.F;15/02/2017;14,6
FTE.F;14/02/2017;14,45
FTE.F;13/02/2017;14,495
FTE.F;10/02/2017;14,47
FTE.F;09/02/2017;14,348
FTE.F;08/02/2017;14,37
FTE.F;07/02/2017;14,19
FTE.F;06/02/2017;14,525
FTE.F;03/02/2017;14,25
FTE.F;02/02/2017;14,385
FTE.F;01/02/2017;14,38
FTE.F;31/01/2017;14,356
FTE.F;30/01/2017;14,338
FTE.F;27/01/2017;14,43
FTE.F;26/01/2017;14,54
FTE.F;25/01/2017;14,48
FTE.F;24/01/2017;14,625
FTE.F;23/01/2017;14,701
FTE.F;20/01/2017;14,845
FTE.F;19/01/2017;14,9
FTE.F;18/01/2017;14,905
FTE.F;17/01/2017;15,002
FTE.F;16/01/2017;14,952
FTE.F;13/01/2017;14,989
FTE.F;12/01/2017;14,752
FTE.F;11/01/2017;14,675
FTE.F;10/01/2017;14,555
FTE.F;09/01/2017;14,74
FTE.F;06/01/2017;14,74
FTE.F;05/01/2017;14,73
FTE.F;04/01/2017;14,665
FTE.F;03/01/2017;14,595
FTE.F;02/01/2017;14,534
FTE.F;30/12/2016;14,39
FTE.F;29/12/2016;14,415
FTE.F;28/12/2016;14,21
FTE.F;27/12/2016;14,255
FTE.F;26/12/2016;14,29
FTE.F;23/12/2016;14,29
FTE.F;22/12/2016;14,15
FTE.F;21/12/2016;14,175
FTE.F;20/12/2016;14,181
FTE.F;19/12/2016;14,138
FTE.F;16/12/2016;14,02
FTE.F;15/12/2016;13,85
FTE.F;14/12/2016;13,82
FTE.F;13/12/2016;13,805
FTE.F;12/12/2016;13,525
