Actif;Date;Open
ORA.PA;25/01/2017;14,74
ORA.PA;24/01/2017;14,685
ORA.PA;23/01/2017;14,78
ORA.PA;20/01/2017;14,87
ORA.PA;19/01/2017;14,93
ORA.PA;18/01/2017;14,97
ORA.PA;17/01/2017;14,865
ORA.PA;16/01/2017;14,99
ORA.PA;13/01/2017;14,78
ORA.PA;12/01/2017;14,65
ORA.PA;11/01/2017;14,64
ORA.PA;10/01/2017;14,8
ORA.PA;09/01/2017;14,83
ORA.PA;06/01/2017;14,795
ORA.PA;05/01/2017;14,62
ORA.PA;04/01/2017;14,635
ORA.PA;03/01/2017;14,625
ORA.PA;02/01/2017;14,395
ORA.PA;30/12/2016;14,4
ORA.PA;29/12/2016;14,175
ORA.PA;28/12/2016;14,25
ORA.PA;27/12/2016;14,305
ORA.PA;26/12/2016;14,29
ORA.PA;23/12/2016;14,21
ORA.PA;22/12/2016;14,19
ORA.PA;21/12/2016;14,2
ORA.PA;20/12/2016;14,25
ORA.PA;19/12/2016;14
ORA.PA;16/12/2016;13,77
ORA.PA;15/12/2016;13,81
ORA.PA;14/12/2016;13,7
ORA.PA;13/12/2016;13,52
ORA.PA;12/12/2016;13,525
ORA.PA;09/12/2016;13,735
ORA.PA;08/12/2016;13,55
ORA.PA;07/12/2016;13,53
ORA.PA;06/12/2016;13,17
ORA.PA;05/12/2016;13,135
ORA.PA;02/12/2016;13,495
ORA.PA;01/12/2016;13,7
ORA.PA;30/11/2016;13,765
ORA.PA;29/11/2016;13,6
ORA.PA;28/11/2016;13,71
ORA.PA;25/11/2016;13,72
ORA.PA;24/11/2016;13,745
ORA.PA;23/11/2016;13,81
ORA.PA;22/11/2016;13,785
ORA.PA;21/11/2016;13,735
ORA.PA;18/11/2016;13,785
ORA.PA;17/11/2016;13,585
ORA.PA;16/11/2016;13,7
ORA.PA;15/11/2016;13,55
ORA.PA;14/11/2016;13,625
ORA.PA;11/11/2016;13,715
ORA.PA;10/11/2016;14,15
ORA.PA;09/11/2016;13,61
ORA.PA;08/11/2016;13,915
ORA.PA;07/11/2016;13,995
ORA.PA;04/11/2016;14,01
ORA.PA;03/11/2016;14,1
ORA.PA;02/11/2016;14,03
ORA.PA;01/11/2016;14,385
ORA.PA;31/10/2016;14,4
ORA.PA;28/10/2016;14,535
ORA.PA;27/10/2016;14,69
ORA.PA;26/10/2016;14,905
ORA.PA;25/10/2016;14,37
ORA.PA;24/10/2016;14,15
ORA.PA;21/10/2016;14,025
ORA.PA;20/10/2016;14,06
ORA.PA;19/10/2016;14,135
ORA.PA;18/10/2016;14,04
ORA.PA;17/10/2016;13,88
ORA.PA;14/10/2016;13,795
ORA.PA;13/10/2016;13,64
ORA.PA;12/10/2016;13,855
