Actif;Date;Close
GAN.F;01/03/2017;18,345
GAN.F;28/02/2017;18,345
GAN.F;27/02/2017;18,065
GAN.F;24/02/2017;18,175
GAN.F;23/02/2017;18,15
GAN.F;22/02/2017;18,08
GAN.F;21/02/2017;18,3
GAN.F;20/02/2017;18,115
GAN.F;17/02/2017;17,935
GAN.F;16/02/2017;18,09
GAN.F;15/02/2017;18,085
GAN.F;14/02/2017;18,04
GAN.F;13/02/2017;18,215
GAN.F;10/02/2017;18,06
GAN.F;09/02/2017;18,225
GAN.F;08/02/2017;18,1
GAN.F;07/02/2017;18,38
GAN.F;06/02/2017;18,195
GAN.F;03/02/2017;18,267
GAN.F;02/02/2017;18,095
GAN.F;01/02/2017;17,54
GAN.F;31/01/2017;17,835
GAN.F;30/01/2017;17,85
GAN.F;27/01/2017;17,825
GAN.F;26/01/2017;17,583
GAN.F;25/01/2017;17,555
GAN.F;24/01/2017;17,42
GAN.F;23/01/2017;17,38
GAN.F;20/01/2017;17,592
GAN.F;19/01/2017;17,577
GAN.F;18/01/2017;17,725
GAN.F;17/01/2017;17,76
GAN.F;16/01/2017;17,706
GAN.F;13/01/2017;17,575
GAN.F;12/01/2017;17,41
GAN.F;11/01/2017;17,215
GAN.F;10/01/2017;17,335
GAN.F;09/01/2017;17,565
GAN.F;06/01/2017;17,645
GAN.F;05/01/2017;17,632
GAN.F;04/01/2017;17,6
GAN.F;03/01/2017;17,774
GAN.F;02/01/2017;17,905
GAN.F;30/12/2016;17,81
GAN.F;29/12/2016;17,738
GAN.F;28/12/2016;17,665
GAN.F;27/12/2016;17,565
GAN.F;26/12/2016;17,555
GAN.F;23/12/2016;17,555
GAN.F;22/12/2016;17,44
GAN.F;21/12/2016;17,62
GAN.F;20/12/2016;17,66
GAN.F;19/12/2016;17,525
GAN.F;16/12/2016;17,46
GAN.F;15/12/2016;17,375
GAN.F;14/12/2016;17,055
GAN.F;13/12/2016;17,06
GAN.F;12/12/2016;16,908
GAN.F;09/12/2016;16,735
GAN.F;08/12/2016;16,5
GAN.F;07/12/2016;16,46
GAN.F;06/12/2016;16,655
GAN.F;05/12/2016;16,052
GAN.F;02/12/2016;16,224
GAN.F;01/12/2016;16,005
