Actif;Date;Open
GAS.MC;25/01/2017;17,525
GAS.MC;24/01/2017;17,45
GAS.MC;23/01/2017;17,555
GAS.MC;20/01/2017;17,71
GAS.MC;19/01/2017;17,76
GAS.MC;18/01/2017;17,8
GAS.MC;17/01/2017;17,705
GAS.MC;16/01/2017;17,6
GAS.MC;13/01/2017;17,485
GAS.MC;12/01/2017;17,25
GAS.MC;11/01/2017;17,25
GAS.MC;10/01/2017;17,58
GAS.MC;09/01/2017;17,75
GAS.MC;06/01/2017;17,59
GAS.MC;05/01/2017;17,57
GAS.MC;04/01/2017;17,81
GAS.MC;03/01/2017;17,96
GAS.MC;02/01/2017;17,925
GAS.MC;30/12/2016;17,73
GAS.MC;29/12/2016;17,6
GAS.MC;28/12/2016;17,595
GAS.MC;27/12/2016;17,6
GAS.MC;26/12/2016;17,595
GAS.MC;23/12/2016;17,48
GAS.MC;22/12/2016;17,6
GAS.MC;21/12/2016;17,62
GAS.MC;20/12/2016;17,53
GAS.MC;19/12/2016;17,425
GAS.MC;16/12/2016;17,305
GAS.MC;15/12/2016;17,08
GAS.MC;14/12/2016;17,13
GAS.MC;13/12/2016;16,87
GAS.MC;12/12/2016;16,8
GAS.MC;09/12/2016;16,485
GAS.MC;08/12/2016;16,6
GAS.MC;07/12/2016;16,715
GAS.MC;06/12/2016;16,245
GAS.MC;05/12/2016;16,14
GAS.MC;02/12/2016;16,01
GAS.MC;01/12/2016;16,105
GAS.MC;30/11/2016;16,23
GAS.MC;29/11/2016;16,3
GAS.MC;28/11/2016;16,25
GAS.MC;25/11/2016;16,08
GAS.MC;24/11/2016;16,25
GAS.MC;23/11/2016;16,355
GAS.MC;22/11/2016;16,31
GAS.MC;21/11/2016;16,21
GAS.MC;18/11/2016;16,345
GAS.MC;17/11/2016;16,31
GAS.MC;16/11/2016;16,115
GAS.MC;15/11/2016;16,155
GAS.MC;14/11/2016;16,455
GAS.MC;11/11/2016;16,685
GAS.MC;10/11/2016;17,135
GAS.MC;09/11/2016;16,9
GAS.MC;08/11/2016;17,245
GAS.MC;07/11/2016;17,32
GAS.MC;04/11/2016;17,15
GAS.MC;03/11/2016;17,355
GAS.MC;02/11/2016;17,75
GAS.MC;01/11/2016;18,145
GAS.MC;31/10/2016;17,955
GAS.MC;28/10/2016;17,845
GAS.MC;27/10/2016;18
GAS.MC;26/10/2016;17,785
GAS.MC;25/10/2016;17,925
GAS.MC;24/10/2016;18,125
GAS.MC;21/10/2016;18,06
GAS.MC;20/10/2016;17,9
GAS.MC;19/10/2016;17,945
GAS.MC;18/10/2016;17,83
GAS.MC;17/10/2016;17,81
GAS.MC;14/10/2016;17,59
GAS.MC;13/10/2016;17,43
GAS.MC;12/10/2016;17,57
GAS.MC;11/10/2016;17,86
GAS.MC;10/10/2016;17,665
GAS.MC;07/10/2016;17,715
GAS.MC;06/10/2016;17,985
GAS.MC;05/10/2016;17,995
GAS.MC;04/10/2016;18,2
GAS.MC;03/10/2016;18,29
GAS.MC;30/09/2016;18,08
GAS.MC;29/09/2016;18,23
GAS.MC;28/09/2016;17,95
GAS.MC;27/09/2016;18,05
GAS.MC;26/09/2016;17,945
GAS.MC;23/09/2016;18,08
GAS.MC;22/09/2016;17,84
GAS.MC;21/09/2016;18,24
GAS.MC;20/09/2016;18,18
GAS.MC;19/09/2016;18,135
GAS.MC;16/09/2016;18,17
GAS.MC;15/09/2016;18,33
GAS.MC;14/09/2016;18,255
GAS.MC;13/09/2016;18,68
GAS.MC;12/09/2016;18,75
GAS.MC;09/09/2016;19,16
GAS.MC;08/09/2016;19,225
GAS.MC;07/09/2016;19,28
GAS.MC;06/09/2016;19,7
GAS.MC;05/09/2016;19,5
GAS.MC;02/09/2016;19,18
GAS.MC;01/09/2016;18,625
GAS.MC;31/08/2016;18,495
GAS.MC;30/08/2016;18,465
GAS.MC;29/08/2016;18,375
GAS.MC;26/08/2016;18,325
GAS.MC;25/08/2016;18,355
GAS.MC;24/08/2016;18,245
GAS.MC;23/08/2016;18,255
GAS.MC;22/08/2016;18,23
GAS.MC;19/08/2016;18,55
GAS.MC;18/08/2016;18,465
GAS.MC;17/08/2016;18,675
GAS.MC;16/08/2016;18,8
GAS.MC;15/08/2016;18,845
GAS.MC;12/08/2016;18,89
GAS.MC;11/08/2016;18,68
GAS.MC;10/08/2016;18,435
GAS.MC;09/08/2016;18,37
GAS.MC;08/08/2016;18,36
GAS.MC;05/08/2016;18,32
GAS.MC;04/08/2016;18,11
GAS.MC;03/08/2016;18,125
GAS.MC;02/08/2016;18,38
GAS.MC;01/08/2016;18,58
GAS.MC;29/07/2016;18,6
GAS.MC;28/07/2016;18,365
GAS.MC;27/07/2016;18,45
GAS.MC;26/07/2016;18,205
GAS.MC;25/07/2016;18,235
GAS.MC;22/07/2016;18,11
GAS.MC;21/07/2016;18,15
GAS.MC;20/07/2016;18,04
GAS.MC;19/07/2016;17,855
GAS.MC;18/07/2016;18,05
GAS.MC;15/07/2016;18,02
GAS.MC;14/07/2016;18,15
GAS.MC;13/07/2016;17,815
GAS.MC;12/07/2016;17,955
GAS.MC;11/07/2016;18,07
GAS.MC;08/07/2016;17,62
GAS.MC;07/07/2016;17,65
GAS.MC;06/07/2016;17,425
GAS.MC;05/07/2016;17,915
GAS.MC;04/07/2016;17,7
GAS.MC;01/07/2016;17,79
GAS.MC;30/06/2016;17,055
GAS.MC;29/06/2016;16,63
GAS.MC;28/06/2016;16,27
GAS.MC;27/06/2016;15,695
GAS.MC;24/06/2016;15,55
GAS.MC;23/06/2016;17,62
GAS.MC;22/06/2016;17,645
GAS.MC;21/06/2016;17,71
GAS.MC;20/06/2016;17,625
GAS.MC;17/06/2016;17,06
GAS.MC;16/06/2016;16,9
GAS.MC;15/06/2016;17,055
GAS.MC;14/06/2016;17,215
GAS.MC;13/06/2016;17,39
GAS.MC;10/06/2016;18,03
GAS.MC;09/06/2016;17,97
GAS.MC;08/06/2016;17,9
GAS.MC;07/06/2016;17,715
GAS.MC;06/06/2016;17,405
GAS.MC;03/06/2016;17,56
GAS.MC;02/06/2016;17,5
GAS.MC;01/06/2016;17,745
GAS.MC;31/05/2016;17,97
GAS.MC;30/05/2016;17,865
GAS.MC;27/05/2016;17,65
GAS.MC;26/05/2016;17,6
GAS.MC;25/05/2016;17,48
GAS.MC;24/05/2016;17,1
GAS.MC;23/05/2016;17,05
GAS.MC;20/05/2016;17,055
GAS.MC;19/05/2016;17,055
GAS.MC;18/05/2016;16,945
GAS.MC;17/05/2016;16,94
GAS.MC;16/05/2016;16,9
GAS.MC;13/05/2016;16,85
GAS.MC;12/05/2016;16,765
GAS.MC;11/05/2016;17,6
GAS.MC;10/05/2016;18,05
GAS.MC;09/05/2016;17,825
GAS.MC;06/05/2016;17,485
GAS.MC;05/05/2016;17,44
GAS.MC;04/05/2016;17,78
GAS.MC;03/05/2016;18,23
GAS.MC;02/05/2016;18,3
GAS.MC;29/04/2016;18,44
GAS.MC;28/04/2016;18,37
GAS.MC;27/04/2016;18,595
GAS.MC;26/04/2016;18,36
GAS.MC;25/04/2016;18,265
GAS.MC;22/04/2016;18,01
GAS.MC;21/04/2016;18,26
GAS.MC;20/04/2016;17,975
GAS.MC;19/04/2016;17,7
GAS.MC;18/04/2016;17,355
GAS.MC;15/04/2016;17,69
GAS.MC;14/04/2016;17,8
GAS.MC;13/04/2016;17,8
GAS.MC;12/04/2016;17,44
GAS.MC;11/04/2016;17,26
GAS.MC;08/04/2016;17
GAS.MC;07/04/2016;17,3
GAS.MC;06/04/2016;17,11
GAS.MC;05/04/2016;17,36
GAS.MC;04/04/2016;17,38
GAS.MC;01/04/2016;17,52
GAS.MC;31/03/2016;17,87
GAS.MC;30/03/2016;17,95
GAS.MC;29/03/2016;17,955
GAS.MC;28/03/2016;17,785
GAS.MC;25/03/2016;17,785
GAS.MC;24/03/2016;17,74
GAS.MC;23/03/2016;17,765
GAS.MC;22/03/2016;17,56
GAS.MC;21/03/2016;17,645
GAS.MC;18/03/2016;17,19
GAS.MC;17/03/2016;17,145
GAS.MC;16/03/2016;17,07
GAS.MC;15/03/2016;17,155
GAS.MC;14/03/2016;17,23
GAS.MC;11/03/2016;16,91
GAS.MC;10/03/2016;16,735
GAS.MC;09/03/2016;16,475
GAS.MC;08/03/2016;16,38
GAS.MC;07/03/2016;16,67
GAS.MC;04/03/2016;16,705
GAS.MC;03/03/2016;16,385
GAS.MC;02/03/2016;16,285
GAS.MC;01/03/2016;16,045
GAS.MC;29/02/2016;15,97
GAS.MC;26/02/2016;15,87
GAS.MC;25/02/2016;15,665
GAS.MC;24/02/2016;16,12
GAS.MC;23/02/2016;16,27
GAS.MC;22/02/2016;16,295
GAS.MC;19/02/2016;16,34
GAS.MC;18/02/2016;16,02
GAS.MC;17/02/2016;15,68
GAS.MC;16/02/2016;15,91
GAS.MC;15/02/2016;15,6
GAS.MC;12/02/2016;15,415
GAS.MC;11/02/2016;15,505
GAS.MC;10/02/2016;15,555
GAS.MC;09/02/2016;15,96
GAS.MC;08/02/2016;16,495
GAS.MC;05/02/2016;16,415
GAS.MC;04/02/2016;16,5
GAS.MC;03/02/2016;17,975
GAS.MC;02/02/2016;18,155
GAS.MC;01/02/2016;18,19
GAS.MC;29/01/2016;17,995
GAS.MC;28/01/2016;17,675
GAS.MC;27/01/2016;17,75
GAS.MC;26/01/2016;17,34
GAS.MC;25/01/2016;17,805
GAS.MC;22/01/2016;17,35
GAS.MC;21/01/2016;16,955
GAS.MC;20/01/2016;17,065
GAS.MC;19/01/2016;17,2
GAS.MC;18/01/2016;17,075
GAS.MC;15/01/2016;17,48
GAS.MC;14/01/2016;17,765
GAS.MC;13/01/2016;17,965
GAS.MC;12/01/2016;17,96
GAS.MC;11/01/2016;17,65
GAS.MC;08/01/2016;17,96
GAS.MC;07/01/2016;18,145
GAS.MC;06/01/2016;18,68
GAS.MC;05/01/2016;18,655
GAS.MC;04/01/2016;18,65
GAS.MC;01/01/2016;18,815
GAS.MC;31/12/2015;18,83
GAS.MC;30/12/2015;18,94
GAS.MC;29/12/2015;18,82
GAS.MC;28/12/2015;19,1
GAS.MC;25/12/2015;19,05
GAS.MC;24/12/2015;18,925
GAS.MC;23/12/2015;18,355
GAS.MC;22/12/2015;18,455
GAS.MC;21/12/2015;18,655
GAS.MC;18/12/2015;19,33
GAS.MC;17/12/2015;19,525
GAS.MC;16/12/2015;19,27
GAS.MC;15/12/2015;19,245
GAS.MC;14/12/2015;19,465
GAS.MC;11/12/2015;19,75
GAS.MC;10/12/2015;19,605
GAS.MC;09/12/2015;19,415
GAS.MC;08/12/2015;19,9
GAS.MC;07/12/2015;19,84
GAS.MC;04/12/2015;19,79
GAS.MC;03/12/2015;20,365
GAS.MC;02/12/2015;20,5
GAS.MC;01/12/2015;20,475
GAS.MC;30/11/2015;20,45
GAS.MC;27/11/2015;20,4
GAS.MC;26/11/2015;20,15
GAS.MC;25/11/2015;19,715
GAS.MC;24/11/2015;19,8
GAS.MC;23/11/2015;19,805
GAS.MC;20/11/2015;19,955
GAS.MC;19/11/2015;19,72
GAS.MC;18/11/2015;19,51
GAS.MC;17/11/2015;19,415
GAS.MC;16/11/2015;19,03
GAS.MC;13/11/2015;19,065
GAS.MC;12/11/2015;19,475
GAS.MC;11/11/2015;19,765
GAS.MC;10/11/2015;19,93
GAS.MC;09/11/2015;19,87
GAS.MC;06/11/2015;20,08
GAS.MC;05/11/2015;19,98
GAS.MC;04/11/2015;20,085
GAS.MC;03/11/2015;19,955
GAS.MC;02/11/2015;19,625
GAS.MC;30/10/2015;19,76
GAS.MC;29/10/2015;19,92
GAS.MC;28/10/2015;19,685
GAS.MC;27/10/2015;19,985
GAS.MC;26/10/2015;19,895
GAS.MC;23/10/2015;19,95
GAS.MC;22/10/2015;19,44
GAS.MC;21/10/2015;19,41
GAS.MC;20/10/2015;19,35
GAS.MC;19/10/2015;19,315
GAS.MC;16/10/2015;19,41
GAS.MC;15/10/2015;19,385
GAS.MC;14/10/2015;18,925
GAS.MC;13/10/2015;19,24
GAS.MC;12/10/2015;19,575
GAS.MC;09/10/2015;19,25
GAS.MC;08/10/2015;18,9
GAS.MC;07/10/2015;18,78
GAS.MC;06/10/2015;18,55
GAS.MC;05/10/2015;18,39
GAS.MC;02/10/2015;17,94
GAS.MC;01/10/2015;17,55
GAS.MC;30/09/2015;17,55
GAS.MC;29/09/2015;17
GAS.MC;28/09/2015;17,67
GAS.MC;25/09/2015;17,44
GAS.MC;24/09/2015;17,605
GAS.MC;23/09/2015;17,45
GAS.MC;22/09/2015;18,07
GAS.MC;21/09/2015;18,475
GAS.MC;18/09/2015;18,56
GAS.MC;17/09/2015;18,45
GAS.MC;16/09/2015;17,55
GAS.MC;15/09/2015;17,185
GAS.MC;14/09/2015;17,285
GAS.MC;11/09/2015;17,525
GAS.MC;10/09/2015;17,83
GAS.MC;09/09/2015;17,85
GAS.MC;08/09/2015;17,545
GAS.MC;07/09/2015;17,675
GAS.MC;04/09/2015;17,83
GAS.MC;03/09/2015;17,88
GAS.MC;02/09/2015;17,855
GAS.MC;01/09/2015;17,92
GAS.MC;31/08/2015;18,375
GAS.MC;28/08/2015;18,145
GAS.MC;27/08/2015;18,245
GAS.MC;26/08/2015;17,9
GAS.MC;25/08/2015;18,165
GAS.MC;24/08/2015;18,345
GAS.MC;21/08/2015;19,445
GAS.MC;20/08/2015;19,655
GAS.MC;19/08/2015;19,73
GAS.MC;18/08/2015;19,83
GAS.MC;17/08/2015;19,915
GAS.MC;14/08/2015;19,945
GAS.MC;13/08/2015;20,075
GAS.MC;12/08/2015;19,915
GAS.MC;11/08/2015;20,245
GAS.MC;10/08/2015;20,38
GAS.MC;07/08/2015;19,975
GAS.MC;06/08/2015;19,905
GAS.MC;05/08/2015;19,82
GAS.MC;04/08/2015;19,765
GAS.MC;03/08/2015;19,8
GAS.MC;31/07/2015;19,87
GAS.MC;30/07/2015;20,195
GAS.MC;29/07/2015;20,745
GAS.MC;28/07/2015;20,395
GAS.MC;27/07/2015;20,5
GAS.MC;24/07/2015;20,69
GAS.MC;23/07/2015;21
GAS.MC;22/07/2015;20,835
GAS.MC;21/07/2015;21,075
GAS.MC;20/07/2015;21
GAS.MC;17/07/2015;21,095
GAS.MC;16/07/2015;20,87
GAS.MC;15/07/2015;20,445
GAS.MC;14/07/2015;20,465
GAS.MC;13/07/2015;20,53
GAS.MC;10/07/2015;20,19
GAS.MC;09/07/2015;19,575
GAS.MC;08/07/2015;19,365
GAS.MC;07/07/2015;19,55
GAS.MC;06/07/2015;19,53
GAS.MC;03/07/2015;20,08
GAS.MC;02/07/2015;19,835
GAS.MC;01/07/2015;20
GAS.MC;30/06/2015;20,46
GAS.MC;29/06/2015;20,585
GAS.MC;26/06/2015;21,145
GAS.MC;25/06/2015;21,2
GAS.MC;24/06/2015;21,69
GAS.MC;23/06/2015;21,945
GAS.MC;22/06/2015;21,62
GAS.MC;19/06/2015;21,17
GAS.MC;18/06/2015;21,105
GAS.MC;17/06/2015;21,24
GAS.MC;16/06/2015;21,05
GAS.MC;15/06/2015;21,27
GAS.MC;12/06/2015;21,8
GAS.MC;11/06/2015;21,91
GAS.MC;10/06/2015;21,455
GAS.MC;09/06/2015;21,415
GAS.MC;08/06/2015;21,6
GAS.MC;05/06/2015;21,585
GAS.MC;04/06/2015;22,07
GAS.MC;03/06/2015;22,255
GAS.MC;02/06/2015;22,335
GAS.MC;01/06/2015;22,495
GAS.MC;29/05/2015;22,535
GAS.MC;28/05/2015;22,52
GAS.MC;27/05/2015;22,255
GAS.MC;26/05/2015;22,21
GAS.MC;25/05/2015;22,58
GAS.MC;22/05/2015;22,83
GAS.MC;21/05/2015;22,65
GAS.MC;20/05/2015;22,465
GAS.MC;19/05/2015;22,4
GAS.MC;18/05/2015;22,28
GAS.MC;15/05/2015;22,345
GAS.MC;14/05/2015;21,955
GAS.MC;13/05/2015;21,995
GAS.MC;12/05/2015;21,82
GAS.MC;11/05/2015;21,775
GAS.MC;08/05/2015;21,685
GAS.MC;07/05/2015;21,255
GAS.MC;06/05/2015;21,41
GAS.MC;05/05/2015;21,975
GAS.MC;04/05/2015;21,94
GAS.MC;01/05/2015;21,955
GAS.MC;30/04/2015;21,965
GAS.MC;29/04/2015;22,545
GAS.MC;28/04/2015;22,32
GAS.MC;27/04/2015;22,2
GAS.MC;24/04/2015;21,9
GAS.MC;23/04/2015;21,595
GAS.MC;22/04/2015;21,84
GAS.MC;21/04/2015;22,015
GAS.MC;20/04/2015;21,945
GAS.MC;17/04/2015;22
GAS.MC;16/04/2015;22,295
GAS.MC;15/04/2015;22,225
GAS.MC;14/04/2015;22,48
GAS.MC;13/04/2015;22,24
GAS.MC;10/04/2015;22,35
GAS.MC;09/04/2015;22
GAS.MC;08/04/2015;21,77
GAS.MC;07/04/2015;21,495
GAS.MC;06/04/2015;21,24
GAS.MC;03/04/2015;21,24
GAS.MC;02/04/2015;21,275
GAS.MC;01/04/2015;20,79
GAS.MC;31/03/2015;21,34
GAS.MC;30/03/2015;21,355
GAS.MC;27/03/2015;21,475
GAS.MC;26/03/2015;21,415
GAS.MC;25/03/2015;21,64
GAS.MC;24/03/2015;21,56
GAS.MC;23/03/2015;21,45
GAS.MC;20/03/2015;20,995
GAS.MC;19/03/2015;20,95
GAS.MC;18/03/2015;20,76
GAS.MC;17/03/2015;20,815
GAS.MC;16/03/2015;20,75
GAS.MC;13/03/2015;20,9
GAS.MC;12/03/2015;21,035
GAS.MC;11/03/2015;20,84
GAS.MC;10/03/2015;21,17
GAS.MC;09/03/2015;20,88
GAS.MC;06/03/2015;21,63
GAS.MC;05/03/2015;21,55
GAS.MC;04/03/2015;21,5
GAS.MC;03/03/2015;21,795
GAS.MC;02/03/2015;21,66
GAS.MC;27/02/2015;21,32
GAS.MC;26/02/2015;21,27
GAS.MC;25/02/2015;21,29
GAS.MC;24/02/2015;20,96
GAS.MC;23/02/2015;20,76
GAS.MC;20/02/2015;20,44
GAS.MC;19/02/2015;20,425
GAS.MC;18/02/2015;20,775
GAS.MC;17/02/2015;20,74
GAS.MC;16/02/2015;21,155
GAS.MC;13/02/2015;20,875
GAS.MC;12/02/2015;20,225
GAS.MC;11/02/2015;20,63
GAS.MC;10/02/2015;20,315
