Actif;Date;Close
ITB.F;01/03/2017;45,386
ITB.F;28/02/2017;45,21
ITB.F;27/02/2017;45,444
ITB.F;24/02/2017;45,975
ITB.F;23/02/2017;46,163
ITB.F;22/02/2017;45,571
ITB.F;21/02/2017;45,016
ITB.F;20/02/2017;44,22
ITB.F;17/02/2017;44,878
ITB.F;16/02/2017;43,446
ITB.F;15/02/2017;44,332
ITB.F;14/02/2017;44,502
ITB.F;13/02/2017;45,25
ITB.F;10/02/2017;44,703
ITB.F;09/02/2017;44,924
ITB.F;08/02/2017;45,029
ITB.F;07/02/2017;44,014
ITB.F;06/02/2017;43,643
ITB.F;03/02/2017;43,868
ITB.F;02/02/2017;43,3
ITB.F;01/02/2017;43,908
ITB.F;31/01/2017;43,613
ITB.F;30/01/2017;43,758
ITB.F;27/01/2017;44,083
ITB.F;26/01/2017;43,856
ITB.F;25/01/2017;42,95
ITB.F;24/01/2017;42,919
ITB.F;23/01/2017;42,221
ITB.F;20/01/2017;42,311
ITB.F;19/01/2017;41,871
ITB.F;18/01/2017;41,819
ITB.F;17/01/2017;41,453
ITB.F;16/01/2017;42,067
ITB.F;13/01/2017;41,77
ITB.F;12/01/2017;41,922
ITB.F;11/01/2017;43,176
ITB.F;10/01/2017;41,961
ITB.F;09/01/2017;42,373
ITB.F;06/01/2017;42,008
ITB.F;05/01/2017;41,4
ITB.F;04/01/2017;42,195
ITB.F;03/01/2017;42,205
ITB.F;02/01/2017;42,52
ITB.F;30/12/2016;41,849
ITB.F;29/12/2016;42
ITB.F;28/12/2016;42,119
ITB.F;27/12/2016;42,097
ITB.F;26/12/2016;41,861
ITB.F;23/12/2016;41,861
ITB.F;22/12/2016;41,85
ITB.F;21/12/2016;42,156
ITB.F;20/12/2016;42,316
ITB.F;19/12/2016;42,66
ITB.F;16/12/2016;41,908
ITB.F;15/12/2016;42,341
ITB.F;14/12/2016;42
ITB.F;13/12/2016;42,12
ITB.F;12/12/2016;41,4
ITB.F;09/12/2016;42,04
ITB.F;08/12/2016;40,864
ITB.F;07/12/2016;40,044
ITB.F;06/12/2016;40,502
ITB.F;05/12/2016;40,3
ITB.F;02/12/2016;41,022
ITB.F;01/12/2016;39,95
ITB.F;30/11/2016;41
ITB.F;29/11/2016;41,7
ITB.F;28/11/2016;41,71
ITB.F;25/11/2016;41,723
ITB.F;24/11/2016;41,673
ITB.F;23/11/2016;41,773
ITB.F;22/11/2016;41,569
ITB.F;21/11/2016;41,5
ITB.F;18/11/2016;41,113
ITB.F;17/11/2016;41,074
ITB.F;16/11/2016;41,005
