Actif;Date;Open
IMB.L;25/01/2017;3674,5
IMB.L;24/01/2017;3601,5
IMB.L;23/01/2017;3583
IMB.L;20/01/2017;3567
IMB.L;19/01/2017;3574
IMB.L;18/01/2017;3565
IMB.L;17/01/2017;3640,5
IMB.L;16/01/2017;3612
IMB.L;13/01/2017;3613
IMB.L;12/01/2017;3635
IMB.L;11/01/2017;3581,5
IMB.L;10/01/2017;3606,5
IMB.L;09/01/2017;3550,5
IMB.L;06/01/2017;3509
IMB.L;05/01/2017;3528
IMB.L;04/01/2017;3540
IMB.L;03/01/2017;3542
IMB.L;02/01/2017;3542,5
IMB.L;30/12/2016;3544
IMB.L;29/12/2016;3513,5
IMB.L;28/12/2016;3541
IMB.L;27/12/2016;3539
IMB.L;26/12/2016;3539
IMB.L;23/12/2016;3494
IMB.L;22/12/2016;3495
IMB.L;21/12/2016;3516,5
IMB.L;20/12/2016;3556
IMB.L;19/12/2016;3502,5
IMB.L;16/12/2016;3517
IMB.L;15/12/2016;3477
IMB.L;14/12/2016;3502
IMB.L;13/12/2016;3434
IMB.L;12/12/2016;3485
IMB.L;09/12/2016;3403,5
IMB.L;08/12/2016;3398,5
IMB.L;07/12/2016;3408,5
IMB.L;06/12/2016;3400
IMB.L;05/12/2016;3374
IMB.L;02/12/2016;3334
IMB.L;01/12/2016;3400
IMB.L;30/11/2016;3505,5
IMB.L;29/11/2016;3514,5
IMB.L;28/11/2016;3500
IMB.L;25/11/2016;3485,5
IMB.L;24/11/2016;3503,5
IMB.L;23/11/2016;3481
IMB.L;22/11/2016;3480
IMB.L;21/11/2016;3443,5
IMB.L;18/11/2016;3479
IMB.L;17/11/2016;3426,5
IMB.L;16/11/2016;3516
IMB.L;15/11/2016;3420
IMB.L;14/11/2016;3460
IMB.L;11/11/2016;3356,5
IMB.L;10/11/2016;3628,5
IMB.L;09/11/2016;3610
IMB.L;08/11/2016;3650
IMB.L;07/11/2016;3835
IMB.L;04/11/2016;3819
IMB.L;03/11/2016;3889
IMB.L;02/11/2016;3890
IMB.L;01/11/2016;3968,5
IMB.L;31/10/2016;3990,5
