Actif;Date;Close
IES.F;01/03/2017;2,302
IES.F;28/02/2017;2,209
IES.F;27/02/2017;2,205
IES.F;24/02/2017;2,08
IES.F;23/02/2017;2,132
IES.F;22/02/2017;2,141
IES.F;21/02/2017;2,173
IES.F;20/02/2017;2,162
IES.F;17/02/2017;2,182
IES.F;16/02/2017;2,203
IES.F;15/02/2017;2,195
IES.F;14/02/2017;2,148
IES.F;13/02/2017;2,151
IES.F;10/02/2017;2,14
IES.F;09/02/2017;2,162
IES.F;08/02/2017;2,118
IES.F;07/02/2017;2,145
IES.F;06/02/2017;2,191
IES.F;03/02/2017;2,25
IES.F;02/02/2017;2,185
IES.F;01/02/2017;2,17
IES.F;31/01/2017;2,171
IES.F;30/01/2017;2,202
IES.F;27/01/2017;2,272
IES.F;26/01/2017;2,24
IES.F;25/01/2017;2,313
IES.F;24/01/2017;2,303
IES.F;23/01/2017;2,41
IES.F;20/01/2017;2,474
IES.F;19/01/2017;2,463
IES.F;18/01/2017;2,43
IES.F;17/01/2017;2,415
IES.F;16/01/2017;2,436
IES.F;13/01/2017;2,442
IES.F;12/01/2017;2,448
IES.F;11/01/2017;2,45
IES.F;10/01/2017;2,494
IES.F;09/01/2017;2,482
IES.F;06/01/2017;2,546
IES.F;05/01/2017;2,563
IES.F;04/01/2017;2,526
IES.F;03/01/2017;2,5
IES.F;02/01/2017;2,468
IES.F;30/12/2016;2,395
IES.F;29/12/2016;2,4
IES.F;28/12/2016;2,421
IES.F;27/12/2016;2,453
IES.F;26/12/2016;2,454
IES.F;23/12/2016;2,454
IES.F;22/12/2016;2,446
IES.F;21/12/2016;2,456
IES.F;20/12/2016;2,434
IES.F;19/12/2016;2,39
IES.F;16/12/2016;2,434
IES.F;15/12/2016;2,39
IES.F;14/12/2016;2,366
IES.F;13/12/2016;2,433
IES.F;12/12/2016;2,35
IES.F;09/12/2016;2,35
IES.F;08/12/2016;2,412
IES.F;07/12/2016;2,334
IES.F;06/12/2016;2,279
IES.F;05/12/2016;2,092
IES.F;02/12/2016;2,14
IES.F;01/12/2016;2,072
IES.F;30/11/2016;2,096
IES.F;29/11/2016;2,014
IES.F;28/11/2016;1,986
IES.F;25/11/2016;2,02
IES.F;24/11/2016;2,035
IES.F;23/11/2016;1,99
IES.F;22/11/2016;2,045
IES.F;21/11/2016;2,01
IES.F;18/11/2016;2,037
IES.F;17/11/2016;2,036
IES.F;16/11/2016;2,166
IES.F;15/11/2016;2,186
IES.F;14/11/2016;2,234
IES.F;11/11/2016;2,234
IES.F;10/11/2016;2,25
IES.F;09/11/2016;2,074
IES.F;08/11/2016;2,139
IES.F;07/11/2016;2,112
IES.F;04/11/2016;2,014
IES.F;03/11/2016;2,011
IES.F;02/11/2016;2,042
IES.F;01/11/2016;2,126
IES.F;31/10/2016;2,15
IES.F;28/10/2016;2,161
IES.F;27/10/2016;2,19
IES.F;26/10/2016;2,171
IES.F;25/10/2016;2,148
IES.F;24/10/2016;2,159
IES.F;21/10/2016;2,108
IES.F;20/10/2016;2,096
IES.F;19/10/2016;2,056
IES.F;18/10/2016;2,052
IES.F;17/10/2016;1,968
IES.F;14/10/2016;1,971
IES.F;13/10/2016;1,931
IES.F;12/10/2016;1,975
IES.F;11/10/2016;1,997
IES.F;10/10/2016;1,994
IES.F;07/10/2016;1,999
IES.F;06/10/2016;2,034
IES.F;05/10/2016;1,999
IES.F;04/10/2016;1,931
IES.F;03/10/2016;1,928
IES.F;30/09/2016;1,928
IES.F;29/09/2016;1,914
IES.F;28/09/2016;1,955
IES.F;27/09/2016;1,955
IES.F;26/09/2016;1,966
IES.F;23/09/2016;2,001
