Actif;Date;Open
ISP.MI;25/01/2017;2,25
ISP.MI;24/01/2017;2,278
ISP.MI;23/01/2017;2,424
ISP.MI;20/01/2017;2,48
ISP.MI;19/01/2017;2,432
ISP.MI;18/01/2017;2,43
ISP.MI;17/01/2017;2,41
ISP.MI;16/01/2017;2,452
ISP.MI;13/01/2017;2,45
ISP.MI;12/01/2017;2,45
ISP.MI;11/01/2017;2,458
ISP.MI;10/01/2017;2,48
ISP.MI;09/01/2017;2,56
ISP.MI;06/01/2017;2,572
ISP.MI;05/01/2017;2,534
ISP.MI;04/01/2017;2,534
ISP.MI;03/01/2017;2,47
ISP.MI;02/01/2017;2,416
ISP.MI;30/12/2016;2,404
ISP.MI;29/12/2016;2,412
ISP.MI;28/12/2016;2,45
ISP.MI;27/12/2016;2,46
ISP.MI;26/12/2016;2,46
ISP.MI;23/12/2016;2,46
ISP.MI;22/12/2016;2,444
ISP.MI;21/12/2016;2,448
ISP.MI;20/12/2016;2,4
ISP.MI;19/12/2016;2,42
ISP.MI;16/12/2016;2,472
ISP.MI;15/12/2016;2,386
ISP.MI;14/12/2016;2,4
ISP.MI;13/12/2016;2,326
ISP.MI;12/12/2016;2,368
ISP.MI;09/12/2016;2,408
ISP.MI;08/12/2016;2,344
ISP.MI;07/12/2016;2,33
ISP.MI;06/12/2016;2,12
ISP.MI;05/12/2016;2,03
ISP.MI;02/12/2016;2,122
ISP.MI;01/12/2016;2,08
ISP.MI;30/11/2016;2,036
ISP.MI;29/11/2016;1,955
ISP.MI;28/11/2016;2
ISP.MI;25/11/2016;2,038
ISP.MI;24/11/2016;2,05
ISP.MI;23/11/2016;2,068
ISP.MI;22/11/2016;2,036
ISP.MI;21/11/2016;2,03
ISP.MI;18/11/2016;2,088
ISP.MI;17/11/2016;2,072
ISP.MI;16/11/2016;2,14
ISP.MI;15/11/2016;2,206
ISP.MI;14/11/2016;2,252
ISP.MI;11/11/2016;2,25
ISP.MI;10/11/2016;2,18
ISP.MI;09/11/2016;2,04
ISP.MI;08/11/2016;2,128
ISP.MI;07/11/2016;2,07
ISP.MI;04/11/2016;2,052
ISP.MI;03/11/2016;2,012
ISP.MI;02/11/2016;2,07
ISP.MI;01/11/2016;2,118
ISP.MI;31/10/2016;2,148
ISP.MI;28/10/2016;2,19
ISP.MI;27/10/2016;2,174
ISP.MI;26/10/2016;2,15
ISP.MI;25/10/2016;2,156
ISP.MI;24/10/2016;2,13
ISP.MI;21/10/2016;2,114
ISP.MI;20/10/2016;2,084
ISP.MI;19/10/2016;2,062
ISP.MI;18/10/2016;2,016
ISP.MI;17/10/2016;1,989
ISP.MI;14/10/2016;1,935
ISP.MI;13/10/2016;1,958
ISP.MI;12/10/2016;1,98
ISP.MI;11/10/2016;2,01
