Actif;Date;Close
KIR.F;01/03/2017;16,236
KIR.F;28/02/2017;16,124
KIR.F;27/02/2017;16,328
KIR.F;24/02/2017;16,854
KIR.F;23/02/2017;16,195
KIR.F;22/02/2017;16,069
KIR.F;21/02/2017;16,041
KIR.F;20/02/2017;15,78
KIR.F;17/02/2017;15,554
KIR.F;16/02/2017;15,174
KIR.F;15/02/2017;15,189
KIR.F;14/02/2017;15,01
KIR.F;13/02/2017;15,191
KIR.F;10/02/2017;15,338
KIR.F;09/02/2017;15,204
KIR.F;08/02/2017;15,221
KIR.F;07/02/2017;15,26
KIR.F;06/02/2017;15,131
KIR.F;03/02/2017;15,181
KIR.F;02/02/2017;15,115
KIR.F;01/02/2017;15,162
KIR.F;31/01/2017;14,855
KIR.F;30/01/2017;14,944
KIR.F;27/01/2017;15,021
KIR.F;26/01/2017;15,181
KIR.F;25/01/2017;15,07
KIR.F;24/01/2017;15,257
KIR.F;23/01/2017;15,091
KIR.F;20/01/2017;15,368
KIR.F;19/01/2017;15,233
KIR.F;18/01/2017;15,206
KIR.F;17/01/2017;15,254
KIR.F;16/01/2017;15,497
KIR.F;13/01/2017;15,616
KIR.F;12/01/2017;15,522
KIR.F;11/01/2017;15,697
KIR.F;10/01/2017;15,569
KIR.F;09/01/2017;15,517
KIR.F;06/01/2017;15,881
KIR.F;05/01/2017;15,884
KIR.F;04/01/2017;15,636
KIR.F;03/01/2017;15,126
KIR.F;02/01/2017;15,075
KIR.F;30/12/2016;15,35
KIR.F;29/12/2016;15,473
KIR.F;28/12/2016;15,327
KIR.F;27/12/2016;15,886
KIR.F;26/12/2016;15,389
KIR.F;23/12/2016;15,389
KIR.F;22/12/2016;15,623
KIR.F;21/12/2016;15,863
KIR.F;20/12/2016;15,77
KIR.F;19/12/2016;15,652
KIR.F;16/12/2016;15,424
KIR.F;15/12/2016;15,417
KIR.F;14/12/2016;15,813
KIR.F;13/12/2016;15,968
KIR.F;12/12/2016;15,931
KIR.F;09/12/2016;15,421
KIR.F;08/12/2016;15,349
KIR.F;07/12/2016;15,002
KIR.F;06/12/2016;14,746
KIR.F;05/12/2016;14,958
KIR.F;02/12/2016;14,736
KIR.F;01/12/2016;15,268
KIR.F;30/11/2016;15,434
KIR.F;29/11/2016;15,427
KIR.F;28/11/2016;15,2
KIR.F;25/11/2016;14,988
KIR.F;24/11/2016;15,203
KIR.F;23/11/2016;15,183
KIR.F;22/11/2016;15,412
KIR.F;21/11/2016;15,446
KIR.F;18/11/2016;15,284
KIR.F;17/11/2016;15,563
KIR.F;16/11/2016;15,453
KIR.F;15/11/2016;15,608
KIR.F;14/11/2016;15,467
KIR.F;11/11/2016;15,509
KIR.F;10/11/2016;15,716
KIR.F;09/11/2016;15,419
KIR.F;08/11/2016;15,993
KIR.F;07/11/2016;16,18
KIR.F;04/11/2016;16,113
KIR.F;03/11/2016;16,089
KIR.F;02/11/2016;16,272
KIR.F;01/11/2016;16,171
KIR.F;31/10/2016;15,347
KIR.F;28/10/2016;15,644
KIR.F;27/10/2016;15,716
KIR.F;26/10/2016;15,492
KIR.F;25/10/2016;15,203
KIR.F;24/10/2016;15,304
KIR.F;21/10/2016;15,078
KIR.F;20/10/2016;15,089
KIR.F;19/10/2016;14,919
KIR.F;18/10/2016;14,711
KIR.F;17/10/2016;14,736
KIR.F;14/10/2016;14,639
KIR.F;13/10/2016;14,623
KIR.F;12/10/2016;14,629
KIR.F;11/10/2016;14,602
KIR.F;10/10/2016;14,12
KIR.F;07/10/2016;14,32
KIR.F;06/10/2016;14,397
KIR.F;05/10/2016;14,5
KIR.F;04/10/2016;14,886
KIR.F;03/10/2016;14,639
KIR.F;30/09/2016;14,639
KIR.F;29/09/2016;14,768
KIR.F;28/09/2016;14,661
KIR.F;27/09/2016;14,563
KIR.F;26/09/2016;14,42
KIR.F;23/09/2016;14,527
KIR.F;22/09/2016;14,721
KIR.F;21/09/2016;14,489
KIR.F;20/09/2016;14,207
KIR.F;19/09/2016;13,855
KIR.F;16/09/2016;13,987
KIR.F;15/09/2016;14,22
KIR.F;14/09/2016;14,359
KIR.F;13/09/2016;14,594
KIR.F;12/09/2016;14,346
KIR.F;09/09/2016;14,469
KIR.F;08/09/2016;14,977
KIR.F;07/09/2016;15,198
KIR.F;06/09/2016;14,928
KIR.F;05/09/2016;14,816
KIR.F;02/09/2016;14,888
KIR.F;01/09/2016;14,729
KIR.F;31/08/2016;14,54
KIR.F;30/08/2016;14,62
KIR.F;29/08/2016;14,608
KIR.F;26/08/2016;14,876
KIR.F;25/08/2016;14,868
KIR.F;24/08/2016;14,854
KIR.F;23/08/2016;14,743
KIR.F;22/08/2016;14,338
KIR.F;19/08/2016;14,377
KIR.F;18/08/2016;14,587
KIR.F;17/08/2016;14,768
KIR.F;16/08/2016;14,831
KIR.F;15/08/2016;15,163
KIR.F;12/08/2016;14,581
KIR.F;11/08/2016;14,331
KIR.F;10/08/2016;14,393
KIR.F;09/08/2016;14,429
KIR.F;08/08/2016;14,157
KIR.F;05/08/2016;14,267
KIR.F;04/08/2016;13,916
KIR.F;03/08/2016;14,968
KIR.F;02/08/2016;14,948
KIR.F;01/08/2016;15,154
KIR.F;29/07/2016;15,02
KIR.F;28/07/2016;15,105
KIR.F;27/07/2016;15,236
KIR.F;26/07/2016;15,597
KIR.F;25/07/2016;15,184
KIR.F;22/07/2016;15,388
KIR.F;21/07/2016;15,07
KIR.F;20/07/2016;15,398
KIR.F;19/07/2016;15,049
KIR.F;18/07/2016;14,556
KIR.F;15/07/2016;14,881
KIR.F;14/07/2016;15,23
KIR.F;13/07/2016;15,204
KIR.F;12/07/2016;15,692
KIR.F;11/07/2016;15,953
KIR.F;08/07/2016;15,874
KIR.F;07/07/2016;16,191
KIR.F;06/07/2016;16,234
KIR.F;05/07/2016;15,845
KIR.F;04/07/2016;15,646
