Actif;Date;Open
2503;26/01/2017;1860,5
2503;25/01/2017;1870
2503;24/01/2017;1889
2503;23/01/2017;1855,5
2503;20/01/2017;1882
2503;19/01/2017;1861
2503;18/01/2017;1856,5
2503;17/01/2017;1886,5
2503;16/01/2017;1906
2503;13/01/2017;1899
2503;12/01/2017;1932,5
2503;11/01/2017;1945
2503;10/01/2017;1930
2503;09/01/2017;1965,5
2503;06/01/2017;1940
2503;05/01/2017;1920,5
2503;04/01/2017;1913,5
2503;03/01/2017;1901,5
2503;02/01/2017;1901,5
2503;30/12/2016;1894
2503;29/12/2016;1899,5
2503;28/12/2016;1900
2503;27/12/2016;1944,5
2503;26/12/2016;1950
2503;23/12/2016;1934
2503;22/12/2016;1935
2503;21/12/2016;1937
2503;20/12/2016;1932
2503;19/12/2016;1906
2503;16/12/2016;1950,5
2503;15/12/2016;1918,5
2503;14/12/2016;1977
2503;13/12/2016;1969
2503;12/12/2016;1905
2503;09/12/2016;1900
2503;08/12/2016;1890
2503;07/12/2016;1822,5
2503;06/12/2016;1819
2503;05/12/2016;1807,5
2503;02/12/2016;1851
2503;01/12/2016;1870
2503;30/11/2016;1850
2503;29/11/2016;1834
2503;28/11/2016;1816
2503;25/11/2016;1800
2503;24/11/2016;1835
2503;23/11/2016;1828,5
2503;22/11/2016;1832
2503;21/11/2016;1805,5
2503;18/11/2016;1820
2503;17/11/2016;1822
2503;16/11/2016;1853,5
2503;15/11/2016;1833
2503;14/11/2016;1825
2503;11/11/2016;1841
2503;10/11/2016;1873
2503;09/11/2016;1880
2503;08/11/2016;1855
2503;07/11/2016;1861
2503;04/11/2016;1893
2503;03/11/2016;1883
2503;02/11/2016;1885
2503;01/11/2016;1826
2503;31/10/2016;1811,5
2503;28/10/2016;1809
2503;27/10/2016;1772,5
2503;26/10/2016;1750
2503;25/10/2016;1750
2503;24/10/2016;1732
2503;21/10/2016;1740
2503;20/10/2016;1709,5
2503;19/10/2016;1693
2503;18/10/2016;1692
2503;17/10/2016;1693
2503;14/10/2016;1688
2503;13/10/2016;1700,5
2503;12/10/2016;1685
2503;11/10/2016;1679,5
2503;10/10/2016;1667
2503;07/10/2016;1662
2503;06/10/2016;1689
2503;05/10/2016;1701,5
2503;04/10/2016;1709,5
2503;03/10/2016;1681
2503;30/09/2016;1681
2503;29/09/2016;1669,5
2503;28/09/2016;1665
2503;27/09/2016;1624
2503;26/09/2016;1645,5
2503;23/09/2016;1660
2503;22/09/2016;1667
2503;21/09/2016;1630
2503;20/09/2016;1617
2503;19/09/2016;1617
2503;16/09/2016;1645,5
2503;15/09/2016;1668,5
2503;14/09/2016;1685
2503;13/09/2016;1682,5
2503;12/09/2016;1664
2503;09/09/2016;1707,5
2503;08/09/2016;1731
2503;07/09/2016;1728
2503;06/09/2016;1721
2503;05/09/2016;1759,5
2503;02/09/2016;1708
2503;01/09/2016;1716,5
2503;31/08/2016;1682
2503;30/08/2016;1678
2503;29/08/2016;1719
2503;26/08/2016;1700
2503;25/08/2016;1696
2503;24/08/2016;1699
2503;23/08/2016;1661,5
2503;22/08/2016;1650,5
2503;19/08/2016;1659,5
2503;18/08/2016;1692,5
2503;17/08/2016;1682,5
2503;16/08/2016;1707,5
2503;15/08/2016;1672
2503;12/08/2016;1685,5
2503;11/08/2016;1664
2503;10/08/2016;1652
2503;09/08/2016;1626
2503;08/08/2016;1644
2503;05/08/2016;1659,5
2503;04/08/2016;1654
2503;03/08/2016;1690
2503;02/08/2016;1726
2503;01/08/2016;1754
2503;29/07/2016;1766
2503;28/07/2016;1776
2503;27/07/2016;1789
2503;26/07/2016;1779,5
2503;25/07/2016;1807,5
2503;22/07/2016;1794
2503;21/07/2016;1826,5
2503;20/07/2016;1788
2503;19/07/2016;1767
2503;18/07/2016;1742
2503;15/07/2016;1793
2503;14/07/2016;1789
2503;13/07/2016;1806
2503;12/07/2016;1820
2503;11/07/2016;1809
2503;08/07/2016;1815,5
2503;07/07/2016;1811
2503;06/07/2016;1794
2503;05/07/2016;1793,5
2503;04/07/2016;1740
2503;01/07/2016;1736
2503;30/06/2016;1763
2503;29/06/2016;1720
2503;28/06/2016;1650
2503;27/06/2016;1648
2503;24/06/2016;1740
2503;23/06/2016;1740
2503;22/06/2016;1731
2503;21/06/2016;1697
2503;20/06/2016;1712
2503;17/06/2016;1707
2503;16/06/2016;1742
2503;15/06/2016;1767
2503;14/06/2016;1775,5
2503;13/06/2016;1800
2503;10/06/2016;1863
2503;09/06/2016;1839
2503;08/06/2016;1820
2503;07/06/2016;1820
2503;06/06/2016;1801,5
2503;03/06/2016;1848
2503;02/06/2016;1833
2503;01/06/2016;1850
2503;31/05/2016;1846
2503;30/05/2016;1867
2503;27/05/2016;1837,5
2503;26/05/2016;1825
2503;25/05/2016;1832,5
2503;24/05/2016;1801,5
2503;23/05/2016;1805
2503;20/05/2016;1785
2503;19/05/2016;1851
2503;18/05/2016;1840,5
2503;17/05/2016;1840
2503;16/05/2016;1786
2503;13/05/2016;1840
2503;12/05/2016;1821
2503;11/05/2016;1815
2503;10/05/2016;1773,5
2503;09/05/2016;1743
2503;06/05/2016;1710
2503;05/05/2016;1728,5
2503;04/05/2016;1728,5
2503;03/05/2016;1728,5
2503;02/05/2016;1751,5
2503;29/04/2016;1591,5
2503;28/04/2016;1697
2503;27/04/2016;1676,5
2503;26/04/2016;1642,5
2503;25/04/2016;1646,5
2503;22/04/2016;1645,5
2503;21/04/2016;1657
2503;20/04/2016;1635
2503;19/04/2016;1656,5
2503;18/04/2016;1618
2503;15/04/2016;1631,5
2503;14/04/2016;1637,5
2503;13/04/2016;1587
2503;12/04/2016;1559,5
2503;11/04/2016;1544
2503;08/04/2016;1516
2503;07/04/2016;1513
2503;06/04/2016;1528,5
2503;05/04/2016;1540,5
2503;04/04/2016;1536,5
2503;01/04/2016;1570
2503;31/03/2016;1627,5
2503;30/03/2016;1618
2503;29/03/2016;1608
2503;28/03/2016;1601
2503;25/03/2016;1586,5
2503;24/03/2016;1591
2503;23/03/2016;1562
2503;22/03/2016;1546,5
2503;21/03/2016;1517
2503;18/03/2016;1547,5
2503;17/03/2016;1534,5
2503;16/03/2016;1517
2503;15/03/2016;1519,5
2503;14/03/2016;1526,5
2503;11/03/2016;1478,5
2503;10/03/2016;1511,5
2503;09/03/2016;1512
2503;08/03/2016;1528
2503;07/03/2016;1544
2503;04/03/2016;1563
2503;03/03/2016;1524
2503;02/03/2016;1506
2503;01/03/2016;1487
2503;29/02/2016;1530
2503;26/02/2016;1511,5
2503;25/02/2016;1486
2503;24/02/2016;1460
2503;23/02/2016;1500
2503;22/02/2016;1469
2503;19/02/2016;1474
2503;18/02/2016;1500
2503;17/02/2016;1485
2503;16/02/2016;1473
2503;15/02/2016;1510
2503;12/02/2016;1500
2503;11/02/2016;1526
2503;10/02/2016;1591,5
2503;09/02/2016;1600
2503;08/02/2016;1629
2503;05/02/2016;1635,5
2503;04/02/2016;1660
2503;03/02/2016;1669
2503;02/02/2016;1674
2503;01/02/2016;1702,5
2503;29/01/2016;1629,5
2503;28/01/2016;1585
2503;27/01/2016;1590,5
2503;26/01/2016;1570,5
2503;25/01/2016;1586,5
2503;22/01/2016;1520
2503;21/01/2016;1514,5
2503;20/01/2016;1560
2503;19/01/2016;1572,5
2503;18/01/2016;1544
2503;15/01/2016;1596
2503;14/01/2016;1575
2503;13/01/2016;1592
2503;12/01/2016;1585
2503;11/01/2016;1610,5
2503;08/01/2016;1603,5
2503;07/01/2016;1625
2503;06/01/2016;1620
2503;05/01/2016;1600
2503;04/01/2016;1650
2503;01/01/2016;1647,5
2503;31/12/2015;1647,5
2503;30/12/2015;1649
2503;29/12/2015;1629
2503;28/12/2015;1617
2503;25/12/2015;1648
2503;24/12/2015;1680,5
2503;23/12/2015;1669
2503;22/12/2015;1694,5
2503;21/12/2015;1712,5
2503;18/12/2015;1761,5
2503;17/12/2015;1754
2503;16/12/2015;1712
2503;15/12/2015;1729
2503;14/12/2015;1711
2503;11/12/2015;1718,5
2503;10/12/2015;1720
2503;09/12/2015;1746
2503;08/12/2015;1757
2503;07/12/2015;1746
2503;04/12/2015;1741
2503;03/12/2015;1754,5
2503;02/12/2015;1749
2503;01/12/2015;1755
2503;30/11/2015;1770
2503;27/11/2015;1782
2503;26/11/2015;1765
2503;25/11/2015;1744
2503;24/11/2015;1740
2503;23/11/2015;1738,5
2503;20/11/2015;1729,5
2503;19/11/2015;1717,5
2503;18/11/2015;1695
2503;17/11/2015;1695
2503;16/11/2015;1672
2503;13/11/2015;1684,5
2503;12/11/2015;1700
2503;11/11/2015;1688
2503;10/11/2015;1663,5
2503;09/11/2015;1685
2503;06/11/2015;1665,5
2503;05/11/2015;1664,5
2503;04/11/2015;1676
2503;03/11/2015;1634,5
2503;02/11/2015;1681
2503;30/10/2015;1732,5
2503;29/10/2015;1739,5
2503;28/10/2015;1701,5
2503;27/10/2015;1710
2503;26/10/2015;1729
2503;23/10/2015;1700,5
2503;22/10/2015;1639
2503;21/10/2015;1644,5
2503;20/10/2015;1657
2503;19/10/2015;1651,5
2503;16/10/2015;1651
2503;15/10/2015;1647
2503;14/10/2015;1663,5
2503;13/10/2015;1649,5
2503;12/10/2015;1654
2503;09/10/2015;1600,5
2503;08/10/2015;1597,5
2503;07/10/2015;1573,5
2503;06/10/2015;1616
2503;05/10/2015;1583,5
2503;02/10/2015;1555,5
2503;01/10/2015;1576,5
2503;30/09/2015;1583,5
2503;29/09/2015;1588
2503;28/09/2015;1605
2503;25/09/2015;1577
2503;24/09/2015;1602
2503;23/09/2015;1614
2503;22/09/2015;1614
2503;21/09/2015;1614
2503;18/09/2015;1650
2503;17/09/2015;1649
2503;16/09/2015;1625,5
2503;15/09/2015;1612
2503;14/09/2015;1641
2503;11/09/2015;1620
2503;10/09/2015;1653,5
2503;09/09/2015;1675
2503;08/09/2015;1693,5
2503;07/09/2015;1695,5
2503;04/09/2015;1732
2503;03/09/2015;1750
2503;02/09/2015;1685
2503;01/09/2015;1770
2503;31/08/2015;1774
2503;28/08/2015;1760
2503;27/08/2015;1700
2503;26/08/2015;1645
2503;25/08/2015;1640
2503;24/08/2015;1752
2503;21/08/2015;1802
2503;20/08/2015;1820
2503;19/08/2015;1825
2503;18/08/2015;1840
2503;17/08/2015;1830
2503;14/08/2015;1835
2503;13/08/2015;1819
2503;12/08/2015;1832
2503;11/08/2015;1826,5
2503;10/08/2015;1811
2503;07/08/2015;1824
2503;06/08/2015;1800
2503;05/08/2015;1913
2503;04/08/2015;1911
2503;03/08/2015;1894,5
2503;31/07/2015;1880
2503;30/07/2015;1880
2503;29/07/2015;1858,5
2503;28/07/2015;1831,5
2503;27/07/2015;1800
2503;24/07/2015;1821,5
2503;23/07/2015;1792
2503;22/07/2015;1781,5
2503;21/07/2015;1780
2503;20/07/2015;1775,5
2503;17/07/2015;1770
2503;16/07/2015;1790
2503;15/07/2015;1745,5
2503;14/07/2015;1745
2503;13/07/2015;1708,5
2503;10/07/2015;1686,5
2503;09/07/2015;1650
2503;08/07/2015;1685,5
2503;07/07/2015;1696
2503;06/07/2015;1666
2503;03/07/2015;1681,5
2503;02/07/2015;1685
2503;01/07/2015;1696,5
2503;30/06/2015;1682
2503;29/06/2015;1692,5
2503;26/06/2015;1708
2503;25/06/2015;1755,5
2503;24/06/2015;1782
2503;23/06/2015;1750
2503;22/06/2015;1730,5
2503;19/06/2015;1745,5
2503;18/06/2015;1760
2503;17/06/2015;1796
2503;16/06/2015;1775,5
2503;15/06/2015;1755
2503;12/06/2015;1793,5
2503;11/06/2015;1757,5
2503;10/06/2015;1738
2503;09/06/2015;1764,5
2503;08/06/2015;1779,5
2503;05/06/2015;1751,5
2503;04/06/2015;1777,5
2503;03/06/2015;1760
2503;02/06/2015;1790
2503;01/06/2015;1789
2503;29/05/2015;1768,5
2503;28/05/2015;1754
2503;27/05/2015;1744
2503;26/05/2015;1736,5
2503;25/05/2015;1760
2503;22/05/2015;1769,5
2503;21/05/2015;1755,5
2503;20/05/2015;1746
2503;19/05/2015;1700
2503;18/05/2015;1698
2503;15/05/2015;1684,5
2503;14/05/2015;1676
2503;13/05/2015;1670
2503;12/05/2015;1677,5
2503;11/05/2015;1673,5
2503;08/05/2015;1635
2503;07/05/2015;1596
2503;06/05/2015;1595,5
2503;05/05/2015;1595,5
2503;04/05/2015;1595,5
2503;01/05/2015;1616
2503;30/04/2015;1601
2503;29/04/2015;1610
2503;28/04/2015;1615
2503;27/04/2015;1610,5
2503;24/04/2015;1621,5
2503;23/04/2015;1640
2503;22/04/2015;1646
2503;21/04/2015;1643
2503;20/04/2015;1638
2503;17/04/2015;1646
2503;16/04/2015;1671
2503;15/04/2015;1629,5
2503;14/04/2015;1617,5
2503;13/04/2015;1620
2503;10/04/2015;1642
2503;09/04/2015;1638,5
2503;08/04/2015;1624
2503;07/04/2015;1620
2503;06/04/2015;1595,5
2503;03/04/2015;1592
2503;02/04/2015;1591
2503;01/04/2015;1563
2503;31/03/2015;1627
2503;30/03/2015;1602,5
2503;27/03/2015;1643,5
2503;26/03/2015;1654
2503;25/03/2015;1650
2503;24/03/2015;1641
2503;23/03/2015;1651
2503;20/03/2015;1658
2503;19/03/2015;1672,5
2503;18/03/2015;1696,5
2503;17/03/2015;1709,5
2503;16/03/2015;1683,5
2503;13/03/2015;1694,5
2503;12/03/2015;1670
2503;11/03/2015;1677,5
2503;10/03/2015;1686,5
2503;09/03/2015;1672,5
2503;06/03/2015;1646
