Actif;Date;Open
7974;26/01/2017;23600
7974;25/01/2017;23500
7974;24/01/2017;23440
7974;23/01/2017;23520
7974;20/01/2017;23815
7974;19/01/2017;23285
7974;18/01/2017;23515
7974;17/01/2017;22945
7974;16/01/2017;23300
7974;13/01/2017;24900
7974;12/01/2017;25300
7974;11/01/2017;24650
7974;10/01/2017;24490
7974;09/01/2017;24050
7974;06/01/2017;24000
7974;05/01/2017;24555
7974;04/01/2017;24540
7974;03/01/2017;24540
7974;02/01/2017;24540
7974;30/12/2016;24370
7974;29/12/2016;24200
7974;28/12/2016;24415
7974;27/12/2016;24710
7974;26/12/2016;23860
7974;23/12/2016;23595
7974;22/12/2016;24110
7974;21/12/2016;25000
7974;20/12/2016;24515
7974;19/12/2016;25000
7974;16/12/2016;27300
7974;15/12/2016;28200
7974;14/12/2016;28275
7974;13/12/2016;29170
7974;12/12/2016;29900
7974;09/12/2016;28400
7974;08/12/2016;28230
7974;07/12/2016;28000
7974;06/12/2016;27395
7974;05/12/2016;26850
7974;02/12/2016;27770
7974;01/12/2016;28000
7974;30/11/2016;28245
7974;29/11/2016;28090
7974;28/11/2016;27810
7974;25/11/2016;27745
7974;24/11/2016;28250
7974;23/11/2016;27855
7974;22/11/2016;27465
7974;21/11/2016;27110
7974;18/11/2016;26600
7974;17/11/2016;25670
7974;16/11/2016;25460
7974;15/11/2016;24705
7974;14/11/2016;24100
7974;11/11/2016;24555
7974;10/11/2016;24060
7974;09/11/2016;24590
7974;08/11/2016;24695
7974;07/11/2016;24615
7974;04/11/2016;25000
7974;03/11/2016;25395
7974;02/11/2016;25300
7974;01/11/2016;25430
7974;31/10/2016;25600
7974;28/10/2016;25095
7974;27/10/2016;23520
7974;26/10/2016;24540
7974;25/10/2016;23900
7974;24/10/2016;24900
7974;21/10/2016;26000
7974;20/10/2016;25940
7974;19/10/2016;26110
7974;18/10/2016;25830
7974;17/10/2016;26470
7974;14/10/2016;25740
7974;13/10/2016;26015
7974;12/10/2016;26115
7974;11/10/2016;26500
7974;10/10/2016;26690
7974;07/10/2016;26375
7974;06/10/2016;26795
7974;05/10/2016;26250
7974;04/10/2016;26555
7974;03/10/2016;26800
7974;30/09/2016;26920
7974;29/09/2016;27480
7974;28/09/2016;26900
7974;27/09/2016;26415
7974;26/09/2016;26945
7974;23/09/2016;26850
7974;22/09/2016;26995
7974;21/09/2016;27295
7974;20/09/2016;26650
7974;19/09/2016;27065
7974;16/09/2016;26605
7974;15/09/2016;25910
7974;14/09/2016;25600
7974;13/09/2016;26910
7974;12/09/2016;27300
7974;09/09/2016;27550
7974;08/09/2016;29195
7974;07/09/2016;23300
7974;06/09/2016;23295
7974;05/09/2016;24050
7974;02/09/2016;23300
7974;01/09/2016;22800
7974;31/08/2016;22500
7974;30/08/2016;22265
7974;29/08/2016;22090
7974;26/08/2016;22170
7974;25/08/2016;22185
7974;24/08/2016;22585
7974;23/08/2016;23045
7974;22/08/2016;22400
7974;19/08/2016;23150
7974;18/08/2016;22500
7974;17/08/2016;21775
7974;16/08/2016;22065
7974;15/08/2016;21950
7974;12/08/2016;23000
7974;11/08/2016;22780
7974;10/08/2016;23015
7974;09/08/2016;21420
7974;08/08/2016;20715
7974;05/08/2016;21300
7974;04/08/2016;21300
7974;03/08/2016;20660
7974;02/08/2016;21400
7974;01/08/2016;20585
7974;29/07/2016;21000
7974;28/07/2016;22075
7974;27/07/2016;22800
7974;26/07/2016;22030
7974;25/07/2016;23720
7974;22/07/2016;27300
7974;21/07/2016;29000
7974;20/07/2016;29170
7974;19/07/2016;31350
7974;18/07/2016;27780
7974;15/07/2016;26300
7974;14/07/2016;22500
7974;13/07/2016;21840
7974;12/07/2016;21800
7974;11/07/2016;18595
7974;08/07/2016;16435
7974;07/07/2016;14390
7974;06/07/2016;14005
7974;05/07/2016;14695
7974;04/07/2016;14620
7974;01/07/2016;14705
7974;30/06/2016;14750
7974;29/06/2016;14000
7974;28/06/2016;13515
7974;27/06/2016;14000
7974;24/06/2016;15140
7974;23/06/2016;14915
7974;22/06/2016;15085
7974;21/06/2016;14740
7974;20/06/2016;14970
7974;17/06/2016;14750
7974;16/06/2016;15240
7974;15/06/2016;15100
7974;14/06/2016;15300
7974;13/06/2016;15805
7974;10/06/2016;16270
7974;09/06/2016;16400
7974;08/06/2016;16320
7974;07/06/2016;15930
7974;06/06/2016;15450
7974;03/06/2016;15580
7974;02/06/2016;16045
7974;01/06/2016;16200
7974;31/05/2016;16085
7974;30/05/2016;16025
7974;27/05/2016;15895
7974;26/05/2016;16200
7974;25/05/2016;15985
7974;24/05/2016;16055
7974;23/05/2016;16325
7974;20/05/2016;16160
7974;19/05/2016;16360
7974;18/05/2016;15915
7974;17/05/2016;15560
7974;16/05/2016;15540
7974;13/05/2016;15685
7974;12/05/2016;15005
7974;11/05/2016;15360
7974;10/05/2016;15250
7974;09/05/2016;15155
7974;06/05/2016;14940
7974;05/05/2016;14935
7974;04/05/2016;14935
7974;03/05/2016;14935
7974;02/05/2016;14675
7974;29/04/2016;15155
7974;28/04/2016;15550
7974;27/04/2016;16555
7974;26/04/2016;16710
7974;25/04/2016;17230
7974;22/04/2016;17200
7974;21/04/2016;17450
