Actif;Date;Open
PFE;25/01/2017;31,360001
PFE;24/01/2017;31,4
PFE;23/01/2017;31,68
PFE;20/01/2017;31,719999
PFE;19/01/2017;32,060001
PFE;18/01/2017;32,09
PFE;17/01/2017;32,349998
PFE;13/01/2017;32,669998
PFE;12/01/2017;32,529999
PFE;11/01/2017;33,369999
PFE;10/01/2017;33,59
PFE;09/01/2017;33,43
PFE;06/01/2017;33,66
PFE;05/01/2017;33,369999
PFE;04/01/2017;33,130001
PFE;03/01/2017;32,700001
PFE;30/12/2016;32,34
PFE;29/12/2016;32,389999
PFE;28/12/2016;32,5
PFE;27/12/2016;32,57
PFE;23/12/2016;32,41
PFE;22/12/2016;32,290001
PFE;21/12/2016;32,73
PFE;20/12/2016;32,779999
PFE;19/12/2016;32,759998
PFE;16/12/2016;32,880001
PFE;15/12/2016;32,630001
PFE;14/12/2016;32,919998
PFE;13/12/2016;32,810001
PFE;12/12/2016;31,700001
PFE;09/12/2016;31,110001
PFE;08/12/2016;30,84
PFE;07/12/2016;31,33
PFE;06/12/2016;31,65
PFE;05/12/2016;31,74
PFE;02/12/2016;31,540001
PFE;01/12/2016;32,25
PFE;30/11/2016;31,98
PFE;29/11/2016;31,85
PFE;28/11/2016;31,690001
PFE;25/11/2016;31,6
PFE;23/11/2016;31,18
PFE;22/11/2016;31,93
PFE;21/11/2016;31,51
PFE;18/11/2016;31,950001
PFE;17/11/2016;32,009998
PFE;16/11/2016;32,200001
PFE;15/11/2016;32,759998
PFE;14/11/2016;32,849998
PFE;11/11/2016;33,220001
PFE;10/11/2016;33,32
PFE;09/11/2016;33,009998
PFE;08/11/2016;30,129999
PFE;07/11/2016;30,23
PFE;04/11/2016;29,91
PFE;03/11/2016;30,700001
PFE;02/11/2016;30,99
PFE;01/11/2016;30,940001
PFE;31/10/2016;32,040001
PFE;28/10/2016;32,52
PFE;27/10/2016;32,580002
PFE;26/10/2016;32,279999
PFE;25/10/2016;32,02
PFE;24/10/2016;32,299999
PFE;21/10/2016;32,419998
PFE;20/10/2016;32,490002
PFE;19/10/2016;32,75
PFE;18/10/2016;32,740002
PFE;17/10/2016;32,580002
PFE;14/10/2016;32,73
PFE;13/10/2016;32,57
PFE;12/10/2016;33,139999
PFE;11/10/2016;33,560001
PFE;10/10/2016;33,650002
PFE;07/10/2016;33,700001
PFE;06/10/2016;33,779999
PFE;05/10/2016;33,73
PFE;04/10/2016;33,610001
PFE;03/10/2016;33,73
PFE;30/09/2016;33,439999
PFE;29/09/2016;33,939999
PFE;28/09/2016;33,849998
PFE;27/09/2016;33,779999
PFE;26/09/2016;33,919998
PFE;23/09/2016;34,16
PFE;22/09/2016;34,330002
PFE;21/09/2016;33,900002
PFE;20/09/2016;33,84
PFE;19/09/2016;33,990002
PFE;16/09/2016;34,189999
PFE;15/09/2016;33,889999
PFE;14/09/2016;34,119999
PFE;13/09/2016;34,439999
PFE;12/09/2016;34
PFE;09/09/2016;34,549999
PFE;08/09/2016;34,709999
PFE;07/09/2016;34,720001
PFE;06/09/2016;34,880001
PFE;02/09/2016;34,779999
PFE;01/09/2016;34,73
PFE;31/08/2016;34,860001
PFE;30/08/2016;35,110001
PFE;29/08/2016;34,939999
PFE;26/08/2016;34,799999
PFE;25/08/2016;34,759998
PFE;24/08/2016;35,23
PFE;23/08/2016;35
PFE;22/08/2016;34,799999
PFE;19/08/2016;35,060001
PFE;18/08/2016;35,139999
PFE;17/08/2016;34,75
PFE;16/08/2016;34,939999
PFE;15/08/2016;35,049999
PFE;12/08/2016;35,080002
PFE;11/08/2016;35,130001
PFE;10/08/2016;35,169998
PFE;09/08/2016;34,990002
PFE;08/08/2016;35,279999
PFE;05/08/2016;35,360001
PFE;04/08/2016;35,5
PFE;03/08/2016;35,91
PFE;02/08/2016;36,759998
PFE;01/08/2016;37,02
PFE;29/07/2016;36,68
PFE;28/07/2016;36,880001
PFE;27/07/2016;36,75
PFE;26/07/2016;36,830002
PFE;25/07/2016;36,799999
PFE;22/07/2016;36,799999
PFE;21/07/2016;36,669998
PFE;20/07/2016;36,900002
PFE;19/07/2016;36,669998
PFE;18/07/2016;36,689999
PFE;15/07/2016;36,970001
PFE;14/07/2016;36,490002
PFE;13/07/2016;36,279999
PFE;12/07/2016;36,150002
PFE;11/07/2016;36,07
PFE;08/07/2016;35,880001
PFE;07/07/2016;35,790001
PFE;06/07/2016;35,82
PFE;05/07/2016;35,540001
PFE;01/07/2016;35,150002
PFE;30/06/2016;35,139999
PFE;29/06/2016;34,619999
PFE;28/06/2016;34,150002
PFE;27/06/2016;33,799999
PFE;24/06/2016;33,799999
PFE;23/06/2016;34,700001
PFE;22/06/2016;34,740002
PFE;21/06/2016;34,509998
PFE;20/06/2016;34,48
PFE;17/06/2016;34,779999
PFE;16/06/2016;34,68
PFE;15/06/2016;35,009998
PFE;14/06/2016;34,599998
PFE;13/06/2016;35,02
PFE;10/06/2016;35,110001
PFE;09/06/2016;35,049999
PFE;08/06/2016;34,77
PFE;07/06/2016;34,84
PFE;06/06/2016;34,700001
PFE;03/06/2016;34,869999
PFE;02/06/2016;34,689999
PFE;01/06/2016;34,700001
PFE;31/05/2016;34,669998
PFE;27/05/2016;34,380001
PFE;26/05/2016;34,259998
PFE;25/05/2016;34,119999
PFE;24/05/2016;33,689999
PFE;23/05/2016;33,830002
PFE;20/05/2016;33,48
PFE;19/05/2016;33,16
PFE;18/05/2016;33,009998
PFE;17/05/2016;33,27
PFE;16/05/2016;32,93
PFE;13/05/2016;33,330002
PFE;12/05/2016;33,220001
PFE;11/05/2016;33,459999
PFE;10/05/2016;33,830002
PFE;09/05/2016;33,540001
PFE;06/05/2016;33,380001
PFE;05/05/2016;33,369999
PFE;04/05/2016;33,669998
PFE;03/05/2016;33,650002
PFE;02/05/2016;32,560001
PFE;29/04/2016;32,869999
PFE;28/04/2016;32,970001
PFE;27/04/2016;32,98
PFE;26/04/2016;33,200001
PFE;25/04/2016;33,130001
PFE;22/04/2016;33,25
PFE;21/04/2016;33,060001
PFE;20/04/2016;32,849998
PFE;19/04/2016;32,799999
PFE;18/04/2016;32,5
PFE;15/04/2016;32,650002
PFE;14/04/2016;32,48
PFE;13/04/2016;31,959999
PFE;12/04/2016;31,9
PFE;11/04/2016;32,52
PFE;08/04/2016;32,830002
PFE;07/04/2016;32,549999
PFE;06/04/2016;31,540001
PFE;05/04/2016;31,209999
PFE;04/04/2016;30,09
PFE;01/04/2016;29,440001
PFE;31/03/2016;30,059999
PFE;30/03/2016;30,15
PFE;29/03/2016;29,82
PFE;28/03/2016;30,09
PFE;24/03/2016;30,120001
PFE;23/03/2016;30,43
PFE;22/03/2016;30,030001
PFE;21/03/2016;29,450001
PFE;18/03/2016;29,5
PFE;17/03/2016;29,120001
PFE;16/03/2016;29,52
PFE;15/03/2016;29,879999
PFE;14/03/2016;30,27
PFE;11/03/2016;29,780001
PFE;10/03/2016;29,9
PFE;09/03/2016;29,719999
PFE;08/03/2016;29,75
PFE;07/03/2016;29,549999
PFE;04/03/2016;29,85
PFE;03/03/2016;29,879999
PFE;02/03/2016;30,110001
PFE;01/03/2016;29,790001
PFE;29/02/2016;30,09
PFE;26/02/2016;30,780001
PFE;25/02/2016;30,1
PFE;24/02/2016;29,809999
PFE;23/02/2016;30,059999
PFE;22/02/2016;29,75
PFE;19/02/2016;29,6
PFE;18/02/2016;29,82
PFE;17/02/2016;30
PFE;16/02/2016;29,549999
PFE;12/02/2016;29,25
PFE;11/02/2016;29,01
PFE;10/02/2016;29,33
PFE;09/02/2016;28,469999
PFE;08/02/2016;28,68
PFE;05/02/2016;29,02
PFE;04/02/2016;29,49
PFE;03/02/2016;29,91
PFE;02/02/2016;30,17
PFE;01/02/2016;30,34
PFE;29/01/2016;30,379999
PFE;28/01/2016;30,700001
PFE;27/01/2016;30,709999
PFE;26/01/2016;30,530001
PFE;25/01/2016;30,83
PFE;22/01/2016;31
PFE;21/01/2016;30,610001
PFE;20/01/2016;30,209999
PFE;19/01/2016;31,120001
PFE;15/01/2016;30,219999
PFE;14/01/2016;30,389999
PFE;13/01/2016;31,09
PFE;12/01/2016;31,379999
PFE;11/01/2016;31,15
PFE;08/01/2016;31,549999
PFE;07/01/2016;31,16
PFE;06/01/2016;31,73
PFE;05/01/2016;32,18
PFE;04/01/2016;31,85
PFE;31/12/2015;32,470001
PFE;30/12/2015;32,740002
PFE;29/12/2015;32,57
PFE;28/12/2015;32,599998
PFE;24/12/2015;32,5
PFE;23/12/2015;32,580002
PFE;22/12/2015;32,619999
PFE;21/12/2015;32,169998
PFE;18/12/2015;32,25
PFE;17/12/2015;32,560001
PFE;16/12/2015;32,43
PFE;15/12/2015;32,619999
PFE;14/12/2015;31,99
PFE;11/12/2015;32,110001
PFE;10/12/2015;32,43
PFE;09/12/2015;32,419998
PFE;08/12/2015;32,349998
PFE;07/12/2015;32,740002
PFE;04/12/2015;32,490002
PFE;03/12/2015;32,919998
PFE;02/12/2015;33,669998
PFE;01/12/2015;33
PFE;30/11/2015;32,91
PFE;27/11/2015;32,919998
PFE;25/11/2015;32,360001
PFE;24/11/2015;31,379999
PFE;23/11/2015;31,42
PFE;20/11/2015;32,580002
PFE;19/11/2015;32,790001
PFE;18/11/2015;33,080002
PFE;17/11/2015;33,200001
PFE;16/11/2015;33,290001
PFE;13/11/2015;33,34
PFE;12/11/2015;33,610001
PFE;11/11/2015;33,919998
PFE;10/11/2015;33,830002
PFE;09/11/2015;33,790001
PFE;06/11/2015;33,919998
PFE;05/11/2015;34,23
PFE;04/11/2015;34,919998
PFE;03/11/2015;34,990002
PFE;02/11/2015;34,169998
PFE;30/10/2015;34,77
PFE;29/10/2015;34,25
PFE;28/10/2015;35,23
PFE;27/10/2015;35,009998
PFE;26/10/2015;34
PFE;23/10/2015;33,459999
PFE;22/10/2015;33,580002
PFE;21/10/2015;34,169998
PFE;20/10/2015;34,650002
PFE;19/10/2015;34,41
PFE;16/10/2015;34,349998
PFE;15/10/2015;32,93
PFE;14/10/2015;33,040001
PFE;13/10/2015;33,18
PFE;12/10/2015;33,23
PFE;09/10/2015;33,060001
PFE;08/10/2015;32,900002
PFE;07/10/2015;33,099998
PFE;06/10/2015;33,400002
PFE;05/10/2015;33,450001
PFE;02/10/2015;31,969999
PFE;01/10/2015;31,299999
PFE;30/09/2015;31,450001
PFE;29/09/2015;30,709999
PFE;28/09/2015;31,700001
PFE;25/09/2015;32,959999
PFE;24/09/2015;32,360001
PFE;23/09/2015;32,220001
PFE;22/09/2015;31,98
PFE;21/09/2015;33,099998
PFE;18/09/2015;33,080002
PFE;17/09/2015;33,169998
PFE;16/09/2015;32,98
PFE;15/09/2015;32,950001
PFE;14/09/2015;32,939999
PFE;11/09/2015;32,57
PFE;10/09/2015;31,99
PFE;09/09/2015;33
PFE;08/09/2015;31,83
PFE;04/09/2015;31,450001
PFE;03/09/2015;32,27
PFE;02/09/2015;31,93
PFE;01/09/2015;31,459999
PFE;31/08/2015;32,709999
PFE;28/08/2015;33,299999
PFE;27/08/2015;32,779999
PFE;26/08/2015;32,080002
PFE;25/08/2015;33,200001
PFE;24/08/2015;31,969999
PFE;21/08/2015;34,240002
PFE;20/08/2015;34,919998
PFE;19/08/2015;35,369999
PFE;18/08/2015;35,389999
PFE;17/08/2015;35,110001
PFE;14/08/2015;35,369999
PFE;13/08/2015;35,380001
PFE;12/08/2015;34,869999
PFE;11/08/2015;35,209999
PFE;10/08/2015;35,209999
PFE;07/08/2015;35,169998
PFE;06/08/2015;35,959999
PFE;05/08/2015;36,07
PFE;04/08/2015;36,220001
PFE;03/08/2015;36,290001
PFE;31/07/2015;35,91
PFE;30/07/2015;35,68
PFE;29/07/2015;35,48
PFE;28/07/2015;34,939999
PFE;27/07/2015;34,169998
PFE;24/07/2015;34,630001
PFE;23/07/2015;34,990002
PFE;22/07/2015;35,060001
PFE;21/07/2015;35,240002
PFE;20/07/2015;35,130001
PFE;17/07/2015;35,009998
PFE;16/07/2015;35,139999
PFE;15/07/2015;35,02
PFE;14/07/2015;34,759998
PFE;13/07/2015;34,52
PFE;10/07/2015;34,240002
PFE;09/07/2015;33,849998
PFE;08/07/2015;33,549999
PFE;07/07/2015;33,34
PFE;06/07/2015;33,299999
PFE;02/07/2015;33,740002
PFE;01/07/2015;33,560001
PFE;30/06/2015;33,790001
PFE;29/06/2015;33,73
PFE;26/06/2015;34,169998
PFE;25/06/2015;34,209999
PFE;24/06/2015;34,34
PFE;23/06/2015;34,41
PFE;22/06/2015;34,34
