Actif;Date;Open
RWE.F;25/01/2017;12,83
RWE.F;24/01/2017;12,689
RWE.F;23/01/2017;12,747
RWE.F;20/01/2017;12,791
RWE.F;19/01/2017;12,831
RWE.F;18/01/2017;12,825
RWE.F;17/01/2017;12,763
RWE.F;16/01/2017;12,387
RWE.F;13/01/2017;12,49
RWE.F;12/01/2017;12,138
RWE.F;11/01/2017;11,829
RWE.F;10/01/2017;11,751
RWE.F;09/01/2017;11,845
RWE.F;06/01/2017;11,97
RWE.F;05/01/2017;11,92
RWE.F;04/01/2017;12,114
RWE.F;03/01/2017;12,2
RWE.F;02/01/2017;11,806
RWE.F;30/12/2016;11,622
RWE.F;29/12/2016;11,632
RWE.F;28/12/2016;11,677
RWE.F;27/12/2016;11,565
RWE.F;26/12/2016;11,622
RWE.F;23/12/2016;11,564
RWE.F;22/12/2016;11,546
RWE.F;21/12/2016;11,5
RWE.F;20/12/2016;11,387
RWE.F;19/12/2016;11,329
RWE.F;16/12/2016;11,247
RWE.F;15/12/2016;11,39
RWE.F;14/12/2016;11,415
RWE.F;13/12/2016;11,629
RWE.F;12/12/2016;11,339
RWE.F;09/12/2016;11,19
RWE.F;08/12/2016;11,707
RWE.F;07/12/2016;12,124
RWE.F;06/12/2016;11,833
RWE.F;05/12/2016;11,54
RWE.F;02/12/2016;11,606
RWE.F;01/12/2016;11,9
RWE.F;30/11/2016;12,075
RWE.F;29/11/2016;11,567
RWE.F;28/11/2016;11,699
RWE.F;25/11/2016;11,704
RWE.F;24/11/2016;11,91
RWE.F;23/11/2016;12,001
RWE.F;22/11/2016;11,96
RWE.F;21/11/2016;11,77
RWE.F;18/11/2016;12,12
RWE.F;17/11/2016;12,339
RWE.F;16/11/2016;12,328
RWE.F;15/11/2016;12,153
RWE.F;14/11/2016;12,281
RWE.F;11/11/2016;12,816
RWE.F;10/11/2016;13,547
RWE.F;09/11/2016;13,2
RWE.F;08/11/2016;14,057
RWE.F;07/11/2016;14,076
RWE.F;04/11/2016;14,052
RWE.F;03/11/2016;13,753
RWE.F;02/11/2016;14,154
RWE.F;01/11/2016;14,5
RWE.F;31/10/2016;14,133
RWE.F;28/10/2016;14,11
RWE.F;27/10/2016;14,222
RWE.F;26/10/2016;14,094
RWE.F;25/10/2016;14,01
RWE.F;24/10/2016;14,007
RWE.F;21/10/2016;14,176
RWE.F;20/10/2016;14,182
RWE.F;19/10/2016;14,324
RWE.F;18/10/2016;13,87
RWE.F;17/10/2016;13,89
RWE.F;14/10/2016;13,519
RWE.F;13/10/2016;13,55
RWE.F;12/10/2016;13,68
RWE.F;11/10/2016;13,363
RWE.F;10/10/2016;13,459
RWE.F;07/10/2016;14,517
RWE.F;06/10/2016;14,77
RWE.F;05/10/2016;15,15
RWE.F;04/10/2016;15,329
RWE.F;03/10/2016;15,38
RWE.F;30/09/2016;15,16
RWE.F;29/09/2016;15,01
RWE.F;28/09/2016;14,578
RWE.F;27/09/2016;14,823
RWE.F;26/09/2016;14,86
RWE.F;23/09/2016;15,001
RWE.F;22/09/2016;14,7
RWE.F;21/09/2016;14,6
RWE.F;20/09/2016;14,692
RWE.F;19/09/2016;14,392
RWE.F;16/09/2016;14,52
RWE.F;15/09/2016;14,738
RWE.F;14/09/2016;14,607
RWE.F;13/09/2016;14,8
RWE.F;12/09/2016;14,697
RWE.F;09/09/2016;15,125
RWE.F;08/09/2016;15,15
RWE.F;07/09/2016;15,05
RWE.F;06/09/2016;15,171
RWE.F;05/09/2016;15,06
RWE.F;02/09/2016;14,305
RWE.F;01/09/2016;14,618
RWE.F;31/08/2016;14,709
RWE.F;30/08/2016;14,735
RWE.F;29/08/2016;14,626
RWE.F;26/08/2016;14,571
RWE.F;25/08/2016;14,679
RWE.F;24/08/2016;14,575
RWE.F;23/08/2016;14,677
RWE.F;22/08/2016;14,429
RWE.F;19/08/2016;14,869
RWE.F;18/08/2016;14,906
RWE.F;17/08/2016;15,176
RWE.F;16/08/2016;15,312
RWE.F;15/08/2016;15,402
RWE.F;12/08/2016;15,621
RWE.F;11/08/2016;14,878
RWE.F;10/08/2016;15,589
RWE.F;09/08/2016;15,431
RWE.F;08/08/2016;15,037
RWE.F;05/08/2016;15,34
RWE.F;04/08/2016;15,2
RWE.F;03/08/2016;15,114
RWE.F;02/08/2016;15,179
RWE.F;01/08/2016;15,981
RWE.F;29/07/2016;15,845
RWE.F;28/07/2016;16,022
RWE.F;27/07/2016;15,901
RWE.F;26/07/2016;15,776
RWE.F;25/07/2016;15,85
RWE.F;22/07/2016;15,741
RWE.F;21/07/2016;15,619
RWE.F;20/07/2016;15,605
RWE.F;19/07/2016;15,78
RWE.F;18/07/2016;15,635
RWE.F;15/07/2016;15,666
RWE.F;14/07/2016;15,94
RWE.F;13/07/2016;15,233
RWE.F;12/07/2016;15,089
RWE.F;11/07/2016;15
RWE.F;08/07/2016;14,574
RWE.F;07/07/2016;14,095
RWE.F;06/07/2016;14,295
RWE.F;05/07/2016;14,754
RWE.F;04/07/2016;14,302
RWE.F;01/07/2016;14,239
RWE.F;30/06/2016;13,25
RWE.F;29/06/2016;12,929
RWE.F;28/06/2016;12,417
RWE.F;27/06/2016;12,59
RWE.F;24/06/2016;12,1
RWE.F;23/06/2016;13,511
RWE.F;22/06/2016;13,196
RWE.F;21/06/2016;13,141
RWE.F;20/06/2016;12,63
RWE.F;17/06/2016;12,1
RWE.F;16/06/2016;12,009
RWE.F;15/06/2016;11,9
RWE.F;14/06/2016;12,364
RWE.F;13/06/2016;12,801
RWE.F;10/06/2016;13,266
RWE.F;09/06/2016;13,192
RWE.F;08/06/2016;12,83
RWE.F;07/06/2016;12,628
RWE.F;06/06/2016;12,111
RWE.F;03/06/2016;11,85
RWE.F;02/06/2016;11,393
RWE.F;01/06/2016;11,741
RWE.F;31/05/2016;12,111
RWE.F;30/05/2016;12,083
RWE.F;27/05/2016;12,017
RWE.F;26/05/2016;11,711
