Actif;Date;Open
RTO.L;25/01/2017;219,7
RTO.L;24/01/2017;220,1
RTO.L;23/01/2017;218,8
RTO.L;20/01/2017;220,5
RTO.L;19/01/2017;220,6
RTO.L;18/01/2017;221,1
RTO.L;17/01/2017;226,4
RTO.L;16/01/2017;224,5
RTO.L;13/01/2017;223,1
RTO.L;12/01/2017;224,8
RTO.L;11/01/2017;224,2
RTO.L;10/01/2017;223,7
RTO.L;09/01/2017;221,6
RTO.L;06/01/2017;222,7
RTO.L;05/01/2017;220,8
RTO.L;04/01/2017;223,6
RTO.L;03/01/2017;223,5
RTO.L;02/01/2017;222,2
RTO.L;30/12/2016;220,8
RTO.L;29/12/2016;221,1
RTO.L;28/12/2016;219,7
RTO.L;27/12/2016;220,6
RTO.L;26/12/2016;220,6
RTO.L;23/12/2016;219,9
RTO.L;22/12/2016;219,5
RTO.L;21/12/2016;218,5
RTO.L;20/12/2016;220,6
RTO.L;19/12/2016;220
RTO.L;16/12/2016;221,5
RTO.L;15/12/2016;208,1
RTO.L;14/12/2016;205,5
RTO.L;13/12/2016;207,6
RTO.L;12/12/2016;210,5
RTO.L;09/12/2016;208
RTO.L;08/12/2016;208,4
RTO.L;07/12/2016;206,6
RTO.L;06/12/2016;207,2
RTO.L;05/12/2016;207,4
RTO.L;02/12/2016;208,4
RTO.L;01/12/2016;214,4
RTO.L;30/11/2016;214,2
RTO.L;29/11/2016;214,7
RTO.L;28/11/2016;214,2
RTO.L;25/11/2016;214,9
RTO.L;24/11/2016;212,8
RTO.L;23/11/2016;213,8
RTO.L;22/11/2016;216,9
RTO.L;21/11/2016;213,8
RTO.L;18/11/2016;213,2
RTO.L;17/11/2016;210
RTO.L;16/11/2016;208
RTO.L;15/11/2016;209,2
RTO.L;14/11/2016;212,9
RTO.L;11/11/2016;215,6
RTO.L;10/11/2016;223,7
RTO.L;09/11/2016;219,5
RTO.L;08/11/2016;222,8
RTO.L;07/11/2016;223,4
RTO.L;04/11/2016;222,9
RTO.L;03/11/2016;225,2
RTO.L;02/11/2016;227,4
RTO.L;01/11/2016;228,5
RTO.L;31/10/2016;227,9
RTO.L;28/10/2016;228,4
RTO.L;27/10/2016;231,6
RTO.L;26/10/2016;233,4
RTO.L;25/10/2016;236,5
RTO.L;24/10/2016;235,1
RTO.L;21/10/2016;234,5
RTO.L;20/10/2016;236
RTO.L;19/10/2016;228,1
RTO.L;18/10/2016;225,1
RTO.L;17/10/2016;224,8
RTO.L;14/10/2016;227,3
RTO.L;13/10/2016;223,6
RTO.L;12/10/2016;225,5
RTO.L;11/10/2016;225,8
RTO.L;10/10/2016;226,4
RTO.L;07/10/2016;228,1
RTO.L;06/10/2016;230,7
RTO.L;05/10/2016;229,3
RTO.L;04/10/2016;227
RTO.L;03/10/2016;222,7
RTO.L;30/09/2016;221,4
RTO.L;29/09/2016;222,6
RTO.L;28/09/2016;221,5
RTO.L;27/09/2016;223,3
RTO.L;26/09/2016;221,4
RTO.L;23/09/2016;222,4
RTO.L;22/09/2016;222,5
RTO.L;21/09/2016;224,1
RTO.L;20/09/2016;222,6
RTO.L;19/09/2016;223,9
RTO.L;16/09/2016;220,2
RTO.L;15/09/2016;220,4
RTO.L;14/09/2016;219,8
RTO.L;13/09/2016;219,5
RTO.L;12/09/2016;217
RTO.L;09/09/2016;219,2
RTO.L;08/09/2016;218,8
RTO.L;07/09/2016;217
RTO.L;06/09/2016;218
RTO.L;05/09/2016;219,6
RTO.L;02/09/2016;215
RTO.L;01/09/2016;215,7
RTO.L;31/08/2016;215,9
RTO.L;30/08/2016;215,8
RTO.L;26/08/2016;214,4
RTO.L;25/08/2016;215,3
RTO.L;24/08/2016;216
RTO.L;23/08/2016;218,6
RTO.L;22/08/2016;218,1
RTO.L;19/08/2016;218,7
RTO.L;18/08/2016;217,2
RTO.L;17/08/2016;217,4
RTO.L;16/08/2016;217,9
RTO.L;15/08/2016;222,1
RTO.L;12/08/2016;220,9
RTO.L;11/08/2016;220
RTO.L;10/08/2016;216
RTO.L;09/08/2016;218
RTO.L;08/08/2016;218,5
RTO.L;05/08/2016;217,8
RTO.L;04/08/2016;215,4
RTO.L;03/08/2016;217,2
RTO.L;02/08/2016;218
RTO.L;01/08/2016;214,6
RTO.L;29/07/2016;215
RTO.L;28/07/2016;214
RTO.L;27/07/2016;211,7
RTO.L;26/07/2016;211,7
RTO.L;25/07/2016;207,3
RTO.L;22/07/2016;208,7
RTO.L;21/07/2016;208,8
RTO.L;20/07/2016;209
RTO.L;19/07/2016;207,1
RTO.L;18/07/2016;207,8
RTO.L;15/07/2016;203,4
RTO.L;14/07/2016;205,4
RTO.L;13/07/2016;204,6
RTO.L;12/07/2016;210,8
RTO.L;11/07/2016;203
RTO.L;08/07/2016;203,8
RTO.L;07/07/2016;197,1
RTO.L;06/07/2016;195,6
RTO.L;05/07/2016;197,3
RTO.L;04/07/2016;195,7
RTO.L;01/07/2016;194,6
RTO.L;30/06/2016;187,9
RTO.L;29/06/2016;184,2
RTO.L;28/06/2016;183
RTO.L;27/06/2016;182,7
RTO.L;24/06/2016;164
RTO.L;23/06/2016;183
RTO.L;22/06/2016;186,2
RTO.L;21/06/2016;187,9
RTO.L;20/06/2016;186
RTO.L;17/06/2016;183,6
RTO.L;16/06/2016;180,9
RTO.L;15/06/2016;179,9
RTO.L;14/06/2016;184
RTO.L;13/06/2016;182,9
RTO.L;10/06/2016;184,6
RTO.L;09/06/2016;182,9
RTO.L;08/06/2016;185
RTO.L;07/06/2016;184
RTO.L;06/06/2016;179,9
RTO.L;03/06/2016;179,6
RTO.L;02/06/2016;177,5
RTO.L;01/06/2016;179,2
RTO.L;31/05/2016;179,8
RTO.L;30/05/2016;179,3
RTO.L;27/05/2016;179,4
RTO.L;26/05/2016;178,3
RTO.L;25/05/2016;178,6
RTO.L;24/05/2016;176,1
RTO.L;23/05/2016;176,2
RTO.L;20/05/2016;176,4
RTO.L;19/05/2016;175,1
RTO.L;18/05/2016;175,7
RTO.L;17/05/2016;176,5
RTO.L;16/05/2016;175
RTO.L;13/05/2016;176,9
RTO.L;12/05/2016;179,4
RTO.L;11/05/2016;177,9
RTO.L;10/05/2016;178,8
RTO.L;09/05/2016;177,5
RTO.L;06/05/2016;179,8
RTO.L;05/05/2016;178
RTO.L;04/05/2016;178,7
RTO.L;03/05/2016;175
RTO.L;02/05/2016;176,1
RTO.L;29/04/2016;175
RTO.L;28/04/2016;177,8
RTO.L;27/04/2016;177,3
RTO.L;26/04/2016;180,1
RTO.L;25/04/2016;178,9
RTO.L;22/04/2016;180,2
RTO.L;21/04/2016;182,1
RTO.L;20/04/2016;178
RTO.L;19/04/2016;175,4
RTO.L;18/04/2016;174,9
RTO.L;15/04/2016;176,3
RTO.L;14/04/2016;177
RTO.L;13/04/2016;178,6
RTO.L;12/04/2016;179
RTO.L;11/04/2016;177,7
RTO.L;08/04/2016;175,2
RTO.L;07/04/2016;178,6
RTO.L;06/04/2016;179,4
RTO.L;05/04/2016;178,8
RTO.L;04/04/2016;176,1
