Actif;Date;Open
STE-A.ST;25/01/2017;105,6
STE-A.ST;24/01/2017;106
STE-A.ST;23/01/2017;104,8
STE-A.ST;20/01/2017;104,3
STE-A.ST;19/01/2017;101,6
STE-A.ST;18/01/2017;101,5
STE-A.ST;17/01/2017;99,95
STE-A.ST;16/01/2017;100
STE-A.ST;13/01/2017;99,1
STE-A.ST;12/01/2017;99,95
STE-A.ST;11/01/2017;99,7
STE-A.ST;10/01/2017;100,5
STE-A.ST;09/01/2017;101,3
STE-A.ST;06/01/2017;101,3
STE-A.ST;05/01/2017;100,6
STE-A.ST;04/01/2017;102,5
STE-A.ST;03/01/2017;100,7
STE-A.ST;02/01/2017;101,3
STE-A.ST;30/12/2016;101,3
STE-A.ST;29/12/2016;101,2
STE-A.ST;28/12/2016;100
STE-A.ST;27/12/2016;98,9
STE-A.ST;26/12/2016;98,85
STE-A.ST;23/12/2016;98,85
STE-A.ST;22/12/2016;98,85
STE-A.ST;21/12/2016;99,5
STE-A.ST;20/12/2016;101
STE-A.ST;19/12/2016;99,75
STE-A.ST;16/12/2016;100
STE-A.ST;15/12/2016;99,35
STE-A.ST;14/12/2016;98,9
STE-A.ST;13/12/2016;97,6
STE-A.ST;12/12/2016;97,4
STE-A.ST;09/12/2016;97,55
STE-A.ST;08/12/2016;96,8
STE-A.ST;07/12/2016;95
STE-A.ST;06/12/2016;95,05
STE-A.ST;05/12/2016;95
STE-A.ST;02/12/2016;95,05
STE-A.ST;01/12/2016;95,75
STE-A.ST;30/11/2016;97
STE-A.ST;29/11/2016;95,75
STE-A.ST;28/11/2016;97
STE-A.ST;25/11/2016;94,5
STE-A.ST;24/11/2016;94,4
STE-A.ST;23/11/2016;94,4
STE-A.ST;22/11/2016;93,85
STE-A.ST;21/11/2016;93,85
STE-A.ST;18/11/2016;93,5
STE-A.ST;17/11/2016;93,85
STE-A.ST;16/11/2016;93,3
STE-A.ST;15/11/2016;93
STE-A.ST;14/11/2016;93,4
STE-A.ST;11/11/2016;94,9
STE-A.ST;10/11/2016;94
STE-A.ST;09/11/2016;82
STE-A.ST;08/11/2016;91
STE-A.ST;07/11/2016;90
STE-A.ST;04/11/2016;91,5
STE-A.ST;03/11/2016;91
STE-A.ST;02/11/2016;88,1
STE-A.ST;01/11/2016;93,95
STE-A.ST;31/10/2016;93,45
STE-A.ST;28/10/2016;93,2
STE-A.ST;27/10/2016;90,55
STE-A.ST;26/10/2016;91,4
STE-A.ST;25/10/2016;91,5
STE-A.ST;24/10/2016;88,3
STE-A.ST;21/10/2016;88
STE-A.ST;20/10/2016;89
STE-A.ST;19/10/2016;90,15
STE-A.ST;18/10/2016;90,1
STE-A.ST;17/10/2016;90,4
STE-A.ST;14/10/2016;92
STE-A.ST;13/10/2016;92,9
STE-A.ST;12/10/2016;93,9
STE-A.ST;11/10/2016;86
STE-A.ST;10/10/2016;81,55
STE-A.ST;07/10/2016;84,3
STE-A.ST;06/10/2016;83,6
STE-A.ST;05/10/2016;80,8
STE-A.ST;04/10/2016;81,35
STE-A.ST;03/10/2016;83
STE-A.ST;30/09/2016;83,55
STE-A.ST;29/09/2016;84,4
STE-A.ST;28/09/2016;83
STE-A.ST;27/09/2016;83
STE-A.ST;26/09/2016;82,25
STE-A.ST;23/09/2016;84
STE-A.ST;22/09/2016;82
STE-A.ST;21/09/2016;81,35
STE-A.ST;20/09/2016;81,5
STE-A.ST;19/09/2016;80,05
STE-A.ST;16/09/2016;80,2
STE-A.ST;15/09/2016;83
STE-A.ST;14/09/2016;82,7
STE-A.ST;13/09/2016;81,9
STE-A.ST;12/09/2016;82,75
STE-A.ST;09/09/2016;82,4
STE-A.ST;08/09/2016;82
STE-A.ST;07/09/2016;81
STE-A.ST;06/09/2016;82,5
STE-A.ST;05/09/2016;82,6
STE-A.ST;02/09/2016;82
STE-A.ST;01/09/2016;81,05
STE-A.ST;31/08/2016;82
STE-A.ST;30/08/2016;81,9
STE-A.ST;29/08/2016;82,95
STE-A.ST;26/08/2016;82,95
STE-A.ST;25/08/2016;82,15
STE-A.ST;24/08/2016;82,9
STE-A.ST;23/08/2016;82
STE-A.ST;22/08/2016;82
STE-A.ST;19/08/2016;82
STE-A.ST;18/08/2016;82
STE-A.ST;17/08/2016;80,65
STE-A.ST;16/08/2016;82,9
STE-A.ST;15/08/2016;82
STE-A.ST;12/08/2016;82,9
STE-A.ST;11/08/2016;82,75
STE-A.ST;10/08/2016;82,5
STE-A.ST;09/08/2016;82
STE-A.ST;08/08/2016;82,65
STE-A.ST;05/08/2016;82
STE-A.ST;04/08/2016;82
STE-A.ST;03/08/2016;82,6
STE-A.ST;02/08/2016;83,5
STE-A.ST;01/08/2016;83
STE-A.ST;29/07/2016;82
STE-A.ST;28/07/2016;81,55
STE-A.ST;27/07/2016;80,5
STE-A.ST;26/07/2016;79
STE-A.ST;25/07/2016;79,9
STE-A.ST;22/07/2016;78,25
STE-A.ST;21/07/2016;77,7
STE-A.ST;20/07/2016;78,95
STE-A.ST;19/07/2016;77,25
STE-A.ST;18/07/2016;77,5
STE-A.ST;15/07/2016;78,85
STE-A.ST;14/07/2016;78
STE-A.ST;13/07/2016;78,5
STE-A.ST;12/07/2016;78,55
STE-A.ST;11/07/2016;79
STE-A.ST;08/07/2016;76,3
STE-A.ST;07/07/2016;74
STE-A.ST;06/07/2016;73,35
STE-A.ST;05/07/2016;75
STE-A.ST;04/07/2016;75,3
STE-A.ST;01/07/2016;75
STE-A.ST;30/06/2016;73,5
STE-A.ST;29/06/2016;73,45
STE-A.ST;28/06/2016;72,15
STE-A.ST;27/06/2016;72
STE-A.ST;24/06/2016;76,9
STE-A.ST;23/06/2016;76
STE-A.ST;22/06/2016;77
