Actif;Date;Close
ENUR.F;01/03/2017;10,28
ENUR.F;28/02/2017;10,15
ENUR.F;27/02/2017;9,991
ENUR.F;24/02/2017;10,09
ENUR.F;23/02/2017;10,22
ENUR.F;22/02/2017;10,249
ENUR.F;21/02/2017;10,33
ENUR.F;20/02/2017;10,22
ENUR.F;17/02/2017;10,34
ENUR.F;16/02/2017;10,269
ENUR.F;15/02/2017;9,991
ENUR.F;14/02/2017;9,948
ENUR.F;13/02/2017;9,837
ENUR.F;10/02/2017;9,738
ENUR.F;09/02/2017;9,633
ENUR.F;08/02/2017;9,673
ENUR.F;07/02/2017;9,79
ENUR.F;06/02/2017;9,98
ENUR.F;03/02/2017;9,909
ENUR.F;02/02/2017;10,635
ENUR.F;01/02/2017;10,565
ENUR.F;31/01/2017;10,65
ENUR.F;30/01/2017;11,096
ENUR.F;27/01/2017;11,046
ENUR.F;26/01/2017;11,005
ENUR.F;25/01/2017;10,827
ENUR.F;24/01/2017;10,667
ENUR.F;23/01/2017;10,677
ENUR.F;20/01/2017;10,675
ENUR.F;19/01/2017;10,475
ENUR.F;18/01/2017;10,239
ENUR.F;17/01/2017;10,21
ENUR.F;16/01/2017;10,308
ENUR.F;13/01/2017;10,12
ENUR.F;12/01/2017;10,158
ENUR.F;11/01/2017;10,079
ENUR.F;10/01/2017;9,989
ENUR.F;09/01/2017;9,994
ENUR.F;06/01/2017;10,254
ENUR.F;05/01/2017;10,135
ENUR.F;04/01/2017;10,223
ENUR.F;03/01/2017;10,233
ENUR.F;02/01/2017;10,204
ENUR.F;30/12/2016;10,194
ENUR.F;29/12/2016;10,144
ENUR.F;28/12/2016;10,105
ENUR.F;27/12/2016;10,055
ENUR.F;26/12/2016;10,1
ENUR.F;23/12/2016;10,1
ENUR.F;22/12/2016;9,876
ENUR.F;21/12/2016;9,931
ENUR.F;20/12/2016;9,98
ENUR.F;19/12/2016;9,808
ENUR.F;16/12/2016;9,744
ENUR.F;15/12/2016;9,644
ENUR.F;14/12/2016;9,664
ENUR.F;13/12/2016;9,655
ENUR.F;12/12/2016;9,523
ENUR.F;09/12/2016;9,55
ENUR.F;08/12/2016;9,4
ENUR.F;07/12/2016;9,05
ENUR.F;06/12/2016;9,118
ENUR.F;05/12/2016;9,075
ENUR.F;02/12/2016;9,121
ENUR.F;01/12/2016;9,08
ENUR.F;30/11/2016;9,025
ENUR.F;29/11/2016;8,995
ENUR.F;28/11/2016;9,113
ENUR.F;25/11/2016;9,054
ENUR.F;24/11/2016;9,049
ENUR.F;23/11/2016;9,068
ENUR.F;22/11/2016;8,889
ENUR.F;21/11/2016;8,854
ENUR.F;18/11/2016;8,74
ENUR.F;17/11/2016;8,645
ENUR.F;16/11/2016;8,747
ENUR.F;15/11/2016;8,7
ENUR.F;14/11/2016;8,78
ENUR.F;11/11/2016;8,908
ENUR.F;10/11/2016;8,95
ENUR.F;09/11/2016;8,29
ENUR.F;08/11/2016;8,465
ENUR.F;07/11/2016;8,309
ENUR.F;04/11/2016;8,464
ENUR.F;03/11/2016;8,406
ENUR.F;02/11/2016;8,439
ENUR.F;01/11/2016;8,586
ENUR.F;31/10/2016;8,68
ENUR.F;28/10/2016;8,714
ENUR.F;27/10/2016;8,773
ENUR.F;26/10/2016;8,577
ENUR.F;25/10/2016;8,027
ENUR.F;24/10/2016;8,046
ENUR.F;21/10/2016;8,119
ENUR.F;20/10/2016;8,17
ENUR.F;19/10/2016;8,165
ENUR.F;18/10/2016;8,036
ENUR.F;17/10/2016;8,125
ENUR.F;14/10/2016;8,016
ENUR.F;13/10/2016;8,051
ENUR.F;12/10/2016;8,215
ENUR.F;11/10/2016;8,16
ENUR.F;10/10/2016;8,184
ENUR.F;07/10/2016;8,046
ENUR.F;06/10/2016;7,956
ENUR.F;05/10/2016;7,941
ENUR.F;04/10/2016;8,01
ENUR.F;03/10/2016;7,876
ENUR.F;30/09/2016;7,876
ENUR.F;29/09/2016;8,046
ENUR.F;28/09/2016;7,931
ENUR.F;27/09/2016;7,94
ENUR.F;26/09/2016;8,095
ENUR.F;23/09/2016;8,17
ENUR.F;22/09/2016;7,971
ENUR.F;21/09/2016;7,914
ENUR.F;20/09/2016;7,906
ENUR.F;19/09/2016;7,754
ENUR.F;16/09/2016;7,827
ENUR.F;15/09/2016;7,787
ENUR.F;14/09/2016;7,884
ENUR.F;13/09/2016;7,886
ENUR.F;12/09/2016;7,853
ENUR.F;09/09/2016;8,159
ENUR.F;08/09/2016;8,187
ENUR.F;07/09/2016;8,059
ENUR.F;06/09/2016;8,112
ENUR.F;05/09/2016;8,074
ENUR.F;02/09/2016;7,915
ENUR.F;01/09/2016;7,921
ENUR.F;31/08/2016;8,054
ENUR.F;30/08/2016;8,067
ENUR.F;29/08/2016;8,165
ENUR.F;26/08/2016;8,186
ENUR.F;25/08/2016;8,113
ENUR.F;24/08/2016;8,141
ENUR.F;23/08/2016;8,037
ENUR.F;22/08/2016;7,91
ENUR.F;19/08/2016;8,01
ENUR.F;18/08/2016;8,016
ENUR.F;17/08/2016;7,95
ENUR.F;16/08/2016;8,209
ENUR.F;15/08/2016;8,195
ENUR.F;12/08/2016;8,25
ENUR.F;11/08/2016;8,16
ENUR.F;10/08/2016;8,174
ENUR.F;09/08/2016;8,07
ENUR.F;08/08/2016;8,026
ENUR.F;05/08/2016;7,994
ENUR.F;04/08/2016;7,851
ENUR.F;03/08/2016;7,829
ENUR.F;02/08/2016;7,929
ENUR.F;01/08/2016;8,064
ENUR.F;29/07/2016;8,08
ENUR.F;28/07/2016;8,069
ENUR.F;27/07/2016;8,109
ENUR.F;26/07/2016;8,184
ENUR.F;25/07/2016;7,949
ENUR.F;22/07/2016;8,064
ENUR.F;21/07/2016;7,941
ENUR.F;20/07/2016;7,787
ENUR.F;19/07/2016;7,832
ENUR.F;18/07/2016;7,813
ENUR.F;15/07/2016;7,697
ENUR.F;14/07/2016;7,801
ENUR.F;13/07/2016;7,792
ENUR.F;12/07/2016;7,618
ENUR.F;11/07/2016;7,441
ENUR.F;08/07/2016;7,15
ENUR.F;07/07/2016;7,217
ENUR.F;06/07/2016;7,075
ENUR.F;05/07/2016;7,331
ENUR.F;04/07/2016;7,4
ENUR.F;01/07/2016;7,121
ENUR.F;30/06/2016;7,061
ENUR.F;29/06/2016;6,984
ENUR.F;28/06/2016;7,046
ENUR.F;27/06/2016;7,064
ENUR.F;24/06/2016;7,361
ENUR.F;23/06/2016;7,556
ENUR.F;22/06/2016;7,578
ENUR.F;21/06/2016;7,55
ENUR.F;20/06/2016;7,191
ENUR.F;17/06/2016;6,917
ENUR.F;16/06/2016;6,981
ENUR.F;15/06/2016;7,076
ENUR.F;14/06/2016;7,217
ENUR.F;13/06/2016;7,325
ENUR.F;10/06/2016;7,678
ENUR.F;09/06/2016;7,733
ENUR.F;08/06/2016;7,75
ENUR.F;07/06/2016;7,641
ENUR.F;06/06/2016;7,61
ENUR.F;03/06/2016;7,67
ENUR.F;02/06/2016;7,578
ENUR.F;01/06/2016;7,642
ENUR.F;31/05/2016;7,675
ENUR.F;30/05/2016;7,615
ENUR.F;27/05/2016;7,588
ENUR.F;26/05/2016;7,397
ENUR.F;25/05/2016;7,46
ENUR.F;24/05/2016;7,223
ENUR.F;23/05/2016;7,225
ENUR.F;20/05/2016;7,174
ENUR.F;19/05/2016;7,109
ENUR.F;18/05/2016;7,108
ENUR.F;17/05/2016;7,139
ENUR.F;16/05/2016;7,11
ENUR.F;13/05/2016;7,11
ENUR.F;12/05/2016;7,488
ENUR.F;11/05/2016;7,213
ENUR.F;10/05/2016;7,124
ENUR.F;09/05/2016;7,168
ENUR.F;06/05/2016;7,247
ENUR.F;05/05/2016;7,295
ENUR.F;04/05/2016;7,237
ENUR.F;03/05/2016;7,275
ENUR.F;02/05/2016;7,6
ENUR.F;29/04/2016;7,799
ENUR.F;28/04/2016;8,137
ENUR.F;27/04/2016;7,765
ENUR.F;26/04/2016;7,406
ENUR.F;25/04/2016;7,536
ENUR.F;22/04/2016;7,48
ENUR.F;21/04/2016;7,71
ENUR.F;20/04/2016;7,61
ENUR.F;19/04/2016;7,819
ENUR.F;18/04/2016;7,789
ENUR.F;15/04/2016;7,819
ENUR.F;14/04/2016;7,819
ENUR.F;13/04/2016;7,463
ENUR.F;12/04/2016;7,4
ENUR.F;11/04/2016;7,619
ENUR.F;08/04/2016;7,289
ENUR.F;07/04/2016;7,481
ENUR.F;06/04/2016;7,58
ENUR.F;05/04/2016;7,595
ENUR.F;04/04/2016;7,716
ENUR.F;01/04/2016;7,804
ENUR.F;31/03/2016;8,018
ENUR.F;30/03/2016;7,764
ENUR.F;29/03/2016;7,814
ENUR.F;28/03/2016;7,933
ENUR.F;25/03/2016;7,933
ENUR.F;24/03/2016;7,933
ENUR.F;23/03/2016;7,834
ENUR.F;22/03/2016;7,796
ENUR.F;21/03/2016;7,994
ENUR.F;18/03/2016;7,956
ENUR.F;17/03/2016;7,918
ENUR.F;16/03/2016;7,754
ENUR.F;15/03/2016;7,859
ENUR.F;14/03/2016;7,8
ENUR.F;11/03/2016;7,519
ENUR.F;10/03/2016;7,61
ENUR.F;09/03/2016;7,593
ENUR.F;08/03/2016;7,799
ENUR.F;07/03/2016;7,676
ENUR.F;04/03/2016;7,869
ENUR.F;03/03/2016;7,784
ENUR.F;02/03/2016;7,887
ENUR.F;01/03/2016;7,573
ENUR.F;29/02/2016;7,55
ENUR.F;26/02/2016;7,609
ENUR.F;25/02/2016;7,346
ENUR.F;24/02/2016;7,59
ENUR.F;23/02/2016;7,747
ENUR.F;22/02/2016;7,605
ENUR.F;19/02/2016;7,563
ENUR.F;18/02/2016;7,466
ENUR.F;17/02/2016;7,122
ENUR.F;16/02/2016;7,133
ENUR.F;15/02/2016;7,057
ENUR.F;12/02/2016;6,8
ENUR.F;11/02/2016;6,894
ENUR.F;10/02/2016;6,737
ENUR.F;09/02/2016;6,762
ENUR.F;08/02/2016;7,028
ENUR.F;05/02/2016;6,966
ENUR.F;04/02/2016;7,145
ENUR.F;03/02/2016;7,514
ENUR.F;02/02/2016;7,411
ENUR.F;01/02/2016;7,429
ENUR.F;29/01/2016;7,347
ENUR.F;28/01/2016;7,461
ENUR.F;27/01/2016;7,456
ENUR.F;26/01/2016;7,332
ENUR.F;25/01/2016;7,47
ENUR.F;22/01/2016;7,218
ENUR.F;21/01/2016;7,079
ENUR.F;20/01/2016;7,201
ENUR.F;19/01/2016;7,33
ENUR.F;18/01/2016;7,245
ENUR.F;15/01/2016;7,3
ENUR.F;14/01/2016;7,5
ENUR.F;13/01/2016;8,048
ENUR.F;12/01/2016;7,874
ENUR.F;11/01/2016;7,777
ENUR.F;08/01/2016;7,757
ENUR.F;07/01/2016;7,986
ENUR.F;06/01/2016;8,056
ENUR.F;05/01/2016;8,028
ENUR.F;04/01/2016;8,129
ENUR.F;01/01/2016;8,37
ENUR.F;31/12/2015;8,37
ENUR.F;30/12/2015;8,37
ENUR.F;29/12/2015;8,292
ENUR.F;28/12/2015;8,431
ENUR.F;25/12/2015;8,427
ENUR.F;24/12/2015;8,427
ENUR.F;23/12/2015;8,427
ENUR.F;22/12/2015;8,5
ENUR.F;21/12/2015;8,429
ENUR.F;18/12/2015;8,541
ENUR.F;17/12/2015;8,625
ENUR.F;16/12/2015;8,426
ENUR.F;15/12/2015;8,073
ENUR.F;14/12/2015;8,257
ENUR.F;11/12/2015;8,702
ENUR.F;10/12/2015;8,582
ENUR.F;09/12/2015;8,281
ENUR.F;08/12/2015;8,775
ENUR.F;07/12/2015;8,737
ENUR.F;04/12/2015;8,775
ENUR.F;03/12/2015;8,96
ENUR.F;02/12/2015;9,247
ENUR.F;01/12/2015;9,312
ENUR.F;30/11/2015;9,202
ENUR.F;27/11/2015;9,248
ENUR.F;26/11/2015;9,162
ENUR.F;25/11/2015;9,073
ENUR.F;24/11/2015;9,15
ENUR.F;23/11/2015;9,142
ENUR.F;20/11/2015;9,182
ENUR.F;19/11/2015;9,55
ENUR.F;18/11/2015;9,5
ENUR.F;17/11/2015;9,363
ENUR.F;16/11/2015;9,068
ENUR.F;13/11/2015;9,18
ENUR.F;12/11/2015;9,386
ENUR.F;11/11/2015;9,335
ENUR.F;10/11/2015;9,033
ENUR.F;09/11/2015;9,013
ENUR.F;06/11/2015;8,749
ENUR.F;05/11/2015;8,851
ENUR.F;04/11/2015;8,772
ENUR.F;03/11/2015;8,615
ENUR.F;02/11/2015;8,416
ENUR.F;30/10/2015;8,406
ENUR.F;29/10/2015;8,351
ENUR.F;28/10/2015;8,453
ENUR.F;27/10/2015;8,707
ENUR.F;26/10/2015;8,67
ENUR.F;23/10/2015;8,6
ENUR.F;22/10/2015;8,486
ENUR.F;21/10/2015;8,52
ENUR.F;20/10/2015;8,625
ENUR.F;19/10/2015;8,294
ENUR.F;16/10/2015;8,374
ENUR.F;15/10/2015;8,247
ENUR.F;14/10/2015;8,287
ENUR.F;13/10/2015;8,222
ENUR.F;12/10/2015;8,383
ENUR.F;09/10/2015;7,792
ENUR.F;08/10/2015;7,5
ENUR.F;07/10/2015;7,471
ENUR.F;06/10/2015;7,257
ENUR.F;05/10/2015;7,236
ENUR.F;02/10/2015;6,901
ENUR.F;01/10/2015;6,999
ENUR.F;30/09/2015;6,78
ENUR.F;29/09/2015;6,698
ENUR.F;28/09/2015;6,951
ENUR.F;25/09/2015;6,783
ENUR.F;24/09/2015;6,881
ENUR.F;23/09/2015;6,829
ENUR.F;22/09/2015;7,107
ENUR.F;21/09/2015;7,097
ENUR.F;18/09/2015;7,057
ENUR.F;17/09/2015;7,341
ENUR.F;16/09/2015;7,461
ENUR.F;15/09/2015;7,426
ENUR.F;14/09/2015;7,65
ENUR.F;11/09/2015;7,943
ENUR.F;10/09/2015;8,095
ENUR.F;09/09/2015;7,928
ENUR.F;08/09/2015;7,782
ENUR.F;07/09/2015;7,714
ENUR.F;04/09/2015;7,881
ENUR.F;03/09/2015;7,585
ENUR.F;02/09/2015;7,645
ENUR.F;01/09/2015;7,879
ENUR.F;31/08/2015;8,038
ENUR.F;28/08/2015;8,123
ENUR.F;27/08/2015;7,662
ENUR.F;26/08/2015;7,578
ENUR.F;25/08/2015;7,515
ENUR.F;24/08/2015;7,398
ENUR.F;21/08/2015;8
ENUR.F;20/08/2015;8,234
ENUR.F;19/08/2015;8,406
ENUR.F;18/08/2015;8,478
ENUR.F;17/08/2015;8,476
ENUR.F;14/08/2015;8,371
ENUR.F;13/08/2015;8,262
ENUR.F;12/08/2015;8,513
ENUR.F;11/08/2015;8,719
ENUR.F;10/08/2015;8,77
ENUR.F;07/08/2015;8,712
ENUR.F;06/08/2015;8,737
ENUR.F;05/08/2015;8,642
ENUR.F;04/08/2015;8,652
ENUR.F;03/08/2015;8,501
ENUR.F;31/07/2015;8,528
ENUR.F;30/07/2015;8,566
ENUR.F;29/07/2015;8,583
ENUR.F;28/07/2015;8,386
ENUR.F;27/07/2015;8,388
ENUR.F;24/07/2015;8,597
ENUR.F;23/07/2015;8,515
ENUR.F;22/07/2015;8,637
ENUR.F;21/07/2015;8,89
ENUR.F;20/07/2015;9,822
ENUR.F;17/07/2015;9,774
ENUR.F;16/07/2015;9,765
ENUR.F;15/07/2015;9,234
ENUR.F;14/07/2015;9,286
ENUR.F;13/07/2015;9,226
ENUR.F;10/07/2015;8,907
ENUR.F;09/07/2015;8,774
ENUR.F;08/07/2015;8,605
ENUR.F;07/07/2015;8,851
ENUR.F;06/07/2015;8,9
ENUR.F;03/07/2015;9,133
ENUR.F;02/07/2015;9,237
ENUR.F;01/07/2015;9,327
