Actif;Date;Open
TUI1.F;25/01/2017;13,378
TUI1.F;24/01/2017;13,382
TUI1.F;23/01/2017;13,162
TUI1.F;20/01/2017;13,184
TUI1.F;19/01/2017;13,127
TUI1.F;18/01/2017;12,9
TUI1.F;17/01/2017;12,902
TUI1.F;16/01/2017;13,159
TUI1.F;13/01/2017;12,95
TUI1.F;12/01/2017;13,11
TUI1.F;11/01/2017;13,6
TUI1.F;10/01/2017;13,566
TUI1.F;09/01/2017;13,758
TUI1.F;06/01/2017;13,773
TUI1.F;05/01/2017;13,654
TUI1.F;04/01/2017;13,68
TUI1.F;03/01/2017;13,749
TUI1.F;02/01/2017;13,274
TUI1.F;30/12/2016;13,29
TUI1.F;29/12/2016;13,285
TUI1.F;28/12/2016;13,47
TUI1.F;27/12/2016;13,36
TUI1.F;26/12/2016;13,358
TUI1.F;23/12/2016;13,356
TUI1.F;22/12/2016;13,2
TUI1.F;21/12/2016;13,474
TUI1.F;20/12/2016;13,29
TUI1.F;19/12/2016;13,26
TUI1.F;16/12/2016;13,05
TUI1.F;15/12/2016;12,81
TUI1.F;14/12/2016;12,74
TUI1.F;13/12/2016;12,554
TUI1.F;12/12/2016;12,95
TUI1.F;09/12/2016;13,06
TUI1.F;08/12/2016;12,5
TUI1.F;07/12/2016;12,366
TUI1.F;06/12/2016;12,412
TUI1.F;05/12/2016;12,3
TUI1.F;02/12/2016;12,41
TUI1.F;01/12/2016;12,353
TUI1.F;30/11/2016;12,4
TUI1.F;29/11/2016;12,096
TUI1.F;28/11/2016;12,45
TUI1.F;25/11/2016;12,24
TUI1.F;24/11/2016;12,36
TUI1.F;23/11/2016;12,35
TUI1.F;22/11/2016;12,27
TUI1.F;21/11/2016;12,08
TUI1.F;18/11/2016;11,67
TUI1.F;17/11/2016;11,885
TUI1.F;16/11/2016;11,781
TUI1.F;15/11/2016;11,76
TUI1.F;14/11/2016;11,82
TUI1.F;11/11/2016;12,002
TUI1.F;10/11/2016;11,8
TUI1.F;09/11/2016;11,526
TUI1.F;08/11/2016;11,695
TUI1.F;07/11/2016;11,771
TUI1.F;04/11/2016;11,888
TUI1.F;03/11/2016;11,567
TUI1.F;02/11/2016;11,53
TUI1.F;01/11/2016;11,6
TUI1.F;31/10/2016;11,53
TUI1.F;28/10/2016;11,576
TUI1.F;27/10/2016;11,414
TUI1.F;26/10/2016;11,5
TUI1.F;25/10/2016;11,727
TUI1.F;24/10/2016;11,788
TUI1.F;21/10/2016;11,8
TUI1.F;20/10/2016;11,86
TUI1.F;19/10/2016;11,94
TUI1.F;18/10/2016;11,707
TUI1.F;17/10/2016;11,86
TUI1.F;14/10/2016;11,772
TUI1.F;13/10/2016;11,81
TUI1.F;12/10/2016;11,9
TUI1.F;11/10/2016;12,1
TUI1.F;10/10/2016;12,35
TUI1.F;07/10/2016;12,617
TUI1.F;06/10/2016;12,695
TUI1.F;05/10/2016;12,812
TUI1.F;04/10/2016;12,74
TUI1.F;03/10/2016;12,655
TUI1.F;30/09/2016;12,5
TUI1.F;29/09/2016;12,751
TUI1.F;28/09/2016;12,98
TUI1.F;27/09/2016;12,4
TUI1.F;26/09/2016;12,7
TUI1.F;23/09/2016;12,717
TUI1.F;22/09/2016;12,315
TUI1.F;21/09/2016;12,47
TUI1.F;20/09/2016;12,349
TUI1.F;19/09/2016;12,55
TUI1.F;16/09/2016;12,01
TUI1.F;15/09/2016;11,83
TUI1.F;14/09/2016;11,82
TUI1.F;13/09/2016;12,06
TUI1.F;12/09/2016;11,95
TUI1.F;09/09/2016;12,05
TUI1.F;08/09/2016;12,2
TUI1.F;07/09/2016;12,42
TUI1.F;06/09/2016;12,435
TUI1.F;05/09/2016;12,46
TUI1.F;02/09/2016;12,418
TUI1.F;01/09/2016;12,48
TUI1.F;31/08/2016;12,235
TUI1.F;30/08/2016;12,145
TUI1.F;29/08/2016;12,185
TUI1.F;26/08/2016;12
TUI1.F;25/08/2016;12,245
TUI1.F;24/08/2016;12,12
TUI1.F;23/08/2016;11,95
TUI1.F;22/08/2016;11,94
TUI1.F;19/08/2016;12
TUI1.F;18/08/2016;11,95
TUI1.F;17/08/2016;11,92
TUI1.F;16/08/2016;11,86
TUI1.F;15/08/2016;12,07
TUI1.F;12/08/2016;12,15
TUI1.F;11/08/2016;12
TUI1.F;10/08/2016;11,79
TUI1.F;09/08/2016;11,59
TUI1.F;08/08/2016;11,58
TUI1.F;05/08/2016;11,37
TUI1.F;04/08/2016;11,488
TUI1.F;03/08/2016;11,43
TUI1.F;02/08/2016;11,577
TUI1.F;01/08/2016;11,764
TUI1.F;29/07/2016;11,53
TUI1.F;28/07/2016;11,31
TUI1.F;27/07/2016;11,135
TUI1.F;26/07/2016;10,901
TUI1.F;25/07/2016;10,946
TUI1.F;22/07/2016;11,132
TUI1.F;21/07/2016;11,319
TUI1.F;20/07/2016;11,421
TUI1.F;19/07/2016;11,371
TUI1.F;18/07/2016;11,396
TUI1.F;15/07/2016;11,64
TUI1.F;14/07/2016;11,9
TUI1.F;13/07/2016;11,95
TUI1.F;12/07/2016;11,743
TUI1.F;11/07/2016;11,3
TUI1.F;08/07/2016;10,805
TUI1.F;07/07/2016;10,5
TUI1.F;06/07/2016;10,41
TUI1.F;05/07/2016;10,8
TUI1.F;04/07/2016;11,05
TUI1.F;01/07/2016;10,278
TUI1.F;30/06/2016;10,3
TUI1.F;29/06/2016;10,72
TUI1.F;28/06/2016;10,466
TUI1.F;27/06/2016;12,21
TUI1.F;24/06/2016;12,5
TUI1.F;23/06/2016;13,43
TUI1.F;22/06/2016;13,301
TUI1.F;21/06/2016;13,33
TUI1.F;20/06/2016;13,03
TUI1.F;17/06/2016;12,404
TUI1.F;16/06/2016;12,005
TUI1.F;15/06/2016;12,223
TUI1.F;14/06/2016;12,198
TUI1.F;13/06/2016;12,441
TUI1.F;10/06/2016;13,075
TUI1.F;09/06/2016;13,12
TUI1.F;08/06/2016;13,406
TUI1.F;07/06/2016;13,386
TUI1.F;06/06/2016;13,411
TUI1.F;03/06/2016;13,499
TUI1.F;02/06/2016;13,36
TUI1.F;01/06/2016;13,66
TUI1.F;31/05/2016;13,8
TUI1.F;30/05/2016;13,832
TUI1.F;27/05/2016;13,72
TUI1.F;26/05/2016;13,95
TUI1.F;25/05/2016;13,83
TUI1.F;24/05/2016;13,46
TUI1.F;23/05/2016;13,42
TUI1.F;20/05/2016;13,2
TUI1.F;19/05/2016;13,34
TUI1.F;18/05/2016;13,12
TUI1.F;17/05/2016;13,28
TUI1.F;16/05/2016;13,22
TUI1.F;13/05/2016;13,34
TUI1.F;12/05/2016;13,334
TUI1.F;11/05/2016;13,541
TUI1.F;10/05/2016;13,203
TUI1.F;09/05/2016;12,73
TUI1.F;06/05/2016;12,76
TUI1.F;05/05/2016;12,453
TUI1.F;04/05/2016;12,44
TUI1.F;03/05/2016;12,77
TUI1.F;02/05/2016;12,79
TUI1.F;29/04/2016;13,139
TUI1.F;28/04/2016;13,26
TUI1.F;27/04/2016;13,1
TUI1.F;26/04/2016;12,851
TUI1.F;25/04/2016;12,6
TUI1.F;22/04/2016;12,654
TUI1.F;21/04/2016;13,067
TUI1.F;20/04/2016;13,202
TUI1.F;19/04/2016;13,47
TUI1.F;18/04/2016;13,165
TUI1.F;15/04/2016;13,22
TUI1.F;14/04/2016;13,22
TUI1.F;13/04/2016;12,98
TUI1.F;12/04/2016;12,8
TUI1.F;11/04/2016;13
TUI1.F;08/04/2016;13,003
TUI1.F;07/04/2016;13,058
TUI1.F;06/04/2016;13,007
TUI1.F;05/04/2016;13,119
TUI1.F;04/04/2016;13,55
TUI1.F;01/04/2016;13,61
TUI1.F;31/03/2016;12,98
TUI1.F;30/03/2016;12,73
TUI1.F;29/03/2016;12,6
TUI1.F;28/03/2016;12,452
TUI1.F;25/03/2016;12,452
TUI1.F;24/03/2016;12,43
TUI1.F;23/03/2016;12,408
TUI1.F;22/03/2016;12,87
TUI1.F;21/03/2016;13,166
TUI1.F;18/03/2016;12,664
TUI1.F;17/03/2016;12,58
TUI1.F;16/03/2016;13,1
TUI1.F;15/03/2016;13,468
TUI1.F;14/03/2016;13,46
TUI1.F;11/03/2016;13,188
TUI1.F;10/03/2016;13,14
TUI1.F;09/03/2016;13,25
TUI1.F;08/03/2016;13,328
TUI1.F;07/03/2016;13,49
TUI1.F;04/03/2016;13,3
TUI1.F;03/03/2016;13,7
TUI1.F;02/03/2016;13,94
TUI1.F;01/03/2016;13,67
TUI1.F;29/02/2016;13,48
TUI1.F;26/02/2016;13,61
TUI1.F;25/02/2016;13,26
TUI1.F;24/02/2016;13,56
TUI1.F;23/02/2016;13,58
TUI1.F;22/02/2016;13,65
TUI1.F;19/02/2016;13,517
TUI1.F;18/02/2016;13,62
TUI1.F;17/02/2016;13,12
TUI1.F;16/02/2016;13,352
TUI1.F;15/02/2016;13,112
TUI1.F;12/02/2016;12,867
TUI1.F;11/02/2016;13,474
TUI1.F;10/02/2016;13,168
TUI1.F;09/02/2016;14,3
TUI1.F;08/02/2016;14,998
TUI1.F;05/02/2016;15,076
TUI1.F;04/02/2016;15,43
TUI1.F;03/02/2016;15,445
TUI1.F;02/02/2016;15,65
TUI1.F;01/02/2016;15,59
TUI1.F;29/01/2016;15,52
TUI1.F;28/01/2016;15,86
TUI1.F;27/01/2016;16
TUI1.F;26/01/2016;15,936
TUI1.F;25/01/2016;16,151
TUI1.F;22/01/2016;15,83
TUI1.F;21/01/2016;15,41
TUI1.F;20/01/2016;15,87
TUI1.F;19/01/2016;15,692
TUI1.F;18/01/2016;15,32
TUI1.F;15/01/2016;15,904
TUI1.F;14/01/2016;16,5
TUI1.F;13/01/2016;16,91
TUI1.F;12/01/2016;16,74
TUI1.F;11/01/2016;16,602
TUI1.F;08/01/2016;16,482
TUI1.F;07/01/2016;16,364
TUI1.F;06/01/2016;16,85
TUI1.F;05/01/2016;16,567
TUI1.F;04/01/2016;16,458
TUI1.F;01/01/2016;16,762
TUI1.F;31/12/2015;16,762
TUI1.F;30/12/2015;16,8
TUI1.F;29/12/2015;16,723
TUI1.F;28/12/2015;16,813
TUI1.F;25/12/2015;16,87
TUI1.F;24/12/2015;16,87
TUI1.F;23/12/2015;16,617
TUI1.F;22/12/2015;16,532
TUI1.F;21/12/2015;16,682
TUI1.F;18/12/2015;16,638
TUI1.F;17/12/2015;16,772
TUI1.F;16/12/2015;16,362
TUI1.F;15/12/2015;16,02
TUI1.F;14/12/2015;16
TUI1.F;11/12/2015;16,25
TUI1.F;10/12/2015;15,52
TUI1.F;09/12/2015;15,6
TUI1.F;08/12/2015;16,206
TUI1.F;07/12/2015;15,85
TUI1.F;04/12/2015;15,59
TUI1.F;03/12/2015;16,306
TUI1.F;02/12/2015;16,2
TUI1.F;01/12/2015;15,75
TUI1.F;30/11/2015;15,49
TUI1.F;27/11/2015;15,7
TUI1.F;26/11/2015;15,35
TUI1.F;25/11/2015;15,09
TUI1.F;24/11/2015;15,277
TUI1.F;23/11/2015;16,02
TUI1.F;20/11/2015;16,249
TUI1.F;19/11/2015;15,96
TUI1.F;18/11/2015;15,42
TUI1.F;17/11/2015;15,505
TUI1.F;16/11/2015;15,75
TUI1.F;13/11/2015;16,47
TUI1.F;12/11/2015;16,502
TUI1.F;11/11/2015;16,352
TUI1.F;10/11/2015;16,12
TUI1.F;09/11/2015;16,34
TUI1.F;06/11/2015;16,064
TUI1.F;05/11/2015;16,485
TUI1.F;04/11/2015;16,36
TUI1.F;03/11/2015;16,57
TUI1.F;02/11/2015;16,83
TUI1.F;30/10/2015;16,877
TUI1.F;29/10/2015;16,62
TUI1.F;28/10/2015;16,69
TUI1.F;27/10/2015;17,025
TUI1.F;26/10/2015;16,656
TUI1.F;23/10/2015;16,94
TUI1.F;22/10/2015;16,577
TUI1.F;21/10/2015;16,616
TUI1.F;20/10/2015;16,431
TUI1.F;19/10/2015;16,48
TUI1.F;16/10/2015;16,8
TUI1.F;15/10/2015;16,436
TUI1.F;14/10/2015;16,36
TUI1.F;13/10/2015;16,45
TUI1.F;12/10/2015;16,399
TUI1.F;09/10/2015;16,97
TUI1.F;08/10/2015;16,49
TUI1.F;07/10/2015;17,12
TUI1.F;06/10/2015;17,22
TUI1.F;05/10/2015;17,16
TUI1.F;02/10/2015;16,99
TUI1.F;01/10/2015;16,468
TUI1.F;30/09/2015;16,218
TUI1.F;29/09/2015;16,27
TUI1.F;28/09/2015;16,43
TUI1.F;25/09/2015;16,16
TUI1.F;24/09/2015;16,529
TUI1.F;23/09/2015;16,3
TUI1.F;22/09/2015;16,77
TUI1.F;21/09/2015;16,67
TUI1.F;18/09/2015;16,9
TUI1.F;17/09/2015;16,86
TUI1.F;16/09/2015;16,45
TUI1.F;15/09/2015;16,53
TUI1.F;14/09/2015;16,55
TUI1.F;11/09/2015;16,54
TUI1.F;10/09/2015;16,457
TUI1.F;09/09/2015;16,4
TUI1.F;08/09/2015;16,07
TUI1.F;07/09/2015;15,972
TUI1.F;04/09/2015;15,747
TUI1.F;03/09/2015;15,943
TUI1.F;02/09/2015;15,697
TUI1.F;01/09/2015;15,818
TUI1.F;31/08/2015;15,725
TUI1.F;28/08/2015;16,372
TUI1.F;27/08/2015;15,74
TUI1.F;26/08/2015;15,519
TUI1.F;25/08/2015;14,931
TUI1.F;24/08/2015;15,4
TUI1.F;21/08/2015;15,58
TUI1.F;20/08/2015;16,438
TUI1.F;19/08/2015;16,73
TUI1.F;18/08/2015;16,675
TUI1.F;17/08/2015;16,38
TUI1.F;14/08/2015;15,58
TUI1.F;13/08/2015;14,661
TUI1.F;12/08/2015;14,63
TUI1.F;11/08/2015;14,876
TUI1.F;10/08/2015;14,935
TUI1.F;07/08/2015;14,955
TUI1.F;06/08/2015;15,57
TUI1.F;05/08/2015;15,622
TUI1.F;04/08/2015;15,54
TUI1.F;03/08/2015;15,53
TUI1.F;31/07/2015;15,402
TUI1.F;30/07/2015;15,224
TUI1.F;29/07/2015;15
TUI1.F;28/07/2015;14,98
TUI1.F;27/07/2015;15,3
TUI1.F;24/07/2015;15,57
TUI1.F;23/07/2015;15,83
TUI1.F;22/07/2015;15,851
TUI1.F;21/07/2015;16,1
TUI1.F;20/07/2015;15,9
TUI1.F;17/07/2015;15,6
TUI1.F;16/07/2015;15,52
TUI1.F;15/07/2015;15,15
TUI1.F;14/07/2015;15,395
TUI1.F;13/07/2015;14,93
TUI1.F;10/07/2015;14,65
TUI1.F;09/07/2015;14,02
TUI1.F;08/07/2015;14,27
TUI1.F;07/07/2015;14,36
TUI1.F;06/07/2015;14,6
TUI1.F;03/07/2015;14,719
TUI1.F;02/07/2015;14,961
TUI1.F;01/07/2015;14,51
TUI1.F;30/06/2015;14,566
TUI1.F;29/06/2015;14,5
TUI1.F;26/06/2015;15,907
TUI1.F;25/06/2015;16,25
TUI1.F;24/06/2015;16,37
TUI1.F;23/06/2015;16,38
TUI1.F;22/06/2015;16,25
TUI1.F;19/06/2015;15,66
TUI1.F;18/06/2015;15,76
TUI1.F;17/06/2015;16,18
TUI1.F;16/06/2015;16,136
TUI1.F;15/06/2015;16,55
TUI1.F;12/06/2015;16,8
TUI1.F;11/06/2015;16,46
TUI1.F;10/06/2015;16,25
TUI1.F;09/06/2015;15,982
TUI1.F;08/06/2015;15,97
TUI1.F;05/06/2015;15,98
TUI1.F;04/06/2015;16,17
TUI1.F;03/06/2015;16,05
TUI1.F;02/06/2015;16,1
TUI1.F;01/06/2015;16,2
TUI1.F;29/05/2015;16,691
TUI1.F;28/05/2015;16,59
TUI1.F;27/05/2015;16,416
TUI1.F;26/05/2015;16,569
TUI1.F;25/05/2015;16,769
TUI1.F;22/05/2015;17
TUI1.F;21/05/2015;17,03
TUI1.F;20/05/2015;16,9
TUI1.F;19/05/2015;16,62
TUI1.F;18/05/2015;16,8
TUI1.F;15/05/2015;16,606
TUI1.F;14/05/2015;16,371
TUI1.F;13/05/2015;17,45
TUI1.F;12/05/2015;17,61
TUI1.F;11/05/2015;17,12
TUI1.F;08/05/2015;16,27
TUI1.F;07/05/2015;16,125
TUI1.F;06/05/2015;16,35
TUI1.F;05/05/2015;17
TUI1.F;04/05/2015;16,65
TUI1.F;01/05/2015;16,579
TUI1.F;30/04/2015;16,5
TUI1.F;29/04/2015;16,94
TUI1.F;28/04/2015;17,3
TUI1.F;27/04/2015;17,04
TUI1.F;24/04/2015;16,81
TUI1.F;23/04/2015;17,03
TUI1.F;22/04/2015;17,07
TUI1.F;21/04/2015;16,72
TUI1.F;20/04/2015;16,45
TUI1.F;17/04/2015;16,771
TUI1.F;16/04/2015;17,05
TUI1.F;15/04/2015;17,092
TUI1.F;14/04/2015;17,11
TUI1.F;13/04/2015;17,08
TUI1.F;10/04/2015;16,95
TUI1.F;09/04/2015;16,862
TUI1.F;08/04/2015;16,78
TUI1.F;07/04/2015;16,52
TUI1.F;06/04/2015;16,497
TUI1.F;03/04/2015;16,497
TUI1.F;02/04/2015;16,879
TUI1.F;01/04/2015;16,229
TUI1.F;31/03/2015;16,44
TUI1.F;30/03/2015;16,364
TUI1.F;27/03/2015;16,33
TUI1.F;26/03/2015;16,273
TUI1.F;25/03/2015;16,088
TUI1.F;24/03/2015;16,021
TUI1.F;23/03/2015;16,153
TUI1.F;20/03/2015;16,357
TUI1.F;19/03/2015;16,661
TUI1.F;18/03/2015;16,587
TUI1.F;17/03/2015;16,661
TUI1.F;16/03/2015;16,233
TUI1.F;13/03/2015;16,164
TUI1.F;12/03/2015;16,158
TUI1.F;11/03/2015;16,09
TUI1.F;10/03/2015;16,092
TUI1.F;09/03/2015;16,075
TUI1.F;06/03/2015;16,2
TUI1.F;05/03/2015;15,89
TUI1.F;04/03/2015;15,625
TUI1.F;03/03/2015;15,948
TUI1.F;02/03/2015;16,115
TUI1.F;27/02/2015;16,06
TUI1.F;26/02/2015;15,98
TUI1.F;25/02/2015;16,165
TUI1.F;24/02/2015;16,203
TUI1.F;23/02/2015;16,049
TUI1.F;20/02/2015;15,763
TUI1.F;19/02/2015;15,82
TUI1.F;18/02/2015;15,458
TUI1.F;17/02/2015;15,352
TUI1.F;16/02/2015;15,497
TUI1.F;13/02/2015;15,4
TUI1.F;12/02/2015;15,314
TUI1.F;11/02/2015;14,977
TUI1.F;10/02/2015;15,41
TUI1.F;09/02/2015;15,535
TUI1.F;06/02/2015;15,53
TUI1.F;05/02/2015;15,502
TUI1.F;04/02/2015;15,469
TUI1.F;03/02/2015;15,694
TUI1.F;02/02/2015;15,669
TUI1.F;30/01/2015;15,68
TUI1.F;29/01/2015;15,62
TUI1.F;28/01/2015;15,55
TUI1.F;27/01/2015;15,948
TUI1.F;26/01/2015;15,584
TUI1.F;23/01/2015;15,371
TUI1.F;22/01/2015;14,841
TUI1.F;21/01/2015;14,727
TUI1.F;20/01/2015;14,7
TUI1.F;19/01/2015;14,631
TUI1.F;16/01/2015;14,481
TUI1.F;15/01/2015;14,556
TUI1.F;14/01/2015;14,4
TUI1.F;13/01/2015;14,38
TUI1.F;12/01/2015;14,294
TUI1.F;09/01/2015;14,135
TUI1.F;08/01/2015;14,284
TUI1.F;07/01/2015;13,848
TUI1.F;06/01/2015;13,86
TUI1.F;05/01/2015;13,852
TUI1.F;02/01/2015;13,8
TUI1.F;01/01/2015;13,833
TUI1.F;31/12/2014;13,833
TUI1.F;30/12/2014;13,98
TUI1.F;29/12/2014;13,91
TUI1.F;26/12/2014;13,834
TUI1.F;25/12/2014;13,834
TUI1.F;24/12/2014;13,834
TUI1.F;23/12/2014;13,685
TUI1.F;22/12/2014;14,07
TUI1.F;19/12/2014;14,379
TUI1.F;18/12/2014;14,235
TUI1.F;17/12/2014;13,659
TUI1.F;16/12/2014;13,48
TUI1.F;15/12/2014;13,854
TUI1.F;12/12/2014;13,892
TUI1.F;11/12/2014;13,546
TUI1.F;10/12/2014;13,807
TUI1.F;09/12/2014;13,832
TUI1.F;08/12/2014;13,927
TUI1.F;05/12/2014;13,77
TUI1.F;04/12/2014;13,433
TUI1.F;03/12/2014;13,358
TUI1.F;02/12/2014;13,3
TUI1.F;01/12/2014;13,568
TUI1.F;28/11/2014;13,222
TUI1.F;27/11/2014;12,992
TUI1.F;26/11/2014;13,216
TUI1.F;25/11/2014;13,189
TUI1.F;24/11/2014;13,07
TUI1.F;21/11/2014;13,018
TUI1.F;20/11/2014;12,805
TUI1.F;19/11/2014;12,774
TUI1.F;18/11/2014;12,938
TUI1.F;17/11/2014;12,6
TUI1.F;14/11/2014;12,685
TUI1.F;13/11/2014;12,649
TUI1.F;12/11/2014;12,812
TUI1.F;11/11/2014;12,705
TUI1.F;10/11/2014;12,39
TUI1.F;07/11/2014;12,63
TUI1.F;06/11/2014;12,634
TUI1.F;05/11/2014;12,516
TUI1.F;04/11/2014;12,587
TUI1.F;03/11/2014;12,1
TUI1.F;31/10/2014;12,397
TUI1.F;30/10/2014;12,36
TUI1.F;29/10/2014;12,15
TUI1.F;28/10/2014;11,398
TUI1.F;27/10/2014;11,188
TUI1.F;24/10/2014;11,121
TUI1.F;23/10/2014;10,93
TUI1.F;22/10/2014;11,118
TUI1.F;21/10/2014;10,503
TUI1.F;20/10/2014;10,198
TUI1.F;17/10/2014;9,85
TUI1.F;16/10/2014;10
TUI1.F;15/10/2014;10,284
TUI1.F;14/10/2014;9,91
TUI1.F;13/10/2014;10,299
TUI1.F;10/10/2014;10,576
TUI1.F;09/10/2014;11,21
TUI1.F;08/10/2014;11,394
TUI1.F;07/10/2014;11,791
TUI1.F;06/10/2014;11,645
TUI1.F;03/10/2014;11,67
TUI1.F;02/10/2014;11,558
TUI1.F;01/10/2014;11,753
TUI1.F;30/09/2014;11,771
TUI1.F;29/09/2014;11,839
TUI1.F;26/09/2014;11,746
TUI1.F;25/09/2014;11,849
TUI1.F;24/09/2014;11,73
TUI1.F;23/09/2014;11,846
TUI1.F;22/09/2014;11,723
TUI1.F;19/09/2014;11,842
TUI1.F;18/09/2014;11,368
TUI1.F;17/09/2014;11,121
TUI1.F;16/09/2014;11,064
TUI1.F;15/09/2014;10,954
TUI1.F;12/09/2014;11,054
TUI1.F;11/09/2014;11
TUI1.F;10/09/2014;10,9
TUI1.F;09/09/2014;11,028
TUI1.F;08/09/2014;11,463
TUI1.F;05/09/2014;11,276
TUI1.F;04/09/2014;11,248
TUI1.F;03/09/2014;11,089
TUI1.F;02/09/2014;11,091
TUI1.F;01/09/2014;11,047
TUI1.F;29/08/2014;11,288
TUI1.F;28/08/2014;11,262
TUI1.F;27/08/2014;11,29
TUI1.F;26/08/2014;11,285
TUI1.F;25/08/2014;11,318
TUI1.F;22/08/2014;11,281
TUI1.F;21/08/2014;11,29
TUI1.F;20/08/2014;11,227
TUI1.F;19/08/2014;11,197
TUI1.F;18/08/2014;11,117
TUI1.F;15/08/2014;11,1
TUI1.F;14/08/2014;10,589
TUI1.F;13/08/2014;10,449
TUI1.F;12/08/2014;10,48
TUI1.F;11/08/2014;10,4
TUI1.F;08/08/2014;9,938
TUI1.F;07/08/2014;10,146
TUI1.F;06/08/2014;10,25
TUI1.F;05/08/2014;10,295
TUI1.F;04/08/2014;10,23
TUI1.F;01/08/2014;10,545
TUI1.F;31/07/2014;10,775
TUI1.F;30/07/2014;10,745
TUI1.F;29/07/2014;10,817
TUI1.F;28/07/2014;10,703
TUI1.F;25/07/2014;10,88
TUI1.F;24/07/2014;10,95
TUI1.F;23/07/2014;11,05
TUI1.F;22/07/2014;10,931
TUI1.F;21/07/2014;11,375
TUI1.F;18/07/2014;11,3
TUI1.F;17/07/2014;11,403
TUI1.F;16/07/2014;11,289
TUI1.F;15/07/2014;11,292
TUI1.F;14/07/2014;11,43
TUI1.F;11/07/2014;11,256
TUI1.F;10/07/2014;11,59
TUI1.F;09/07/2014;11,472
TUI1.F;08/07/2014;11,79
TUI1.F;07/07/2014;12,12
TUI1.F;04/07/2014;12,29
TUI1.F;03/07/2014;12,09
TUI1.F;02/07/2014;12,039
TUI1.F;01/07/2014;12,261
TUI1.F;30/06/2014;12,612
TUI1.F;27/06/2014;11,919
