Actif;Date;Close
TPO.F;01/03/2017;3,59
TPO.F;28/02/2017;3,59
TPO.F;27/02/2017;3,58
TPO.F;24/02/2017;3,7
TPO.F;23/02/2017;3,669
TPO.F;22/02/2017;3,732
TPO.F;21/02/2017;3,63
TPO.F;20/02/2017;3,564
TPO.F;17/02/2017;3,475
TPO.F;16/02/2017;3,557
TPO.F;15/02/2017;3,513
TPO.F;14/02/2017;3,55
TPO.F;13/02/2017;3,622
TPO.F;10/02/2017;3,539
TPO.F;09/02/2017;3,485
TPO.F;08/02/2017;3,525
TPO.F;07/02/2017;3,54
TPO.F;06/02/2017;3,526
TPO.F;03/02/2017;3,538
TPO.F;02/02/2017;3,55
TPO.F;01/02/2017;3,628
TPO.F;31/01/2017;3,595
TPO.F;30/01/2017;3,638
TPO.F;27/01/2017;3,595
TPO.F;26/01/2017;3,614
TPO.F;25/01/2017;3,599
TPO.F;24/01/2017;3,699
TPO.F;23/01/2017;3,799
TPO.F;20/01/2017;3,83
TPO.F;19/01/2017;3,84
TPO.F;18/01/2017;3,83
TPO.F;17/01/2017;3,711
TPO.F;16/01/2017;3,907
TPO.F;13/01/2017;3,91
TPO.F;12/01/2017;3,814
TPO.F;11/01/2017;3,943
TPO.F;10/01/2017;3,817
TPO.F;09/01/2017;3,832
TPO.F;06/01/2017;3,838
TPO.F;05/01/2017;3,927
TPO.F;04/01/2017;3,971
TPO.F;03/01/2017;3,913
TPO.F;02/01/2017;3,895
TPO.F;30/12/2016;3,774
TPO.F;29/12/2016;3,883
TPO.F;28/12/2016;3,975
TPO.F;27/12/2016;4,08
TPO.F;26/12/2016;4,031
TPO.F;23/12/2016;4,031
TPO.F;22/12/2016;4,019
TPO.F;21/12/2016;4,112
TPO.F;20/12/2016;4,163
TPO.F;19/12/2016;4,395
TPO.F;16/12/2016;4,293
TPO.F;15/12/2016;4,324
TPO.F;14/12/2016;4,341
TPO.F;13/12/2016;4,298
TPO.F;12/12/2016;4,133
TPO.F;09/12/2016;4,235
TPO.F;08/12/2016;4,4
TPO.F;07/12/2016;3,686
TPO.F;06/12/2016;3,454
TPO.F;05/12/2016;3,43
TPO.F;02/12/2016;3,47
TPO.F;01/12/2016;3,48
TPO.F;30/11/2016;3,51
TPO.F;29/11/2016;3,6
TPO.F;28/11/2016;3,602
TPO.F;25/11/2016;3,519
TPO.F;24/11/2016;3,502
TPO.F;23/11/2016;3,507
TPO.F;22/11/2016;3,57
TPO.F;21/11/2016;3,58
