Actif;Date;Close
TOG.F;01/03/2017;4,186
TOG.F;28/02/2017;4,174
TOG.F;27/02/2017;4,211
TOG.F;24/02/2017;4,224
TOG.F;23/02/2017;4,26
TOG.F;22/02/2017;4,223
TOG.F;21/02/2017;4,213
TOG.F;20/02/2017;4,401
TOG.F;17/02/2017;4,17
TOG.F;16/02/2017;4,171
TOG.F;15/02/2017;4,18
TOG.F;14/02/2017;4,245
TOG.F;13/02/2017;0,84
TOG.F;10/02/2017;0,849
TOG.F;09/02/2017;0,834
TOG.F;08/02/2017;0,819
TOG.F;07/02/2017;0,813
TOG.F;06/02/2017;0,802
TOG.F;03/02/2017;0,801
TOG.F;02/02/2017;0,784
TOG.F;01/02/2017;0,801
TOG.F;31/01/2017;0,803
TOG.F;30/01/2017;0,824
TOG.F;27/01/2017;0,839
TOG.F;26/01/2017;0,841
TOG.F;25/01/2017;0,834
TOG.F;24/01/2017;0,837
TOG.F;23/01/2017;0,837
TOG.F;20/01/2017;0,843
TOG.F;19/01/2017;0,841
TOG.F;18/01/2017;0,837
TOG.F;17/01/2017;0,84
TOG.F;16/01/2017;0,854
TOG.F;13/01/2017;0,853
TOG.F;12/01/2017;0,838
TOG.F;11/01/2017;0,844
TOG.F;10/01/2017;0,837
TOG.F;09/01/2017;0,85
TOG.F;06/01/2017;0,854
TOG.F;05/01/2017;0,856
TOG.F;04/01/2017;0,855
TOG.F;03/01/2017;0,841
TOG.F;02/01/2017;0,838
TOG.F;30/12/2016;0,877
TOG.F;29/12/2016;0,858
TOG.F;28/12/2016;0,856
TOG.F;27/12/2016;0,864
TOG.F;26/12/2016;0,865
TOG.F;23/12/2016;0,865
TOG.F;22/12/2016;0,863
TOG.F;21/12/2016;0,872
TOG.F;20/12/2016;0,885
TOG.F;19/12/2016;0,864
TOG.F;16/12/2016;0,849
TOG.F;15/12/2016;0,851
TOG.F;14/12/2016;0,858
TOG.F;13/12/2016;0,853
TOG.F;12/12/2016;0,842
TOG.F;09/12/2016;0,816
TOG.F;08/12/2016;0,806
TOG.F;07/12/2016;0,78
TOG.F;06/12/2016;0,774
TOG.F;05/12/2016;0,797
TOG.F;02/12/2016;0,795
TOG.F;01/12/2016;0,809
TOG.F;30/11/2016;0,812
TOG.F;29/11/2016;0,801
TOG.F;28/11/2016;0,808
TOG.F;25/11/2016;0,784
TOG.F;24/11/2016;0,775
TOG.F;23/11/2016;0,773
TOG.F;22/11/2016;0,775
TOG.F;21/11/2016;0,777
TOG.F;18/11/2016;0,788
TOG.F;17/11/2016;0,807
TOG.F;16/11/2016;0,789
TOG.F;15/11/2016;0,795
TOG.F;14/11/2016;0,801
TOG.F;11/11/2016;0,788
TOG.F;10/11/2016;0,815
TOG.F;09/11/2016;0,805
TOG.F;08/11/2016;0,816
TOG.F;07/11/2016;0,81
TOG.F;04/11/2016;0,811
TOG.F;03/11/2016;0,827
TOG.F;02/11/2016;0,822
TOG.F;01/11/2016;0,833
TOG.F;31/10/2016;0,809
TOG.F;28/10/2016;0,81
TOG.F;27/10/2016;0,829
TOG.F;26/10/2016;0,841
TOG.F;25/10/2016;0,831
TOG.F;24/10/2016;0,822
TOG.F;21/10/2016;0,82
TOG.F;20/10/2016;0,817
TOG.F;19/10/2016;0,801
TOG.F;18/10/2016;0,795
TOG.F;17/10/2016;0,788
TOG.F;14/10/2016;0,782
TOG.F;13/10/2016;0,779
TOG.F;12/10/2016;0,777
TOG.F;11/10/2016;0,777
TOG.F;10/10/2016;0,769
TOG.F;07/10/2016;0,767
TOG.F;06/10/2016;0,763
TOG.F;05/10/2016;0,771
TOG.F;04/10/2016;0,769
TOG.F;03/10/2016;0,771
TOG.F;30/09/2016;0,771
TOG.F;29/09/2016;0,79
TOG.F;28/09/2016;0,807
TOG.F;27/09/2016;0,817
TOG.F;26/09/2016;0,805
TOG.F;23/09/2016;0,819
TOG.F;22/09/2016;0,82
TOG.F;21/09/2016;0,808
TOG.F;20/09/2016;0,807
TOG.F;19/09/2016;0,785
TOG.F;16/09/2016;0,78
TOG.F;15/09/2016;0,763
TOG.F;14/09/2016;0,761
TOG.F;13/09/2016;0,764
TOG.F;12/09/2016;0,772
TOG.F;09/09/2016;0,769
TOG.F;08/09/2016;0,785
TOG.F;07/09/2016;0,798
TOG.F;06/09/2016;0,767
TOG.F;05/09/2016;0,763
TOG.F;02/09/2016;0,748
TOG.F;01/09/2016;0,744
TOG.F;31/08/2016;0,753
TOG.F;30/08/2016;0,751
TOG.F;29/08/2016;0,742
TOG.F;26/08/2016;0,739
TOG.F;25/08/2016;0,755
TOG.F;24/08/2016;0,754
TOG.F;23/08/2016;0,756
TOG.F;22/08/2016;0,726
TOG.F;19/08/2016;0,724
TOG.F;18/08/2016;0,727
TOG.F;17/08/2016;0,748
TOG.F;16/08/2016;0,74
TOG.F;15/08/2016;0,754
TOG.F;12/08/2016;0,753
TOG.F;11/08/2016;0,737
TOG.F;10/08/2016;0,739
TOG.F;09/08/2016;0,748
TOG.F;08/08/2016;0,741
TOG.F;05/08/2016;0,731
TOG.F;04/08/2016;0,738
TOG.F;03/08/2016;0,726
TOG.F;02/08/2016;0,737
TOG.F;01/08/2016;0,754
TOG.F;29/07/2016;0,746
TOG.F;28/07/2016;0,74
TOG.F;27/07/2016;0,763
TOG.F;26/07/2016;0,759
TOG.F;25/07/2016;0,77
TOG.F;22/07/2016;0,759
TOG.F;21/07/2016;0,758
TOG.F;20/07/2016;0,757
TOG.F;19/07/2016;0,75
TOG.F;18/07/2016;0,737
TOG.F;15/07/2016;0,733
TOG.F;14/07/2016;0,737
TOG.F;13/07/2016;0,741
TOG.F;12/07/2016;0,729
TOG.F;11/07/2016;0,749
TOG.F;08/07/2016;0,727
TOG.F;07/07/2016;0,742
TOG.F;06/07/2016;0,742
TOG.F;05/07/2016;0,732
TOG.F;04/07/2016;0,727
TOG.F;01/07/2016;0,72
TOG.F;30/06/2016;0,721
TOG.F;29/06/2016;0,723
TOG.F;28/06/2016;0,703
TOG.F;27/06/2016;0,709
TOG.F;24/06/2016;0,672
TOG.F;23/06/2016;0,689
TOG.F;22/06/2016;0,684
