Actif;Date;Open
9501;26/01/2017;450
9501;25/01/2017;451
9501;24/01/2017;452
9501;23/01/2017;461
9501;20/01/2017;468
9501;19/01/2017;477
9501;18/01/2017;451
9501;17/01/2017;464
9501;16/01/2017;469
9501;13/01/2017;465
9501;12/01/2017;475
9501;11/01/2017;473
9501;10/01/2017;478
9501;09/01/2017;479
9501;06/01/2017;480
9501;05/01/2017;490
9501;04/01/2017;482
9501;03/01/2017;472
9501;02/01/2017;472
9501;30/12/2016;474
9501;29/12/2016;491
9501;28/12/2016;495
9501;27/12/2016;495
9501;26/12/2016;498
9501;23/12/2016;500
9501;22/12/2016;509
9501;21/12/2016;517
9501;20/12/2016;532
9501;19/12/2016;539
9501;16/12/2016;537
9501;15/12/2016;537
9501;14/12/2016;532
9501;13/12/2016;512
9501;12/12/2016;524
9501;09/12/2016;551
9501;08/12/2016;473
9501;07/12/2016;433
9501;06/12/2016;420
9501;05/12/2016;419
9501;02/12/2016;423
9501;01/12/2016;428
9501;30/11/2016;432
9501;29/11/2016;431
9501;28/11/2016;423
9501;25/11/2016;420
9501;24/11/2016;422
9501;23/11/2016;421
9501;22/11/2016;423
9501;21/11/2016;429
9501;18/11/2016;428
9501;17/11/2016;416
9501;16/11/2016;408
9501;15/11/2016;407
9501;14/11/2016;405
9501;11/11/2016;409
9501;10/11/2016;409
9501;09/11/2016;408
9501;08/11/2016;413
9501;07/11/2016;417
9501;04/11/2016;420
9501;03/11/2016;425
9501;02/11/2016;420
9501;01/11/2016;405
9501;31/10/2016;409
9501;28/10/2016;415
9501;27/10/2016;411
9501;26/10/2016;407
9501;25/10/2016;405
9501;24/10/2016;408
9501;21/10/2016;408
9501;20/10/2016;399
9501;19/10/2016;391
9501;18/10/2016;386
9501;17/10/2016;394
9501;14/10/2016;409
9501;13/10/2016;409
9501;12/10/2016;415
9501;11/10/2016;416
9501;10/10/2016;416
9501;07/10/2016;415
9501;06/10/2016;416
9501;05/10/2016;430
9501;04/10/2016;426
9501;03/10/2016;436
9501;30/09/2016;443
9501;29/09/2016;439
9501;28/09/2016;438
9501;27/09/2016;427
9501;26/09/2016;429
9501;23/09/2016;429
9501;22/09/2016;430
9501;21/09/2016;424
9501;20/09/2016;411
9501;19/09/2016;414
9501;16/09/2016;403
9501;15/09/2016;404
9501;14/09/2016;406
9501;13/09/2016;425
9501;12/09/2016;423
9501;09/09/2016;426
9501;08/09/2016;438
9501;07/09/2016;435
9501;06/09/2016;432
9501;05/09/2016;428
9501;02/09/2016;418
9501;01/09/2016;430
9501;31/08/2016;406
9501;30/08/2016;363
9501;29/08/2016;364
9501;26/08/2016;370
9501;25/08/2016;380
9501;24/08/2016;377
9501;23/08/2016;356
9501;22/08/2016;353
9501;19/08/2016;349
9501;18/08/2016;357
9501;17/08/2016;350
9501;16/08/2016;350
9501;15/08/2016;357
9501;12/08/2016;350
9501;11/08/2016;346
9501;10/08/2016;353
9501;09/08/2016;360
9501;08/08/2016;364
9501;05/08/2016;361
9501;04/08/2016;363
9501;03/08/2016;368
9501;02/08/2016;381
9501;01/08/2016;395
9501;29/07/2016;409
9501;28/07/2016;419
9501;27/07/2016;416
9501;26/07/2016;429
