Actif;Date;Open
9531;26/01/2017;529,6
9531;25/01/2017;530
9531;24/01/2017;517,8
9531;23/01/2017;521,9
9531;20/01/2017;524,6
9531;19/01/2017;526
9531;18/01/2017;516,1
9531;17/01/2017;524,3
9531;16/01/2017;527,8
9531;13/01/2017;521,9
9531;12/01/2017;530,4
9531;11/01/2017;535,6
9531;10/01/2017;529
9531;09/01/2017;538,3
9531;06/01/2017;537,8
9531;05/01/2017;537,3
9531;04/01/2017;528
9531;03/01/2017;528,9
9531;02/01/2017;528,9
9531;30/12/2016;530,9
9531;29/12/2016;540
9531;28/12/2016;539,3
9531;27/12/2016;538
9531;26/12/2016;546,5
9531;23/12/2016;543,2
9531;22/12/2016;544,2
9531;21/12/2016;552,4
9531;20/12/2016;543,4
9531;19/12/2016;540,3
9531;16/12/2016;541,4
9531;15/12/2016;538,7
9531;14/12/2016;539
9531;13/12/2016;524,3
9531;12/12/2016;517,8
9531;09/12/2016;508,6
9531;08/12/2016;500
9531;07/12/2016;489,2
9531;06/12/2016;496
9531;05/12/2016;494
9531;02/12/2016;500
9531;01/12/2016;497,5
9531;30/11/2016;495
9531;29/11/2016;490,3
9531;28/11/2016;482,6
9531;25/11/2016;477
9531;24/11/2016;472,9
9531;23/11/2016;467,6
9531;22/11/2016;468,3
9531;21/11/2016;473,7
9531;18/11/2016;479,8
9531;17/11/2016;479,1
9531;16/11/2016;479,4
9531;15/11/2016;477,7
9531;14/11/2016;475
9531;11/11/2016;484,5
9531;10/11/2016;486
9531;09/11/2016;486,7
9531;08/11/2016;482,9
9531;07/11/2016;481,4
9531;04/11/2016;480,6
9531;03/11/2016;484,2
9531;02/11/2016;484,9
9531;01/11/2016;481,6
9531;31/10/2016;471,2
9531;28/10/2016;485
9531;27/10/2016;489,8
9531;26/10/2016;484,8
9531;25/10/2016;477,9
9531;24/10/2016;478,2
9531;21/10/2016;476,3
9531;20/10/2016;470,7
9531;19/10/2016;467
9531;18/10/2016;461,5
9531;17/10/2016;458,6
9531;14/10/2016;458,8
9531;13/10/2016;457
9531;12/10/2016;455,3
9531;11/10/2016;456,8
9531;10/10/2016;453,9
9531;07/10/2016;454,2
9531;06/10/2016;455,7
9531;05/10/2016;452,7
9531;04/10/2016;453
9531;03/10/2016;454
9531;30/09/2016;449,7
9531;29/09/2016;469,4
9531;28/09/2016;460
9531;27/09/2016;460
9531;26/09/2016;475
9531;23/09/2016;469,8
9531;22/09/2016;472,6
9531;21/09/2016;468,3
9531;20/09/2016;463
9531;19/09/2016;458,4
9531;16/09/2016;445,7
9531;15/09/2016;445,1
9531;14/09/2016;441,1
9531;13/09/2016;456,4
9531;12/09/2016;445,7
9531;09/09/2016;455,8
9531;08/09/2016;461,2
9531;07/09/2016;455,5
9531;06/09/2016;449,7
9531;05/09/2016;449,8
9531;02/09/2016;439
9531;01/09/2016;438,9
9531;31/08/2016;438,6
9531;30/08/2016;437
9531;29/08/2016;442
9531;26/08/2016;442,1
9531;25/08/2016;436,6
9531;24/08/2016;441,9
9531;23/08/2016;430,9
9531;22/08/2016;418,5
9531;19/08/2016;424,5
9531;18/08/2016;433
9531;17/08/2016;423,9
9531;16/08/2016;436,3
9531;15/08/2016;434,6
9531;12/08/2016;432,4
9531;11/08/2016;428,1
9531;10/08/2016;439,3
9531;09/08/2016;432,9
9531;08/08/2016;432
9531;05/08/2016;423,3
9531;04/08/2016;424,3
9531;03/08/2016;422,2
9531;02/08/2016;436,7
9531;01/08/2016;430,2
9531;29/07/2016;444
9531;28/07/2016;452,2
9531;27/07/2016;453,4
9531;26/07/2016;455,6
9531;25/07/2016;458,8
9531;22/07/2016;452
9531;21/07/2016;458,6
9531;20/07/2016;449,1
9531;19/07/2016;445,5
9531;18/07/2016;441,1
9531;15/07/2016;441,5
9531;14/07/2016;440,1
9531;13/07/2016;435
9531;12/07/2016;437,4
9531;11/07/2016;422,6
9531;08/07/2016;423,4
9531;07/07/2016;426,1
9531;06/07/2016;420
9531;05/07/2016;422
9531;04/07/2016;418,5
9531;01/07/2016;423
9531;30/06/2016;422,9
9531;29/06/2016;414,1
