Actif;Date;Open
7203;26/01/2017;6791
7203;25/01/2017;6709
7203;24/01/2017;6646
7203;23/01/2017;6701
7203;20/01/2017;6845
7203;19/01/2017;6850
7203;18/01/2017;6631
7203;17/01/2017;6805
7203;16/01/2017;6851
7203;13/01/2017;6830
7203;12/01/2017;6870
7203;11/01/2017;6899
7203;10/01/2017;6922
7203;09/01/2017;6930
7203;06/01/2017;6840
7203;05/01/2017;7090
7203;04/01/2017;7010
7203;03/01/2017;6878
7203;02/01/2017;6878
7203;30/12/2016;6829
7203;29/12/2016;6935
7203;28/12/2016;7000
7203;27/12/2016;6945
7203;26/12/2016;7020
7203;23/12/2016;7090
7203;22/12/2016;7090
7203;21/12/2016;7160
7203;20/12/2016;7121
7203;19/12/2016;7124
7203;16/12/2016;7200
7203;15/12/2016;7100
7203;14/12/2016;7069
7203;13/12/2016;7000
7203;12/12/2016;7090
7203;09/12/2016;6984
7203;08/12/2016;6960
7203;07/12/2016;6750
7203;06/12/2016;6680
7203;05/12/2016;6650
7203;02/12/2016;6739
7203;01/12/2016;6789
7203;30/11/2016;6688
7203;29/11/2016;6608
7203;28/11/2016;6650
7203;25/11/2016;6680
7203;24/11/2016;6450
7203;23/11/2016;6287
7203;22/11/2016;6327
7203;21/11/2016;6358
7203;18/11/2016;6250
7203;17/11/2016;6137
7203;16/11/2016;6106
7203;15/11/2016;6070
7203;14/11/2016;6000
7203;11/11/2016;5930
7203;10/11/2016;5870
7203;09/11/2016;5918
7203;08/11/2016;5880
7203;07/11/2016;5825
7203;04/11/2016;5760
7203;03/11/2016;5938
7203;02/11/2016;5992
7203;01/11/2016;6082
7203;31/10/2016;6010
7203;28/10/2016;6040
7203;27/10/2016;6025
7203;26/10/2016;6025
7203;25/10/2016;5966
7203;24/10/2016;5976
7203;21/10/2016;6050
7203;20/10/2016;5945
7203;19/10/2016;5975
7203;18/10/2016;6011
7203;17/10/2016;6000
7203;14/10/2016;5940
7203;13/10/2016;6002
7203;12/10/2016;5950
7203;11/10/2016;6027
7203;10/10/2016;6006
7203;07/10/2016;6043
7203;06/10/2016;6030
7203;05/10/2016;5959
7203;04/10/2016;5870
7203;03/10/2016;5830
7203;30/09/2016;5703
7203;29/09/2016;5922
7203;28/09/2016;5900
7203;27/09/2016;5831
7203;26/09/2016;5944
7203;23/09/2016;6001
7203;22/09/2016;6144
7203;21/09/2016;5957
7203;20/09/2016;5895
7203;19/09/2016;5866
7203;16/09/2016;5959
7203;15/09/2016;6005
7203;14/09/2016;6100
7203;13/09/2016;6125
7203;12/09/2016;6090
7203;09/09/2016;6188
7203;08/09/2016;6163
7203;07/09/2016;6115
7203;06/09/2016;6230
7203;05/09/2016;6372
7203;02/09/2016;6250
7203;01/09/2016;6262
7203;31/08/2016;6300
7203;30/08/2016;6150
7203;29/08/2016;6106
7203;26/08/2016;6000
7203;25/08/2016;6100
7203;24/08/2016;6076
7203;23/08/2016;6063
7203;22/08/2016;6078
7203;19/08/2016;5969
7203;18/08/2016;5935
7203;17/08/2016;5898
7203;16/08/2016;5972
7203;15/08/2016;6000
7203;12/08/2016;6000
7203;11/08/2016;5944
7203;10/08/2016;5982
7203;09/08/2016;6030
7203;08/08/2016;5960
7203;05/08/2016;5791
7203;04/08/2016;5591
7203;03/08/2016;5530
7203;02/08/2016;5740
7203;01/08/2016;5715
7203;29/07/2016;5759
7203;28/07/2016;5815
7203;27/07/2016;5746
7203;26/07/2016;5788
7203;25/07/2016;5838
7203;22/07/2016;5770
7203;21/07/2016;5850
7203;20/07/2016;5740
7203;19/07/2016;5816
7203;18/07/2016;5759
7203;15/07/2016;5675
7203;14/07/2016;5578
7203;13/07/2016;5566
7203;12/07/2016;5414
7203;11/07/2016;5161
7203;08/07/2016;5095
7203;07/07/2016;5050
7203;06/07/2016;5051
7203;05/07/2016;5140
7203;04/07/2016;5087
7203;01/07/2016;5100
7203;30/06/2016;5222
7203;29/06/2016;5143
7203;28/06/2016;5050
7203;27/06/2016;5208
7203;24/06/2016;5709
7203;23/06/2016;5618
7203;22/06/2016;5601
7203;21/06/2016;5487
7203;20/06/2016;5463
7203;17/06/2016;5325
7203;16/06/2016;5400
7203;15/06/2016;5393
7203;14/06/2016;5392
7203;13/06/2016;5527
7203;10/06/2016;5601
7203;09/06/2016;5621
7203;08/06/2016;5662
7203;07/06/2016;5681
7203;06/06/2016;5535
7203;03/06/2016;5669
7203;02/06/2016;5719
7203;01/06/2016;5701
7203;31/05/2016;5660
7203;30/05/2016;5626
7203;27/05/2016;5616
7203;26/05/2016;5647
7203;25/05/2016;5529
7203;24/05/2016;5475
7203;23/05/2016;5514
7203;20/05/2016;5463
7203;19/05/2016;5599
7203;18/05/2016;5544
7203;17/05/2016;5510
7203;16/05/2016;5431
7203;13/05/2016;5515
7203;12/05/2016;5380
7203;11/05/2016;5716
7203;10/05/2016;5600
7203;09/05/2016;5528
7203;06/05/2016;5496
7203;05/05/2016;5442
7203;04/05/2016;5442
7203;03/05/2016;5442
7203;02/05/2016;5404
7203;29/04/2016;5654
7203;28/04/2016;5921
7203;27/04/2016;5915
7203;26/04/2016;5958
7203;25/04/2016;6019
7203;22/04/2016;5777
7203;21/04/2016;5780
7203;20/04/2016;5736
7203;19/04/2016;5667
7203;18/04/2016;5352
7203;15/04/2016;5700
7203;14/04/2016;5706
7203;13/04/2016;5600
7203;12/04/2016;5300
7203;11/04/2016;5405
7203;08/04/2016;5308
7203;07/04/2016;5481
7203;06/04/2016;5451
7203;05/04/2016;5600
7203;04/04/2016;5700
7203;01/04/2016;5930
7203;31/03/2016;6025
7203;30/03/2016;6119
7203;29/03/2016;6102
7203;28/03/2016;6208
7203;25/03/2016;6028
7203;24/03/2016;6067
7203;23/03/2016;6114
7203;22/03/2016;6000
7203;21/03/2016;5888
7203;18/03/2016;5985
7203;17/03/2016;6057
7203;16/03/2016;6053
7203;15/03/2016;6188
7203;14/03/2016;6209
7203;11/03/2016;6067
7203;10/03/2016;6049
7203;09/03/2016;5940
7203;08/03/2016;6066
7203;07/03/2016;6205
7203;04/03/2016;6170
7203;03/03/2016;6097
7203;02/03/2016;6069
7203;01/03/2016;5853
7203;29/02/2016;6001
