Actif;Date;Open
FR.PA;25/01/2017;57,13
FR.PA;24/01/2017;55,17
FR.PA;23/01/2017;55,13
FR.PA;20/01/2017;55,29
FR.PA;19/01/2017;55,26
FR.PA;18/01/2017;55,67
FR.PA;17/01/2017;55,11
FR.PA;16/01/2017;56
FR.PA;13/01/2017;54,91
FR.PA;12/01/2017;54,96
FR.PA;11/01/2017;55
FR.PA;10/01/2017;54,29
FR.PA;09/01/2017;55,39
FR.PA;06/01/2017;55,1
FR.PA;05/01/2017;54,05
FR.PA;04/01/2017;55,87
FR.PA;03/01/2017;55,3
FR.PA;02/01/2017;54,36
FR.PA;30/12/2016;54,01
FR.PA;29/12/2016;54,5
FR.PA;28/12/2016;54,92
FR.PA;27/12/2016;54,91
FR.PA;26/12/2016;54,95
FR.PA;23/12/2016;54,86
FR.PA;22/12/2016;54,92
FR.PA;21/12/2016;54,53
FR.PA;20/12/2016;55,01
FR.PA;19/12/2016;55,52
FR.PA;16/12/2016;54,91
FR.PA;15/12/2016;54,82
FR.PA;14/12/2016;54,76
FR.PA;13/12/2016;54,84
FR.PA;12/12/2016;55,65
FR.PA;09/12/2016;56,21
FR.PA;08/12/2016;54,82
FR.PA;07/12/2016;53,02
FR.PA;06/12/2016;52,67
FR.PA;05/12/2016;51,92
FR.PA;02/12/2016;52,02
FR.PA;01/12/2016;52,25
FR.PA;30/11/2016;52,8
FR.PA;29/11/2016;52,5
FR.PA;28/11/2016;53
FR.PA;25/11/2016;53,37
FR.PA;24/11/2016;53,04
FR.PA;23/11/2016;53,5
FR.PA;22/11/2016;52,56
FR.PA;21/11/2016;51,68
FR.PA;18/11/2016;50,69
FR.PA;17/11/2016;49,875
FR.PA;16/11/2016;50,06
FR.PA;15/11/2016;49,625
FR.PA;14/11/2016;49,265
FR.PA;11/11/2016;49,095
FR.PA;10/11/2016;51,05
FR.PA;09/11/2016;49,53
FR.PA;08/11/2016;51,5
FR.PA;07/11/2016;50,5
FR.PA;04/11/2016;50,15
FR.PA;03/11/2016;50,52
FR.PA;02/11/2016;51,5
FR.PA;01/11/2016;52,8
FR.PA;31/10/2016;52,68
FR.PA;28/10/2016;52,61
FR.PA;27/10/2016;53,72
FR.PA;26/10/2016;53
FR.PA;25/10/2016;54,35
FR.PA;24/10/2016;53,75
FR.PA;21/10/2016;53,93
FR.PA;20/10/2016;52,5
FR.PA;19/10/2016;52,4
FR.PA;18/10/2016;52,5
FR.PA;17/10/2016;51,66
FR.PA;14/10/2016;51,32
FR.PA;13/10/2016;51,61
FR.PA;12/10/2016;52,54
FR.PA;11/10/2016;52,91
FR.PA;10/10/2016;52,23
FR.PA;07/10/2016;52,5
FR.PA;06/10/2016;52,5
FR.PA;05/10/2016;51,87
FR.PA;04/10/2016;51,95
FR.PA;03/10/2016;52,24
FR.PA;30/09/2016;50,03
FR.PA;29/09/2016;51,19
FR.PA;28/09/2016;49,585
FR.PA;27/09/2016;49,335
FR.PA;26/09/2016;49,725
FR.PA;23/09/2016;50,23
FR.PA;22/09/2016;49,64
FR.PA;21/09/2016;49,595
FR.PA;20/09/2016;49,37
FR.PA;19/09/2016;49,44
FR.PA;16/09/2016;49,605
FR.PA;15/09/2016;49,23
FR.PA;14/09/2016;48,925
FR.PA;13/09/2016;49,37
FR.PA;12/09/2016;48,9
FR.PA;09/09/2016;49,205
FR.PA;08/09/2016;49,565
FR.PA;07/09/2016;49,6
FR.PA;06/09/2016;48,72
FR.PA;05/09/2016;48,26
FR.PA;02/09/2016;47,515
FR.PA;01/09/2016;46,65
FR.PA;31/08/2016;46
FR.PA;30/08/2016;46,445
FR.PA;29/08/2016;45,78
FR.PA;26/08/2016;45,4
FR.PA;25/08/2016;46,18
FR.PA;24/08/2016;45,885
FR.PA;23/08/2016;45,985
FR.PA;22/08/2016;45,765
FR.PA;19/08/2016;46,05
FR.PA;18/08/2016;45,725
FR.PA;17/08/2016;45,97
FR.PA;16/08/2016;46,135
FR.PA;15/08/2016;46,18
FR.PA;12/08/2016;46,685
FR.PA;11/08/2016;46,89
FR.PA;10/08/2016;46,54
FR.PA;09/08/2016;45,97
FR.PA;08/08/2016;46,115
FR.PA;05/08/2016;44,86
FR.PA;04/08/2016;44,43
FR.PA;03/08/2016;44,84
FR.PA;02/08/2016;45,5
FR.PA;01/08/2016;46,01
FR.PA;29/07/2016;45,96
FR.PA;28/07/2016;46,275
FR.PA;27/07/2016;44,99
FR.PA;26/07/2016;43,5
FR.PA;25/07/2016;42,03
FR.PA;22/07/2016;42,165
FR.PA;21/07/2016;42,24
FR.PA;20/07/2016;41,72
FR.PA;19/07/2016;42,17
FR.PA;18/07/2016;41,725
FR.PA;15/07/2016;41,955
FR.PA;14/07/2016;41,61
FR.PA;13/07/2016;41,765
FR.PA;12/07/2016;40,455
FR.PA;11/07/2016;40,25
FR.PA;08/07/2016;38,605
FR.PA;07/07/2016;38,89
FR.PA;06/07/2016;38,315
FR.PA;05/07/2016;40,175
FR.PA;04/07/2016;42,385
FR.PA;01/07/2016;40,47
FR.PA;30/06/2016;40,285
FR.PA;29/06/2016;40,43
FR.PA;28/06/2016;40,725
FR.PA;27/06/2016;42,35
FR.PA;24/06/2016;42,2
FR.PA;23/06/2016;46,09
FR.PA;22/06/2016;45,975
FR.PA;21/06/2016;45,77
FR.PA;20/06/2016;45,105
FR.PA;17/06/2016;43,51
