Actif;Date;Open
VZ;25/01/2017;49,5
VZ;24/01/2017;50,259998
VZ;23/01/2017;52,459999
VZ;20/01/2017;52,599998
VZ;19/01/2017;52,549999
VZ;18/01/2017;52,52
VZ;17/01/2017;52,549999
VZ;13/01/2017;52,720001
VZ;12/01/2017;52,43
VZ;11/01/2017;52,619999
VZ;10/01/2017;52,689999
VZ;09/01/2017;53,220001
VZ;06/01/2017;53,669998
VZ;05/01/2017;54,779999
VZ;04/01/2017;54,549999
VZ;03/01/2017;53,959999
VZ;30/12/2016;53,549999
VZ;29/12/2016;53,59
VZ;28/12/2016;53,630001
VZ;27/12/2016;53,689999
VZ;23/12/2016;53,650002
VZ;22/12/2016;52,849998
VZ;21/12/2016;53,09
VZ;20/12/2016;52,93
VZ;19/12/2016;52,48
VZ;16/12/2016;52,060001
VZ;15/12/2016;51,369999
VZ;14/12/2016;52,459999
VZ;13/12/2016;52,080002
VZ;12/12/2016;51,540001
VZ;09/12/2016;51,09
VZ;08/12/2016;51,23
VZ;07/12/2016;50,720001
VZ;06/12/2016;50,150002
VZ;05/12/2016;49,740002
VZ;02/12/2016;50
VZ;01/12/2016;49,799999
VZ;30/11/2016;50,549999
VZ;29/11/2016;51,029999
VZ;28/11/2016;50,470001
VZ;25/11/2016;50,220001
VZ;23/11/2016;49,299999
VZ;22/11/2016;48,48
VZ;21/11/2016;48,060001
VZ;18/11/2016;47,849998
VZ;17/11/2016;47,950001
VZ;16/11/2016;47,490002
VZ;15/11/2016;46,509998
VZ;14/11/2016;46,709999
VZ;11/11/2016;46,700001
VZ;10/11/2016;47,860001
VZ;09/11/2016;47,009998
VZ;08/11/2016;47,560001
VZ;07/11/2016;47,389999
VZ;04/11/2016;46,970001
VZ;03/11/2016;46,98
VZ;02/11/2016;47,75
VZ;01/11/2016;48,32
VZ;31/10/2016;48,240002
VZ;28/10/2016;48,560001
VZ;27/10/2016;47,740002
VZ;26/10/2016;47,740002
VZ;25/10/2016;48,209999
VZ;24/10/2016;48,709999
VZ;21/10/2016;48,790001
VZ;20/10/2016;49,540001
VZ;19/10/2016;50,450001
VZ;18/10/2016;50,610001
VZ;17/10/2016;50,209999
VZ;14/10/2016;50,34
VZ;13/10/2016;50,23
VZ;12/10/2016;49,959999
VZ;11/10/2016;50,099998
VZ;10/10/2016;50,23
VZ;07/10/2016;50,459999
VZ;06/10/2016;50,32
VZ;05/10/2016;50,689999
VZ;04/10/2016;51,77
VZ;03/10/2016;51,84
VZ;30/09/2016;52,43
VZ;29/09/2016;51,84
VZ;28/09/2016;52,310001
VZ;27/09/2016;52,310001
VZ;26/09/2016;52,450001
VZ;23/09/2016;52,299999
VZ;22/09/2016;52,150002
VZ;21/09/2016;51,369999
VZ;20/09/2016;51,599998
VZ;19/09/2016;51,889999
VZ;16/09/2016;51,889999
VZ;15/09/2016;51,490002
VZ;14/09/2016;51,59
VZ;13/09/2016;52,049999
VZ;12/09/2016;51,75
VZ;09/09/2016;53,130001
VZ;08/09/2016;53,599998
VZ;07/09/2016;53,5
VZ;06/09/2016;53,09
VZ;02/09/2016;52,799999
VZ;01/09/2016;52,139999
VZ;31/08/2016;52,220001
VZ;30/08/2016;52,580002
VZ;29/08/2016;52,360001
VZ;26/08/2016;52,639999
VZ;25/08/2016;52,529999
VZ;24/08/2016;52,549999
VZ;23/08/2016;52,66
VZ;22/08/2016;52,580002
VZ;19/08/2016;52,889999
VZ;18/08/2016;52,950001
VZ;17/08/2016;52,900002
VZ;16/08/2016;53,5
VZ;15/08/2016;53,66
VZ;12/08/2016;53,959999
VZ;11/08/2016;53,810001
VZ;10/08/2016;53,82
VZ;09/08/2016;53,599998
VZ;08/08/2016;53,639999
VZ;05/08/2016;53,939999
VZ;04/08/2016;54
VZ;03/08/2016;54,16
VZ;02/08/2016;54,450001
VZ;01/08/2016;55,580002
VZ;29/07/2016;54,990002
VZ;28/07/2016;55,200001
VZ;27/07/2016;54,950001
VZ;26/07/2016;55,849998
VZ;25/07/2016;56,099998
VZ;22/07/2016;55,439999
VZ;21/07/2016;55,529999
VZ;20/07/2016;55,580002
VZ;19/07/2016;55,959999
VZ;18/07/2016;55,869999
VZ;15/07/2016;56,049999
VZ;14/07/2016;55,619999
VZ;13/07/2016;55,580002
VZ;12/07/2016;55,75
VZ;11/07/2016;55,75
VZ;08/07/2016;55,389999
VZ;07/07/2016;56,099998
VZ;06/07/2016;56,209999
VZ;05/07/2016;56,32
VZ;01/07/2016;55,849998
VZ;30/06/2016;55,27
VZ;29/06/2016;54,82
VZ;28/06/2016;54,759998
VZ;27/06/2016;54,060001
VZ;24/06/2016;54,470001
VZ;23/06/2016;54,400002
VZ;22/06/2016;54,23
VZ;21/06/2016;53,889999
VZ;20/06/2016;54
VZ;17/06/2016;53,43
VZ;16/06/2016;52,84
VZ;15/06/2016;52,970001
VZ;14/06/2016;52,369999
VZ;13/06/2016;52,5
VZ;10/06/2016;51,860001
VZ;09/06/2016;51,639999
VZ;08/06/2016;51,509998
VZ;07/06/2016;50,599998
VZ;06/06/2016;51,060001
VZ;03/06/2016;50,77
VZ;02/06/2016;50,470001
VZ;01/06/2016;50,869999
VZ;31/05/2016;50,880001
VZ;27/05/2016;50,389999
VZ;26/05/2016;49,849998
VZ;25/05/2016;49,630001
VZ;24/05/2016;49,360001
VZ;23/05/2016;49,66
VZ;20/05/2016;49,799999
VZ;19/05/2016;50
VZ;18/05/2016;50,919998
VZ;17/05/2016;51,200001
VZ;16/05/2016;50,77
VZ;13/05/2016;51,41
VZ;12/05/2016;51,220001
VZ;11/05/2016;51,48
VZ;10/05/2016;51,380001
VZ;09/05/2016;51,220001
VZ;06/05/2016;50,91
VZ;05/05/2016;50,990002
VZ;04/05/2016;50,48
VZ;03/05/2016;51,110001
VZ;02/05/2016;51,220001
VZ;29/04/2016;50,950001
VZ;28/04/2016;51,299999
VZ;27/04/2016;50,459999
VZ;26/04/2016;50,98
VZ;25/04/2016;50,529999
VZ;22/04/2016;50,150002
VZ;21/04/2016;50,560001
VZ;20/04/2016;52,150002
VZ;19/04/2016;51,799999
VZ;18/04/2016;51,349998
VZ;15/04/2016;51,279999
VZ;14/04/2016;51,279999
VZ;13/04/2016;52,07
VZ;12/04/2016;51,66
VZ;11/04/2016;52,360001
VZ;08/04/2016;52,200001
VZ;07/04/2016;52,52
VZ;06/04/2016;53,619999
VZ;05/04/2016;54,380001
VZ;04/04/2016;54,029999
VZ;01/04/2016;53,32
VZ;31/03/2016;54,009998
VZ;30/03/2016;54,169998
VZ;29/03/2016;53,509998
VZ;28/03/2016;53,560001
VZ;24/03/2016;52,740002
VZ;23/03/2016;53,130001
VZ;22/03/2016;53,419998
VZ;21/03/2016;53,189999
VZ;18/03/2016;53,810001
VZ;17/03/2016;53,279999
VZ;16/03/2016;52,669998
VZ;15/03/2016;52,240002
VZ;14/03/2016;52,549999
VZ;11/03/2016;52,650002
VZ;10/03/2016;52,549999
VZ;09/03/2016;52,549999
VZ;08/03/2016;52,049999
VZ;07/03/2016;51,529999
VZ;04/03/2016;51,75
VZ;03/03/2016;52,139999
VZ;02/03/2016;51,459999
VZ;01/03/2016;50,990002
VZ;29/02/2016;50,860001
VZ;26/02/2016;51,150002
VZ;25/02/2016;50,900002
VZ;24/02/2016;50,27
VZ;23/02/2016;50,970001
VZ;22/02/2016;50,860001
VZ;19/02/2016;50,740002
VZ;18/02/2016;50,119999
VZ;17/02/2016;50,41
VZ;16/02/2016;50,240002
VZ;12/02/2016;49,540001
VZ;11/02/2016;49,599998
VZ;10/02/2016;50,189999
VZ;09/02/2016;50,060001
VZ;08/02/2016;50,599998
VZ;05/02/2016;50,32
VZ;04/02/2016;50,369999
VZ;03/02/2016;50,25
VZ;02/02/2016;50,610001
VZ;01/02/2016;49,939999
VZ;29/01/2016;49,389999
VZ;28/01/2016;49,060001
VZ;27/01/2016;48,290001
VZ;26/01/2016;47,130001
VZ;25/01/2016;47,080002
VZ;22/01/2016;46,41
VZ;21/01/2016;45
VZ;20/01/2016;44,380001
VZ;19/01/2016;44,740002
VZ;15/01/2016;44,040001
VZ;14/01/2016;44,220001
VZ;13/01/2016;45,110001
VZ;12/01/2016;45,240002
VZ;11/01/2016;45,110001
VZ;08/01/2016;45,66
VZ;07/01/2016;45,119999
VZ;06/01/2016;45,490002
VZ;05/01/2016;46,200001
VZ;04/01/2016;45,669998
VZ;31/12/2015;46,52
VZ;30/12/2015;47,200001
VZ;29/12/2015;46,98
VZ;28/12/2015;46,619999
VZ;24/12/2015;46,91
VZ;23/12/2015;46,509998
VZ;22/12/2015;46,200001
VZ;21/12/2015;45,73
VZ;18/12/2015;45,900002
VZ;17/12/2015;46,490002
VZ;16/12/2015;45,93
VZ;15/12/2015;45,52
VZ;14/12/2015;44,84
VZ;11/12/2015;45,32
VZ;10/12/2015;45,470001
VZ;09/12/2015;45,580002
VZ;08/12/2015;45,669998
VZ;07/12/2015;45,459999
VZ;04/12/2015;44,740002
VZ;03/12/2015;44,880001
VZ;02/12/2015;45,450001
VZ;01/12/2015;45,509998
VZ;30/11/2015;45,25
VZ;27/11/2015;44,84
VZ;25/11/2015;45,110001
VZ;24/11/2015;44,75
VZ;23/11/2015;45,310001
VZ;20/11/2015;45,959999
VZ;19/11/2015;45,439999
VZ;18/11/2015;45,080002
VZ;17/11/2015;45,009998
VZ;16/11/2015;44,259998
VZ;13/11/2015;44,73
VZ;12/11/2015;45,02
VZ;11/11/2015;45,360001
VZ;10/11/2015;45,27
VZ;09/11/2015;45,529999
VZ;06/11/2015;45,990002
VZ;05/11/2015;46,200001
VZ;04/11/2015;46,580002
VZ;03/11/2015;46,700001
VZ;02/11/2015;47,02
VZ;30/10/2015;46,43
VZ;29/10/2015;46,490002
VZ;28/10/2015;46,439999
VZ;27/10/2015;46,189999
VZ;26/10/2015;46,32
VZ;23/10/2015;46,139999
VZ;22/10/2015;44,98
VZ;21/10/2015;45,439999
VZ;20/10/2015;44,919998
VZ;19/10/2015;44,48
VZ;16/10/2015;44,919998
VZ;15/10/2015;44,240002
VZ;14/10/2015;44,259998
VZ;13/10/2015;44,139999
VZ;12/10/2015;44,18
VZ;09/10/2015;44,279999
VZ;08/10/2015;43,68
VZ;07/10/2015;43,779999
VZ;06/10/2015;44
VZ;05/10/2015;43,240002
VZ;02/10/2015;42,549999
VZ;01/10/2015;43,490002
VZ;30/09/2015;43,830002
VZ;29/09/2015;43,779999
VZ;28/09/2015;44,009998
VZ;25/09/2015;44,32
VZ;24/09/2015;43,790001
VZ;23/09/2015;44,360001
