Actif;Date;Open
DG.PA;25/01/2017;66,97
DG.PA;24/01/2017;66,95
DG.PA;23/01/2017;66
DG.PA;20/01/2017;65,03
DG.PA;19/01/2017;65,29
DG.PA;18/01/2017;65,16
DG.PA;17/01/2017;64,99
DG.PA;16/01/2017;65,34
DG.PA;13/01/2017;65,74
DG.PA;12/01/2017;65,26
DG.PA;11/01/2017;65,85
DG.PA;10/01/2017;66
DG.PA;09/01/2017;65,75
DG.PA;06/01/2017;65,11
DG.PA;05/01/2017;64,76
DG.PA;04/01/2017;65,5
DG.PA;03/01/2017;65
DG.PA;02/01/2017;64,51
DG.PA;30/12/2016;64,56
DG.PA;29/12/2016;64,07
DG.PA;28/12/2016;64,46
DG.PA;27/12/2016;64,62
DG.PA;26/12/2016;64,48
DG.PA;23/12/2016;64,21
DG.PA;22/12/2016;64,72
DG.PA;21/12/2016;64,27
DG.PA;20/12/2016;64,57
DG.PA;19/12/2016;64,27
DG.PA;16/12/2016;63,95
DG.PA;15/12/2016;63,5
DG.PA;14/12/2016;63,66
DG.PA;13/12/2016;63
DG.PA;12/12/2016;62,72
DG.PA;09/12/2016;62,43
DG.PA;08/12/2016;62,26
DG.PA;07/12/2016;62,05
DG.PA;06/12/2016;60,79
DG.PA;05/12/2016;60,14
DG.PA;02/12/2016;60,51
DG.PA;01/12/2016;61,08
DG.PA;30/11/2016;61,35
DG.PA;29/11/2016;60,38
DG.PA;28/11/2016;60,31
DG.PA;25/11/2016;60,38
DG.PA;24/11/2016;59,9
DG.PA;23/11/2016;60,65
DG.PA;22/11/2016;61,54
DG.PA;21/11/2016;61,25
DG.PA;18/11/2016;61,59
DG.PA;17/11/2016;61
DG.PA;16/11/2016;60,91
DG.PA;15/11/2016;60,34
DG.PA;14/11/2016;61,3
DG.PA;11/11/2016;61,48
DG.PA;10/11/2016;64,47
DG.PA;09/11/2016;61,87
DG.PA;08/11/2016;63,07
DG.PA;07/11/2016;63
DG.PA;04/11/2016;63,4
DG.PA;03/11/2016;64,52
DG.PA;02/11/2016;64,72
DG.PA;01/11/2016;66,24
DG.PA;31/10/2016;65,54
DG.PA;28/10/2016;65,44
DG.PA;27/10/2016;66,49
DG.PA;26/10/2016;65,46
DG.PA;25/10/2016;67,82
DG.PA;24/10/2016;67,66
DG.PA;21/10/2016;67,38
DG.PA;20/10/2016;67,47
DG.PA;19/10/2016;67,43
DG.PA;18/10/2016;67,5
DG.PA;17/10/2016;66,85
DG.PA;14/10/2016;66,06
DG.PA;13/10/2016;65,11
DG.PA;12/10/2016;65,32
DG.PA;11/10/2016;66,19
DG.PA;10/10/2016;66,43
DG.PA;07/10/2016;67,08
DG.PA;06/10/2016;67,38
DG.PA;05/10/2016;67,81
DG.PA;04/10/2016;68,19
DG.PA;03/10/2016;68,04
DG.PA;30/09/2016;67,05
DG.PA;29/09/2016;68,55
DG.PA;28/09/2016;67,91
DG.PA;27/09/2016;67,94
DG.PA;26/09/2016;68,28
DG.PA;23/09/2016;68,73
DG.PA;22/09/2016;67,68
DG.PA;21/09/2016;67,63
DG.PA;20/09/2016;67,35
DG.PA;19/09/2016;66,77
DG.PA;16/09/2016;66,49
DG.PA;15/09/2016;66,08
DG.PA;14/09/2016;66,74
DG.PA;13/09/2016;67,31
DG.PA;12/09/2016;66,32
DG.PA;09/09/2016;68,63
DG.PA;08/09/2016;69,21
DG.PA;07/09/2016;69,24
DG.PA;06/09/2016;69,11
DG.PA;05/09/2016;69,3
DG.PA;02/09/2016;68,5
DG.PA;01/09/2016;68,24
DG.PA;31/08/2016;67,88
DG.PA;30/08/2016;67,57
DG.PA;29/08/2016;67,26
DG.PA;26/08/2016;66,98
DG.PA;25/08/2016;66,95
DG.PA;24/08/2016;66,73
DG.PA;23/08/2016;67,42
DG.PA;22/08/2016;66,84
DG.PA;19/08/2016;67,74
DG.PA;18/08/2016;67,5
DG.PA;17/08/2016;67,55
DG.PA;16/08/2016;68,4
DG.PA;15/08/2016;68,83
DG.PA;12/08/2016;69,67
DG.PA;11/08/2016;68
DG.PA;10/08/2016;67,44
DG.PA;09/08/2016;67,36
DG.PA;08/08/2016;67,02
DG.PA;05/08/2016;67,35
DG.PA;04/08/2016;67,64
DG.PA;03/08/2016;67,38
DG.PA;02/08/2016;67,23
DG.PA;01/08/2016;68
DG.PA;29/07/2016;67,6
DG.PA;28/07/2016;67,33
DG.PA;27/07/2016;67,51
DG.PA;26/07/2016;67,2
