--------------------------------------------
 Valeur portefeuille |     Valeur option    
--------------------------------------------
     91.2649              |           91.2649      
     91.0486      |        90.8851      
     91.0666      |        90.9321      
     91.2177      |        91.0545      
     91.2125      |        91.0521      
     91.8119      |        91.6061      
     92.532      |        92.3242      
     92.1685      |        92.0111      
     92.5664      |        92.3459      
     92.3639      |        92.1604      
     92.2553      |        92.0181      
     92.1045      |        91.9382      
     92.1303      |        91.9509      
     92.6219      |        92.3476      
     93.247      |        92.9585      
     94.2812      |        94.0755      
     96.301      |        96.4262      
     96.7279      |        96.7978      
     96.3655      |        96.454      
     97.0969      |        97.2304      
     96.1432      |        96.3621      
     97.7463      |        98.0596      
     98.2658      |        98.607      
     98.0571      |        98.3945      
     97.5575      |        97.9155      
     98.7238      |        98.917      
     99.0876      |        99.248      
     98.6268      |        98.812      
     97.8352      |        98.1657      
     97.8225      |        98.124      
     97.7949      |        98.0806      
     98.5764      |        98.8882      
     98.6808      |        99.0347      
     99.0346      |        99.3262      
     99.7219      |        100.038      
     100.508      |        100.827      
     100.417      |        100.716      
     101.319      |        101.468      
     101.544      |        101.654      
     101.01      |        101.237      
     101.017      |        101.242      
     101.572      |        101.81      
     101.656      |        101.883      
     101.483      |        101.779      
     101.819      |        102.099      
     102.113      |        102.381      
     102.565      |        102.807      
     102.999      |        103.225      
     103.623      |        103.901      
     103.704      |        103.871      
     103.945      |        104.104      
     104.322      |        104.483      
     104.634      |        104.772      
     104.933      |        105.068      
     105.39      |        105.532      
     105.839      |        105.964      
     105.987      |        106.119      
     106.309      |        106.442      
     106.645      |        106.766      
     106.879      |        107.024      
     107.328      |        107.481      
     107.792      |        107.888      
     108.135      |        108.223      
     108.448      |        108.531      
     108.754      |        108.848      
     109.122      |        109.214      
     109.49      |        109.581      
     109.881      |        109.967      
     110.3      |        110.393      
     110.697      |        110.783      
     111.114      |        111.202      
     111.498      |        111.574      
     111.872      |        111.946      
     112.246      |        112.294      
     112.652      |        112.695      
     113.025      |        113.068      
     113.399      |        113.448      
     113.798      |        113.846      
     114.191      |        114.238      
     114.582      |        114.631      
     114.983      |        115.032      
     115.389      |        115.436      
     115.791      |        115.84      
     116.197      |        116.245      
     116.605      |        116.653      
     117.015      |        117.062      
     117.423      |        117.47      
     117.834      |        117.882      
     118.247      |        118.295      
     118.661      |        118.71      
     119.077      |        119.126      
     119.495      |        119.544      
     119.914      |        119.963      
     120.334      |        120.383      
     120.756      |        120.805      
     121.18      |        121.229      
     121.604      |        121.654      
     122.031      |        122.08      
     122.459      |        122.508      
     122.888      |        122.938      
     123.319      |        123.369      
     123.751      |        123.802      
     124.185      |        124.236      
     124.621      |        124.671      
     125.057      |        125.108      
     125.496      |        125.547      
     125.936      |        125.987      
     126.377      |        126.429      
     126.821      |        126.872      
     127.265      |        127.317      
     127.711      |        127.763      
     128.159      |        128.211      
     128.609      |        128.661      
     129.059      |        129.112      
     129.512      |        129.565      
     129.966      |        130.019      
     130.422      |        130.475      
     130.879      |        130.932      
     131.338      |        131.391      
     131.798      |        131.852      
     132.26      |        132.314      
     132.724      |        132.778      
     133.19      |        133.244      
     133.657      |        133.711      
     134.125      |        134.18      
     134.595      |        134.65      
     135.067      |        135.122      
     135.541      |        135.596      
     136.016      |        136.071      
     136.493      |        136.549      
     136.972      |        137.027      
     137.452      |        137.508      
     137.934      |        137.99      
     138.417      |        138.474      
     138.903      |        138.959      
     139.39      |        139.446      
     139.878      |        139.935      
     140.369      |        140.426      
     140.861      |        140.918      
     141.355      |        141.412      
     141.85      |        141.908      
     142.348      |        142.406      
     142.847      |        142.905      
     143.348      |        143.406      
     143.85      |        143.909      
 le P&L du portefeuille de couverture est : -0.0585776
--------------------------------------------
 Valeur portefeuille |     Valeur option    
--------------------------------------------
     91.2809              |           91.2809      
     90.6409      |        90.5321      
     91.6351      |        91.495      
     91.8355      |        91.765      
     91.9007      |        91.8191      
     92.3444      |        92.2135      
     93.0835      |        92.9439      
     93.822      |        93.6654      
     94.316      |        94.1407      
     93.6456      |        93.5221      
     94.1436      |        93.9798      
     95.7587      |        95.7264      
     94.8529      |        94.8543      
     95.4494      |        95.2221      
     95.2627      |        95.0551      
     96.6051      |        96.4385      
     97.1876      |        97.0689      
     98.0993      |        97.873      
     98.5315      |        98.4082      
     101.055      |        101.12      
     101.462      |        101.482      
     102.922      |        102.932      
     104.14      |        104.161      
     104.286      |        104.366      
     104.255      |        104.277      
     104.205      |        104.007      
     104.163      |        104.006      
     106.585      |        106.5      
     107.204      |        107.063      
     106.049      |        105.923      
     105.666      |        105.616      
     107.528      |        107.505      
     109.889      |        109.954      
     108.55      |        108.589      
     109.506      |        109.576      
     112.604      |        112.754      
     113.825      |        113.964      
